county_FIPS,Geographic_Area_Name,County,GEOID,Total_Population,White,Black,Native,Asian,Pacific_Islander,Other,Two_or_more_Races,Hispanic,Not_Hispanic,Not_White,pct_White,pct_Black,pct_Native,pct_Asian,pct_Pacific_Islander,pct_Other,pct_Not_White,pct_Hispanic,pct_Not_Hispanic,pct_Two_or_more_Races,Simpson_Race_DI,Simpson_Ethnic_DI,Shannon_Race_DI,Shannon_Ethnic_DI,Gini_Index,Num_Contaminants,Sum_Population_Served,Sum_ContaminantFactor,Min_Contaminant_Factor,Max_Contaminant_Factor,Avg_Contaminant_Factor
1001,"Autauga County, Alabama",Autauga County,0500000US01001,58805,42160,11446,218,882,36,911,3158,2117,56688,16651,0.7169458379389507,0.1946433126434827,0.003707167757843721,0.014998724598248449,0.0006121928407448347,0.015491879942181788,0.2831561942011734,0.036000340107133745,0.9639996598928663,0.05370291641867188,0.4447471299354133,0.06940981157721238,0.986667093531707,0.15501770731829556,0.4552,6.0,70140.0,551.0,108,84,91.83
1003,"Baldwin County, Alabama",Baldwin County,0500000US01003,231767,189399,18218,1583,2068,144,5336,15025,12686,219081,42374,0.8171957181134502,0.07860480568847161,0.006830135437745667,0.008922754317914111,0.0006213136468953734,0.023023122359956336,0.18283016995517049,0.05473600642024102,0.945263993579759,0.06482803850418739,0.32115443754457274,0.10348039852741842,0.8688609607469227,0.21223076725474813,0.4566,9.0,85692.0,1625.0,103,580,180.56
1005,"Barbour County, Alabama",Barbour County,0500000US01005,25223,11317,11934,117,118,2,1040,701,1510,23713,13912,0.4486777940768346,0.4731395948142568,0.004638623478571145,0.0046782698330888476,7.92927090354042e-05,0.04123220869841018,0.5515600840502716,0.05986599532173017,0.9401340046782698,0.02779209451690917,0.5723339564317593,0.11256857878551962,1.1640566918931783,0.22659864458964368,0.5047,3.0,56649.0,1414.0,1132,144,471.33
1007,"Bibb County, Alabama",Bibb County,0500000US01007,22293,16555,4414,61,33,10,466,760,740,21553,5744,0.7426097878257749,0.19799937200017942,0.002736284932490019,0.0014802852913470596,0.0004485713004081999,0.020903422599022115,0.25765935495447,0.03319427623020679,0.9668057237697932,0.03409141883102319,0.40773619603117994,0.06418771178805371,0.8799729907078125,0.14567619914637003,0.45,9.0,51720.0,2538.0,150,80,282.0
1011,"Bullock County, Alabama",Bullock County,0500000US01011,10357,2320,7397,73,10,11,303,249,503,9854,8043,0.22400308969778893,0.7142029545235107,0.007048373081008014,0.0009655305590421936,0.0010620836149464131,0.02925557593897847,0.7765762286376364,0.04856618711982234,0.9514338128801777,0.024041710920150623,0.4382934976458247,0.09242394899164341,0.9642752625949116,0.19427162977492862,0.4985,,,,,,
1013,"Butler County, Alabama",Butler County,0500000US01013,19051,9752,8431,30,144,6,106,588,260,18791,9305,0.5118891396777072,0.4425489475618078,0.0015747204871135374,0.007558658338144979,0.0003149440974227075,0.0055640123878011654,0.4884258044197155,0.01364757755498399,0.986352422445016,0.030864521547425333,0.5411050680236542,0.026924055625795695,0.9480214926819942,0.07215935809635442,0.4667,13.0,41061.0,3315.0,1059,97,255.0
1015,"Calhoun County, Alabama",Calhoun County,0500000US01015,116441,80586,25560,488,1191,120,2472,6030,5010,111431,35861,0.692075815219725,0.21951030994237425,0.004190963664001512,0.010228355991446312,0.0010305648354102077,0.02122963560945028,0.3079757130220455,0.04302608187837617,0.9569739181216238,0.051785882979362936,0.46959460254618846,0.0823503835415551,1.0349473139450742,0.17744474184425418,0.4581,4.0,14166.0,1411.0,139,593,352.75
1017,"Chambers County, Alabama",Chambers County,0500000US01017,34772,18850,13513,107,402,14,681,1211,1237,33535,15928,0.5421028413666168,0.3886172782698723,0.003077188542505464,0.011561026112964454,0.00040262279995398597,0.01958472334061889,0.4580697112619349,0.03557460025307719,0.9644253997469228,0.034826872196019786,0.5533772788909181,0.0686200695687178,1.084378254111243,0.153615439536245,0.4182,,,,,,
1019,"Cherokee County, Alabama",Cherokee County,0500000US01019,24971,22707,988,110,57,2,192,921,400,24571,2270,0.9093348284009451,0.03956589643987025,0.004405109927515918,0.002282647871530976,8.00929077730167e-05,0.007688919146209603,0.09090545032237396,0.01601858155460334,0.9839814184453967,0.03688278402947419,0.1701074503933574,0.031525235673060314,0.4781154695558792,0.08211050387997149,0.4596,,,,,,
1021,"Chilton County, Alabama",Chilton County,0500000US01021,45014,35527,4068,339,182,7,2893,2004,4418,40596,9493,0.7892433465144177,0.0903718843026614,0.007530990358555117,0.004043186564180033,0.00015550717554538589,0.06426889412182876,0.21088994535033545,0.09814724307993068,0.9018527569200693,0.04451948282756476,0.3627503616247211,0.17703265634696053,1.0072603383549061,0.3209928740644209,0.4603,,,,,,
1023,"Choctaw County, Alabama",Choctaw County,0500000US01023,12665,7074,5233,31,23,1,48,261,113,12552,5597,0.5585471772601658,0.4131859455191473,0.0024476904855902093,0.0018160284247927358,7.895775759968417e-05,0.0037899723647848403,0.4419265692854323,0.008922226608764312,0.9910777733912357,0.020607974733517567,0.5168949275750865,0.017686637459445653,0.8606666803361912,0.05098816338446724,0.4534,,,,,,
1025,"Clarke County, Alabama",Clarke County,0500000US01025,23087,12029,10256,75,95,2,83,553,206,22881,11064,0.5210291506042362,0.4442326850608568,0.0032485814527656257,0.004114869840169792,8.662883874041669e-05,0.0035950968077272925,0.4792307359119851,0.00892277039026292,0.9910772296097371,0.023952873911725212,0.5305947815764678,0.0176870752230448,0.8938906689816484,0.050990724713178656,0.5303,8.0,25017.0,2142.0,233,770,267.75
1027,"Clay County, Alabama",Clay County,0500000US01027,14236,11375,1964,57,49,5,196,596,449,13787,2867,0.7990306265805002,0.137960101152009,0.00400393368923855,0.003441978083731385,0.00035122225344197806,0.01376791233492554,0.20139084012363023,0.031539758359089634,0.9684602416409104,0.041865692610283785,0.34057072740287586,0.06109429553871004,0.7978271022590083,0.14005444238812478,0.4848,3.0,5727.0,2017.0,464,787,672.33
1029,"Cleburne County, Alabama",Cleburne County,0500000US01029,15056,13819,467,54,22,3,130,567,284,14772,1243,0.9178400637619554,0.031017534537725825,0.0035866099893730073,0.001461211477151966,0.00019925611052072262,0.00863443145589798,0.08255844845908608,0.018862911795961744,0.9811370882040382,0.03765940488841658,0.1551100357844828,0.03701666330786413,0.45726925095670745,0.09358015603990119,0.4638,5.0,27051.0,2042.0,153,977,408.4
1031,"Coffee County, Alabama",Coffee County,0500000US01031,53465,37080,8761,641,910,62,1909,4108,4887,48578,16391,0.6935378284859254,0.16386421023099224,0.011989151781539325,0.017020480688300758,0.0011596371457963154,0.03570560179556719,0.3065743944636678,0.09140559244365473,0.9085944075563452,0.07683531282147199,0.4845495295154012,0.16610432701361133,1.215226418178938,0.3057778454099223,0.431,,,,,,
1033,"Colbert County, Alabama",Colbert County,0500000US01033,57227,43631,9287,271,433,10,903,2698,1732,55495,13602,0.7624198367903262,0.16228353749104443,0.004735526936585877,0.007566358537054188,0.00017474269138693273,0.015779265032240027,0.2376850088245059,0.030265434148216752,0.9697345658517833,0.04714557813619445,0.38983546357527565,0.05869990102594236,0.8810613291651763,0.13566363634731757,0.4352,,,,,,
1035,"Conecuh County, Alabama",Conecuh County,0500000US01035,11597,5912,5105,73,41,2,100,370,256,11341,5691,0.5097870138829007,0.4402000517375183,0.006294731396050703,0.0035353970854531346,0.00017245839441234803,0.0086229197206174,0.4907303613003363,0.022074674484780548,0.9779253255152195,0.03190480296628438,0.5452437518558686,0.04317848970884719,0.9931017745975959,0.10600710815723517,0.4392,7.0,27342.0,864.0,111,94,123.43
1037,"Coosa County, Alabama",Coosa County,0500000US01037,10387,6824,3009,32,9,1,163,355,201,10186,3569,0.6569750649850775,0.2896890343698854,0.003080774044478675,0.0008664677000096274,9.62741888899586e-05,0.015692692789063253,0.3436025801482622,0.01935111196688168,0.9806488880331183,0.03417733705593531,0.4830859894989017,0.03795694713935238,0.9166511666225515,0.09550290076800011,0.4291,,,,,,
1039,"Covington County, Alabama",Covington County,0500000US01039,37570,30877,4608,148,241,1,258,1443,654,36916,6699,0.8218525419217461,0.12265105137077456,0.003939313281873836,0.006414692573862124,2.6616981634282673e-05,0.00686718126164493,0.17830715996805963,0.01740750598882087,0.9825924940111791,0.038408304498269895,0.30794429652154964,0.03420988001188807,0.7030072754810991,0.08777037004198535,0.4786,17.0,74386.0,2431.0,105,98,143.0
1041,"Crenshaw County, Alabama",Crenshaw County,0500000US01041,13194,9388,3104,63,84,3,78,480,187,13007,3812,0.7115355464605123,0.23525845081097468,0.0047748976807639835,0.006366530241018645,0.00022737608003638017,0.005911778080945885,0.2889192056995604,0.014173108988934363,0.9858268910110657,0.03638017280582083,0.4369819315094462,0.027946582069138026,0.8534252284573848,0.07439873901186843,0.5165,10.0,37875.0,1355.0,136,98,135.5
1045,"Dale County, Alabama",Dale County,0500000US01045,49326,33429,10242,271,672,53,1244,3421,3254,46072,15903,0.6777156063739205,0.207638973360905,0.005494059927827109,0.01362364675830191,0.001074484044925597,0.02521996512995175,0.3224060333292787,0.06596926570165836,0.9340307342983416,0.0693549041073673,0.4919344968862476,0.1232371417904431,1.1417413116311166,0.2430856246292737,0.4515,,,,,,
1047,"Dallas County, Alabama",Dallas County,0500000US01047,38462,10409,26900,66,147,18,121,807,296,38166,28059,0.27063075243097084,0.6993916073007124,0.0017159794082471011,0.0038219541365503615,0.0004679943840673912,0.0031459622484530186,0.7295252456970517,0.007695907649108211,0.9923040923508918,0.020981748219021372,0.4371538436211291,0.015273758422082784,0.7762278649580999,0.04512271270108978,0.4723,6.0,45003.0,609.0,120,62,101.5
1049,"DeKalb County, Alabama",DeKalb County,0500000US01049,71608,56420,1047,1993,254,23,7172,4705,11744,59864,15194,0.7879007932074629,0.014621271366327784,0.02783208580046922,0.003547089710646855,0.00032119316277510893,0.10015640710535136,0.2121829963132611,0.16400402189699476,0.8359959781030053,0.06570494916769076,0.3638678848028932,0.27421723481898963,1.0777246648279477,0.4462502149349059,0.4605,,,,,,
1051,"Elmore County, Alabama",Elmore County,0500000US01051,87977,63139,18212,338,675,33,1344,4242,2793,85184,24844,0.71767621082783,0.20700864998806506,0.003841913227320777,0.007672459847460132,0.00037509803698693975,0.015276720051831729,0.2823919888152585,0.03174693385771281,0.9682530661422872,0.0482171476635939,0.43946123206007237,0.06147883090241446,0.9454101230817609,0.14076320517339752,0.4272,,,,,,
1053,"Escambia County, Alabama",Escambia County,0500000US01053,36757,22202,10992,1540,115,23,279,1612,751,36006,14561,0.6040210028021873,0.2990450798487363,0.04189678156541611,0.0031286557662486055,0.0006257311532497211,0.00759039094594227,0.3961422314117039,0.020431482438719156,0.9795685175612808,0.04385559213211089,0.5419989709677733,0.040029162949642094,1.0747592191293711,0.09971364907866073,0.4799,5.0,179025.0,631.0,113,99,126.2
1055,"Etowah County, Alabama",Etowah County,0500000US01055,103436,78584,15147,740,928,55,2730,5258,4895,98541,24858,0.7597354886113152,0.1464383773541127,0.007154182296299161,0.008971731312115705,0.0005317297652654781,0.026393131984995554,0.2403225182721683,0.047323949108627555,0.9526760508913724,0.050833365559379715,0.3979490513469164,0.09016965764225393,0.9634805997900506,0.190559083844693,0.4553,2.0,10803.0,2430.0,1700,730,1215.0
1057,"Fayette County, Alabama",Fayette County,0500000US01057,16321,13666,1737,73,52,7,145,647,396,15925,2661,0.8373261442313584,0.10642730224863672,0.00447276514919429,0.003186079284357576,0.0004288952882789045,0.008884259542920164,0.16304148030145213,0.02426321916549231,0.9757367808345077,0.039642178788064454,0.28589492395818694,0.04735193201108645,0.6930815150243652,0.11419636364260369,0.4548,4.0,15351.0,2530.0,541,804,632.5
1059,"Franklin County, Alabama",Franklin County,0500000US01059,32113,24333,1167,652,69,11,4294,1593,6259,25854,7786,0.7577305141220066,0.036340422881699,0.020303303957898672,0.002148662535421792,0.00034254040419767697,0.13371531778407497,0.2424563260984648,0.19490548998847818,0.8050945100115218,0.049606078535172675,0.4037789136676383,0.31384445304945907,1.1624881187874285,0.49325830295424056,0.4339,9.0,68988.0,7238.0,101,889,804.22
1061,"Geneva County, Alabama",Geneva County,0500000US01061,26659,22078,2242,183,90,8,544,1520,1296,25363,4587,0.8281630968903559,0.08409917851382272,0.006864473536141641,0.0033759705915450693,0.00030008627480400613,0.02040586668667242,0.17206196781574704,0.048613976518248996,0.951386023481751,0.05701639221276117,0.3033587241859831,0.09250478553772601,0.8099351362388897,0.19441378056475483,0.4344,,,,,,
1063,"Greene County, Alabama",Greene County,0500000US01063,7730,1301,6247,6,8,1,34,139,61,7669,6435,0.1683053040103493,0.8081500646830531,0.0007761966364812419,0.001034928848641656,0.000129366106080207,0.004398447606727037,0.8324708926261319,0.007891332470892626,0.9921086675291074,0.01798188874514877,0.31826368558328644,0.01566014457737752,0.6202243104797034,0.04606986877897373,0.4841,,,,,,
