,Contaminant_Score,Simpson_Race_DI_score,Simpson_Ethnic_DI_score,Shannon_Race_DI_score_score,Shannon_Ethnic_DI_score,Gini_Index_score,Total,Priority
0,0,1,1,1,1,0,4,1
1,0,1,1,1,1,0,4,1
2,1,1,1,1,1,0,5,1
3,0,1,1,1,1,0,4,1
4,0,1,1,1,1,0,4,1
5,0,1,0,0,0,0,1,0
6,0,1,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,1,0
9,0,1,0,0,0,0,1,0
10,0,1,0,0,0,0,1,0
11,1,1,0,1,0,0,3,0
12,0,1,0,0,0,0,1,0
13,0,1,0,0,0,0,1,0
14,0,1,0,0,0,0,1,0
15,0,1,0,1,0,0,2,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,1,0,0,0,0,1,0
20,0,1,0,0,0,0,1,0
21,0,1,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0
23,0,1,0,0,0,0,1,0
24,0,1,0,0,0,0,1,0
25,0,1,0,1,0,1,3,0
26,1,0,0,0,0,0,1,0
27,1,1,0,0,0,0,2,0
28,0,1,0,0,0,0,1,0
29,0,1,0,0,0,0,1,0
30,0,1,0,0,0,1,2,0
31,0,0,0,0,0,0,0,0
32,0,1,1,1,1,0,4,1
33,0,0,0,0,0,0,0,0
34,0,1,0,0,0,0,1,0
35,0,1,0,0,0,0,1,0
36,0,1,0,0,0,0,1,0
37,0,1,1,1,1,0,4,1
38,0,1,1,1,1,0,4,1
39,0,0,0,0,0,0,0,0
40,0,1,0,0,0,0,1,0
41,0,1,0,0,1,0,2,0
42,0,1,1,1,1,0,4,1
43,1,1,1,1,1,0,5,1
44,1,1,0,0,0,0,2,0
45,0,1,0,1,0,0,2,0
46,0,1,1,1,1,0,4,1
47,0,1,0,1,0,0,2,0
48,0,1,0,1,0,0,2,0
49,0,1,0,1,0,0,2,0
50,0,1,0,1,0,0,2,0
51,1,1,1,1,1,0,5,1
52,0,1,0,1,0,0,2,0
53,0,1,1,1,1,1,5,1
54,0,1,0,1,0,0,2,0
55,0,1,0,1,0,0,2,0
56,0,1,0,1,0,0,2,0
57,0,1,0,1,0,0,2,0
58,0,1,0,1,0,0,2,0
59,0,1,0,1,0,0,2,0
60,0,1,0,1,0,1,3,0
61,0,1,1,1,1,0,4,1
62,1,1,1,1,1,0,5,1
63,0,1,0,1,0,0,2,0
64,0,1,1,1,1,0,4,1
65,0,1,1,1,1,0,4,1
66,0,1,0,1,0,0,2,0
67,0,1,0,1,0,0,2,0
68,0,1,1,1,1,0,4,1
69,1,1,0,1,1,0,4,1
70,1,1,0,1,0,0,3,0
71,0,1,0,1,0,0,2,0
72,0,1,1,1,1,0,4,1
73,0,1,1,1,1,0,4,1
74,0,1,0,1,0,0,2,0
75,0,1,0,1,0,0,2,0
76,0,1,1,1,1,0,4,1
77,0,1,1,1,1,0,4,1
78,0,1,0,0,0,0,1,0
79,0,1,0,0,0,0,1,0
80,0,1,0,0,0,0,1,0
81,0,1,0,0,0,0,1,0
82,0,1,0,0,0,0,1,0
83,0,0,0,0,0,0,0,0
84,0,1,0,0,0,0,1,0
85,0,1,0,1,0,1,3,0
86,0,0,0,0,0,0,0,0
87,0,1,0,0,0,0,1,0
88,0,1,0,0,0,0,1,0
89,0,0,0,0,0,0,0,0
90,0,1,0,0,0,0,1,0
91,0,1,1,0,1,0,3,0
92,0,1,0,1,0,0,2,0
93,0,0,0,0,0,0,0,0
94,0,1,0,0,0,0,1,0
95,0,1,0,0,0,0,1,0
96,0,0,0,0,0,0,0,0
97,0,1,0,0,1,0,2,0
98,0,1,0,0,0,0,1,0
99,0,1,0,0,0,0,1,0
100,0,1,0,1,0,0,2,0
101,0,1,0,0,0,0,1,0
102,0,0,0,0,0,0,0,0
103,0,1,0,1,1,0,3,0
104,0,1,0,0,0,0,1,0
105,0,1,0,1,0,0,2,0
106,1,1,1,1,1,0,5,1
107,1,1,0,0,0,1,3,0
108,0,1,0,1,0,0,2,0
