Utility,Contaminant_Factor,Zip,county_FIPS
Anchor Water Association,148,38601,28071
Campground Water Association,85,38601,28071
City of Oxford,187,38601,28071
College Hill Water Association,39,38601,28071
Bearcreek Municipal Water System,221,59001,30095
Belfry Carbon County Water and Sewer District,133,59001,30095
Bridger Town of,234,59001,30095
Columbus Town of,961,59001,30095
Cooney Enterprises,544,59001,30095
Evergreen Subdivision,571,59001,30095
Fromberg Town of,391,59001,30095
Joliet Town of,117,59001,30095
Rapelje Water District,679,59001,30095
Red Lodge Water Department,168,59001,30095
Rio Vista Estates Ho Association Inc.,551,59001,30095
Sherwood Water Station,64,59001,30095
City of Billings,3196,59002,30111
Co Water District of Billings Heights,3018,59002,30111
Laurel Municipal Water System,3004,59002,30111
Lockwood Water and Sewer District,1180,59002,30111
Pioneer Water Service,1900,59002,30111
Broadus Town of,142,59003,30075
Colstrip City of,2129,59003,30075
Forsyth City of,2348,59003,30075
St. Labre Indian School,2018,59003,30075
Big Valley & Crossed Arrows Imp District,10,59008,30009
Cody City Of,580,59008,30009
Juby`s Mobile Home Park,551,59008,30009
Meeteetse Town Of,1381,59008,30009
Northwest Rural Water District,412,59008,30009
Powell City Of,879,59008,30009
Rivers Bend Trailer Court,525,59008,30009
Shoshone Municipal Pipeline,564,59008,30009
Ynp-mammoth Hot Springs,821,59008,30009
Fort Smith Water and Sewer District,55,59010,30103
Hardin City of,1189,59010,30103
Hysham Town of,2300,59010,30103
Lodge Grass Town of,131,59010,30103
Wegner Water Service Hauler,1191,59010,30103
Yellowtail Dam Gc Lower System,767,59010,30103
Big Timber City of,228,59011,30097
Cottonwood Estates,2,59011,30097
Deer Creek Mobile Home Park,869,59011,30097
Strobel Trailer Court,290,59011,30097
Avalon Subdivision,1014,59018,30067
Big Spur Trailer Court,688,59018,30067
Cinnabar The,102,59018,30067
Clyde Park Water Department,70,59018,30067
Cooke City Water District,116,59018,30067
East Gate Work Camp,1708,59018,30067
Edannes Mobile Home Park,1255,59018,30067
Frontier Mobile Home Park,43,59018,30067
Gardiner Park County Water District,709,59018,30067
Golden Age Village,728,59018,30067
Livingston City of,1312,59018,30067
Ranch Headquarters,1962,59018,30067
Sphinx Mountain Mb Hm Park,1604,59018,30067
Wilsall Water District,1058,59018,30067
Windmill Trailer Park Well 1,766,59018,30067
Ayers Hutterite Colony,1,59032,30027
Canteen Water Service,3,59032,30027
Deerfield Hutterite Colony,1,59032,30027
Denton Town of,104,59032,30027
Grass Range Town of,76,59032,30027
Ken Glass Water,3,59032,30027
King Ranch Colony,76,59032,30027
Lewistown City of,3,59032,30027
Moore Town of,177,59032,30027
Mountain Acres Mb Hm Park,3,59032,30027
