State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
AL,Brookside,35005.0,Brookside Water Works,2550,Bromodichloromethane*,4.17,0.06,0,ppb,69.5
AL,Brookside,35005.0,Brookside Water Works,2550,Chloroform*,15.0,0.4,0,ppb,37.5
AL,Brookside,35005.0,Brookside Water Works,2550,Chromium (hexavalent)*,0.0778,0.02,0,ppb,3.8899999999999997
AL,Brookside,35005.0,Brookside Water Works,2550,Dibromochloromethane*,0.846,0.1,0,ppb,8.459999999999999
AL,Brookside,35005.0,Brookside Water Works,2550,Haloacetic acids (HAA5)†,29.9,0.1,60,ppb,298.99999999999994
AL,Brookside,35005.0,Brookside Water Works,2550,Haloacetic acids (HAA9)*†,25.2,0.06,0,ppb,420.0
AL,Brookside,35005.0,Brookside Water Works,2550,Nitrate*,0.346,0.14,10,ppm,2.471428571428571
AL,Brookside,35005.0,Brookside Water Works,2550,Nitrate and nitrite*,0.406,0.14,10,ppm,2.9
AL,Brookside,35005.0,Brookside Water Works,2550,Radium combined (-226 &amp; -228)*,0.14,0.05,5,pCi/L,2.8000000000000003
AL,Brookside,35005.0,Brookside Water Works,2550,Total trihalomethanes (TTHMs)†,53.2,0.15,80,ppb,354.6666666666667
AL,Brookside,35005.0,Brookside Water Works,2550,14-Dioxane*,0.0681,0.35,0,ppb,0.19457142857142856
AL,Brookside,35005.0,Brookside Water Works,2550,Aluminum*,21.3,600.0,0,ppb,0.035500000000000004
AL,Brookside,35005.0,Brookside Water Works,2550,Barium*,13.0,700.0,2000,ppb,0.018571428571428572
AL,Brookside,35005.0,Brookside Water Works,2550,Chlorate*,55.8,210.0,0,ppb,0.2657142857142857
AL,Brookside,35005.0,Brookside Water Works,2550,Chloromethane*,0.00446,2.69,0,ppb,0.0016579925650557622
AL,Brookside,35005.0,Brookside Water Works,2550,Manganese*,1.14,100.0,0,ppb,0.011399999999999999
AL,Brookside,35005.0,Brookside Water Works,2550,Molybdenum*,0.109,40.0,0,ppb,0.002725
AL,Brookside,35005.0,Brookside Water Works,2550,Strontium*,0.0369,1500.0,0,ppb,2.46e-05
AL,Brookside,35005.0,Brookside Water Works,2550,Vanadium*,0.0406,21.0,0,ppb,0.0019333333333333331
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Bromodichloromethane*,4.17,0.06,0,ppb,69.5
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Chloroform*,15.0,0.4,0,ppb,37.5
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Chromium (hexavalent)*,0.0778,0.02,0,ppb,3.8899999999999997
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Dibromochloromethane*,0.846,0.1,0,ppb,8.459999999999999
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Haloacetic acids (HAA5)†,28.2,0.1,60,ppb,282.0
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Haloacetic acids (HAA9)*†,25.2,0.06,0,ppb,420.0
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Nitrate*,0.346,0.14,10,ppm,2.471428571428571
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Nitrate and nitrite*,0.406,0.14,10,ppm,2.9
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Radium combined (-226 &amp; -228)*,0.14,0.05,5,pCi/L,2.8000000000000003
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Total trihalomethanes (TTHMs)†,49.5,0.15,80,ppb,330.0
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,14-Dioxane*,0.0681,0.35,0,ppb,0.19457142857142856
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Aluminum*,21.3,600.0,0,ppb,0.035500000000000004
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Barium*,13.0,700.0,2000,ppb,0.018571428571428572
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Chlorate*,55.8,210.0,0,ppb,0.2657142857142857
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Chloromethane*,0.00446,2.69,0,ppb,0.0016579925650557622
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Manganese*,1.14,100.0,0,ppb,0.011399999999999999
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Molybdenum*,0.109,40.0,0,ppb,0.002725
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Strontium*,0.0369,1500.0,0,ppb,2.46e-05
AL,Graysville,35005.0,Graysville Water & Sewer Board,9144,Vanadium*,0.0406,21.0,0,ppb,0.0019333333333333331
AL,Irondale,35005.0,Irondale Water System,10098,Bromodichloromethane,0.19,0.06,0,ppb,3.166666666666667
AL,Irondale,35005.0,Irondale Water System,10098,Dibromochloromethane,0.253,0.1,0,ppb,2.53
AL,Irondale,35005.0,Irondale Water System,10098,Haloacetic acids (HAA5)†,2.2,0.1,60,ppb,22.0
AL,Irondale,35005.0,Irondale Water System,10098,Nitrate,0.905,0.14,10,ppm,6.4642857142857135
AL,Irondale,35005.0,Irondale Water System,10098,Nitrate and nitrite,0.85,0.14,10,ppm,6.07142857142857
AL,Irondale,35005.0,Irondale Water System,10098,Tetrachloroethylene (perchloroethylene),0.543,0.06,5,ppb,9.05
AL,Irondale,35005.0,Irondale Water System,10098,Total trihalomethanes (TTHMs)†,17.5,0.15,80,ppb,116.66666666666667
AL,Irondale,35005.0,Irondale Water System,10098,Barium,19.0,700.0,2000,ppb,0.027142857142857142
AL,Irondale,35005.0,Irondale Water System,10098,Chloroform,0.337,0.4,0,ppb,0.8425
AL,Irondale,35005.0,Irondale Water System,10098,trans-12-Dichloroethylene,0.0267,60.0,100,ppb,0.00044500000000000003
AL,Irondale,35005.0,Irondale Water System,10098,Trichloroethylene,0.12,0.4,5,ppb,0.3
AL,Leeds,35005.0,Leeds Water Board,21300,Bromodichloromethane,0.177,0.06,0,ppb,2.9499999999999997
AL,Leeds,35005.0,Leeds Water Board,21300,Chromium (hexavalent),0.406,0.02,0,ppb,20.3
AL,Leeds,35005.0,Leeds Water Board,21300,Haloacetic acids (HAA5)†,1.67,0.1,60,ppb,16.7
AL,Leeds,35005.0,Leeds Water Board,21300,Haloacetic acids (HAA9)†,3.29,0.06,0,ppb,54.833333333333336
AL,Leeds,35005.0,Leeds Water Board,21300,Nitrate,0.537,0.14,10,ppm,3.8357142857142854
AL,Leeds,35005.0,Leeds Water Board,21300,Nitrate and nitrite,0.53,0.14,10,ppm,3.7857142857142856
AL,Leeds,35005.0,Leeds Water Board,21300,Radium combined (-226 &amp; -228),0.17,0.05,5,pCi/L,3.4
AL,Leeds,35005.0,Leeds Water Board,21300,Total trihalomethanes (TTHMs)†,4.55,0.15,80,ppb,30.333333333333332
AL,Leeds,35005.0,Leeds Water Board,21300,14-Dioxane,0.0557,0.35,0,ppb,0.15914285714285714
AL,Leeds,35005.0,Leeds Water Board,21300,Aluminum,14.4,600.0,0,ppb,0.024
AL,Leeds,35005.0,Leeds Water Board,21300,Barium,30.1,700.0,2000,ppb,0.043000000000000003
AL,Leeds,35005.0,Leeds Water Board,21300,Bromoform,0.025,0.5,0,ppb,0.05
AL,Leeds,35005.0,Leeds Water Board,21300,Chlorate,1.81,210.0,0,ppb,0.00861904761904762
AL,Leeds,35005.0,Leeds Water Board,21300,Chloroform,0.216,0.4,0,ppb,0.5399999999999999
AL,Leeds,35005.0,Leeds Water Board,21300,Di(2-ethylhexyl) phthalate,0.0673,3.0,6,ppb,0.022433333333333333
AL,Leeds,35005.0,Leeds Water Board,21300,Dibromochloromethane,0.118,0.1,0,ppb,1.18
AL,Leeds,35005.0,Leeds Water Board,21300,Manganese,4.07,100.0,0,ppb,0.0407
AL,Leeds,35005.0,Leeds Water Board,21300,Strontium,0.0861,1500.0,0,ppb,5.74e-05
AL,Leeds,35005.0,Leeds Water Board,21300,Vanadium,0.171,21.0,0,ppb,0.008142857142857143
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Bromodichloromethane*,4.17,0.06,0,ppb,69.5
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Chloroform*,15.0,0.4,0,ppb,37.5
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Chromium (hexavalent),0.0764,0.02,0,ppb,3.82
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Dibromochloromethane*,0.846,0.1,0,ppb,8.459999999999999
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Haloacetic acids (HAA5)†,28.1,0.1,60,ppb,281.0
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Haloacetic acids (HAA9)*†,25.2,0.06,0,ppb,420.0
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Nitrate*,0.346,0.14,10,ppm,2.471428571428571
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Nitrate and nitrite*,0.406,0.14,10,ppm,2.9
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Radium combined (-226 &amp; -228)*,0.14,0.05,5,pCi/L,2.8000000000000003
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Total trihalomethanes (TTHMs)†,48.8,0.15,80,ppb,325.3333333333333
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,14-Dioxane,0.127,0.35,0,ppb,0.3628571428571429
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Aluminum*,21.3,600.0,0,ppb,0.035500000000000004
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Barium*,13.0,700.0,2000,ppb,0.018571428571428572
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Chlorate,37.6,210.0,0,ppb,0.17904761904761907
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Chloromethane*,0.00446,2.69,0,ppb,0.0016579925650557622
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Manganese*,1.14,100.0,0,ppb,0.011399999999999999
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Molybdenum,1.33,40.0,0,ppb,0.03325
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Strontium,0.0491,1500.0,0,ppb,3.2733333333333334e-05
AL,Mulga,35005.0,Mulga Water Works and Gas Department,6195,Vanadium,0.336,21.0,0,ppb,0.016
AL,Trussville,35005.0,Trussville Utilities,36300,Bromodichloromethane,0.415,0.06,0,ppb,6.916666666666667
AL,Trussville,35005.0,Trussville Utilities,36300,Chromium (hexavalent),0.15,0.02,0,ppb,7.5
AL,Trussville,35005.0,Trussville Utilities,36300,Dibromochloromethane,0.45,0.1,0,ppb,4.5
AL,Trussville,35005.0,Trussville Utilities,36300,Haloacetic acids (HAA5)†,1.23,0.1,60,ppb,12.299999999999999
AL,Trussville,35005.0,Trussville Utilities,36300,Haloacetic acids (HAA9)†,3.09,0.06,0,ppb,51.5
AL,Trussville,35005.0,Trussville Utilities,36300,Nitrate,0.63,0.14,10,ppm,4.5
