State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Arsenic,3.76,0.004,10,ppb,939.9999999999999
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Chromium (hexavalent),3.54,0.02,0,ppb,177.0
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Haloacetic acids (HAA5)†,11.3,0.1,60,ppb,113.0
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Haloacetic acids (HAA9)†,20.0,0.06,0,ppb,333.33333333333337
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Nitrate,1.52,0.14,10,ppm,10.857142857142856
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Nitrate and nitrite,1.19,0.14,10,ppm,8.499999999999998
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Total trihalomethanes (TTHMs)†,47.3,0.15,80,ppb,315.3333333333333
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Uranium,1.64,0.43,20,pCi/L,3.8139534883720927
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,14-Dioxane,0.0689,0.35,0,ppb,0.19685714285714287
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Barium,66.9,700.0,2000,ppb,0.09557142857142858
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Chlorate,171.1,210.0,0,ppb,0.8147619047619047
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Manganese,0.607,100.0,0,ppb,0.00607
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Molybdenum,3.29,40.0,0,ppb,0.08225
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Radium combined (-226 &amp; -228),0.08,0.05,5,pCi/L,1.5999999999999999
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Selenium,1.57,30.0,50,ppb,0.052333333333333336
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Strontium,0.88,1500.0,0,ppb,0.0005866666666666667
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Vanadium,6.03,21.0,0,ppb,0.28714285714285714
AZ,Scottsdale AZ,85008.0,City of Scottsdale,230000,Xylenes (total),0.0571,1800.0,10000,ppb,3.1722222222222224e-05
