Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Los Angeles Department of Water and Power,Arsenic,1.72 ppb,0.004 ppb,10 ppb
Los Angeles Department of Water and Power,Bromate,0.735 ppb,0.1 ppb,10 ppb
Los Angeles Department of Water and Power,Chromium (hexavalent),0.586 ppb,0.02 ppb,
Los Angeles Department of Water and Power,Haloacetic acids (HAA5)†,10.3 ppb,0.1 ppb,60 ppb
Los Angeles Department of Water and Power,Haloacetic acids (HAA9)†,11.0 ppb,0.06 ppb,
Los Angeles Department of Water and Power,Nitrate,1.69 ppm,0.14 ppm,10 ppm
Los Angeles Department of Water and Power,Nitrate and nitrite,1.07 ppm,0.14 ppm,10 ppm
Los Angeles Department of Water and Power,Total trihalomethanes (TTHMs)†,26.6 ppb,0.15 ppb,80 ppb
Los Angeles Department of Water and Power,Uranium,3.00 pCi/L,0.43 pCi/L,20 pCi/L
Los Angeles Department of Water and Power,"1,1-Dichloroethane",0 ppb,3 ppb,
Los Angeles Department of Water and Power,"1,2-Dichloroethane",0.00252 ppb,0.4 ppb,5 ppb
Los Angeles Department of Water and Power,"1,4-Dioxane",0.0911 ppb,0.35 ppb,
Los Angeles Department of Water and Power,Aluminum,0.532 ppb,600 ppb,
Los Angeles Department of Water and Power,Barium,3.89 ppb,700 ppb,"2,000 ppb"
Los Angeles Department of Water and Power,Bromide,102.1 ppb,,
Los Angeles Department of Water and Power,Bromochloromethane,0.0174 ppb,,
Los Angeles Department of Water and Power,Chlorate,77.3 ppb,210 ppb,
Los Angeles Department of Water and Power,Chlorodifluoromethane,0.0401 ppb,,
Los Angeles Department of Water and Power,Chromium (total),0.0770 ppb,,100 ppb
Los Angeles Department of Water and Power,Fluoride,0.699 ppm,,4 ppm
Los Angeles Department of Water and Power,Manganese,0.0217 ppb,100 ppb,
Los Angeles Department of Water and Power,Molybdenum,5.16 ppb,40 ppb,
Los Angeles Department of Water and Power,Nitrite,0.000304 ppm,,1 ppm
Los Angeles Department of Water and Power,o-toluidine ,0.000500 ppb,,
Los Angeles Department of Water and Power,Selenium,0.304 ppb,30 ppb,50 ppb
Los Angeles Department of Water and Power,Strontium,0.538 ppb,"1,500 ppb",
Los Angeles Department of Water and Power,Tetrachloroethylene (perchloroethylene),0.0602 ppb,0.06 ppb,5 ppb
Los Angeles Department of Water and Power,Trichloroethylene,0.335 ppb,0.4 ppb,5 ppb
Los Angeles Department of Water and Power,Trichlorofluoromethane,0.00156 ppb,"1,300 ppb",
Los Angeles Department of Water and Power,Vanadium,1.34 ppb,21 ppb,
Los Angeles Department of Water and Power,None,,,
Huntington Park,Arsenic,5.78 ppb,0.004 ppb,10 ppb
Huntington Park,"Radium, combined (-226 &amp; -228)",1.15 pCi/L,0.05 pCi/L,5 pCi/L
Huntington Park,Aluminum,1.73 ppb,600 ppb,
Huntington Park,Barium,50.3 ppb,700 ppb,"2,000 ppb"
Huntington Park,Cadmium,0.0363 ppb,0.04 ppb,5 ppb
Huntington Park,Chromium (total),1.50 ppb,,100 ppb
Huntington Park,Fluoride,0.653 ppm,,4 ppm
Huntington Park,Manganese,11.4 ppb,100 ppb,
Huntington Park,Nitrate,0.00872 ppm,0.14 ppm,10 ppm
