State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Arsenic,1.72,0.004,10,ppb,430.0
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Bromate,0.735,0.1,10,ppb,7.35
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Chromium (hexavalent),0.586,0.02,0,ppb,29.299999999999997
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Haloacetic acids (HAA5)†,10.3,0.1,60,ppb,103.0
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Haloacetic acids (HAA9)†,11.0,0.06,0,ppb,183.33333333333334
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Nitrate,1.69,0.14,10,ppm,12.07142857142857
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Nitrate and nitrite,1.07,0.14,10,ppm,7.642857142857142
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Total trihalomethanes (TTHMs)†,26.6,0.15,80,ppb,177.33333333333334
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Uranium,3.0,0.43,20,pCi/L,6.976744186046512
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,11-Dichloroethane,0.0,3.0,0,ppb,0.0
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,12-Dichloroethane,0.00252,0.4,5,ppb,0.0063
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,14-Dioxane,0.0911,0.35,0,ppb,0.2602857142857143
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Aluminum,0.532,600.0,0,ppb,0.0008866666666666667
CA,Los Angeles CA,90001.0,Los Angeles Department of Water and Power,3935257,Barium,3.89,700.0,2000,ppb,0.005557142857142858
