Utility name,City,People served,Zip
Golden State Water Company (GSWC) - Florence/Graham,"Rancho Cordova, CA","Population served:65,492",90001
Los Angeles Department of Water and Power,"Los Angeles, CA","Population served:3,935,257",90001
Huntington Park Water Department,"Huntington Park, CA","Population served:17,209",90001
Walnut Park Mutual Water Company,"Huntington Park, CA","Population served:16,180",90001
Central Basin Municipal Water District,"Commerce, CA",Population served:0,90002
Lynwood Water Department,"Lynwood, CA","Population served:71,297",90002
South Gate Water Department,"South Gate, CA","Population served:96,057",90002
Cal/am Water Company - Baldwin Hills,"Rosemead, CA","Population served:18,397",90008
Golden State Water Company (GSWC) - Culver City,"Rancho Cordova, CA","Population served:36,215",90008
California Water Service Company - East Los Angeles,"San Jose, CA","Population served:150,446",90022
"Commerce-city, Water Department","San Jose, CA","Population served:3,828",90022
Monterey Park Water Department,"Monterey Park, CA","Population served:62,183",90022
Vernon Water Department,"Vernon, CA","Population served:45,000",90023
Beverly Hills Water Department,"Beverly Hills, CA","Population served:44,290",90024
Santa Monica,"Santa Monica, CA","Population served:92,185",90025
Glendale Water Department,"Glendale, CA","Population served:195,799",90027
Burbank Water Department,"Burbank, CA","Population served:105,543",90027
Young-nak Presbyterian Church,"Los Angeles, CA","Population served:2,015",90031
City of Alhambra,"Alhambra, CA","Population served:84,679",90032
City of South Pasadena,"South Pasadena, CA","Population served:25,899",90032
"Montebello-city, Water Department","El Monte, CA","Population served:6,962",90040
Park Water Company - Bell Gardens,"Downey, CA","Population served:11,879",90040
Downey Water Department,"Downey, CA","Population served:111,930",90040
South Montebello Irrigation District,"Montebello, CA","Population served:9,574",90040
Pasadena,"Pasadena, CA","Population served:165,740",90041
City of Inglewood,"Inglewood, CA","Population served:82,500",90043
Golden State Water Company (GSWC) - Southwest,"Gardena, CA","Population served:271,677",90044
El Segundo Water Department,"El Segundo, CA","Population served:16,654",90045
Hawthorne Water Department,"San Jose, CA","Population served:43,545",90047
Long Beach Water Department,"Long Beach, CA","Population served:470,292",90052
San Gabriel Valley Water Company- El Monte,"El Monte, CA","Population served:226,904",90052
Los Angeles County WW District 4 & 34-Lancaster,"Alhambra, CA","Population served:180,131",90052
Suburban Water Systems - San Jose Hills,"Covina, CA","Population served:162,031",90052
Pomona Water Department,"Pomona, CA","Population served:151,713",90052
Maywood Mutual Water Company #3,"Maywood, CA","Population served:9,500",90058
Maywood Mutual Water Company #2,"Maywood, CA","Population served:7,118",90058
Park WC - Compton,"Downey, CA","Population served:24,698",90059
Golden State Water Company (GSWC) -Willowbrook,"Rancho Cordova, CA","Population served:10,771",90059
Compton Water Department,"Compton, CA","Population served:81,963",90059
