Utility name,City,People served,Zip
Golden State Water Company (GSWC) - Florence/Graham,"Rancho Cordova, CA","Population served:65,492",90001
Los Angeles Department of Water and Power,"Los Angeles, CA","Population served:3,935,257",90001
Huntington Park Water Department,"Huntington Park, CA","Population served:17,209",90001
Walnut Park Mutual Water Company,"Huntington Park, CA","Population served:16,180",90001
Central Basin Municipal Water District,"Commerce, CA",Population served:0,90002
Golden State Water Company (GSWC) - Florence/Graham,"Rancho Cordova, CA","Population served:65,492",90002
Lynwood Water Department,"Lynwood, CA","Population served:71,297",90002
South Gate Water Department,"South Gate, CA","Population served:96,057",90002
Walnut Park Mutual Water Company,"Huntington Park, CA","Population served:16,180",90002
Cal/am Water Company - Baldwin Hills,"Rosemead, CA","Population served:18,397",90008
Golden State Water Company (GSWC) - Culver City,"Rancho Cordova, CA","Population served:36,215",90008
Central Basin Municipal Water District,"Commerce, CA",Population served:0,90011
Golden State Water Company (GSWC) - Florence/Graham,"Rancho Cordova, CA","Population served:65,492",90011
Golden State Water Company (GSWC) - Culver City,"Rancho Cordova, CA","Population served:36,215",90016
California Water Service Company - East Los Angeles,"San Jose, CA","Population served:150,446",90022
"Commerce-city, Water Department","San Jose, CA","Population served:3,828",90022
Monterey Park Water Department,"Monterey Park, CA","Population served:62,183",90022
Central Basin Municipal Water District,"Commerce, CA",Population served:0,90023
California Water Service Company - East Los Angeles,"San Jose, CA","Population served:150,446",90023
"Commerce-city, Water Department","San Jose, CA","Population served:3,828",90023
Vernon Water Department,"Vernon, CA","Population served:45,000",90023
Beverly Hills Water Department,"Beverly Hills, CA","Population served:44,290",90024
Santa Monica,"Santa Monica, CA","Population served:92,185",90025
Glendale Water Department,"Glendale, CA","Population served:195,799",90027
Burbank Water Department,"Burbank, CA","Population served:105,543",90027
Young-nak Presbyterian Church,"Los Angeles, CA","Population served:2,015",90031
Central Basin Municipal Water District,"Commerce, CA",Population served:0,90032
California Water Service Company - East Los Angeles,"San Jose, CA","Population served:150,446",90032
City of Alhambra,"Alhambra, CA","Population served:84,679",90032
City of South Pasadena,"South Pasadena, CA","Population served:25,899",90032
Monterey Park Water Department,"Monterey Park, CA","Population served:62,183",90032
California Water Service Company - East Los Angeles,"San Jose, CA","Population served:150,446",90033
Golden State Water Company (GSWC) - Culver City,"Rancho Cordova, CA","Population served:36,215",90034
Beverly Hills Water Department,"Beverly Hills, CA","Population served:44,290",90035
Glendale Water Department,"Glendale, CA","Population served:195,799",90039
"Commerce-city, Water Department","San Jose, CA","Population served:3,828",90040
"Montebello-city, Water Department","El Monte, CA","Population served:6,962",90040
