Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Artesian Water Company,Bromodichloromethane,3.85 ppb,0.06 ppb,
Artesian Water Company,Chloroform,17.7 ppb,0.4 ppb,
Artesian Water Company,Chromium (hexavalent),0.524 ppb,0.02 ppb,
Artesian Water Company,Dibromochloromethane,0.496 ppb,0.1 ppb,
Artesian Water Company,Dichloroacetic acid,15.8 ppb,0.2 ppb,
Artesian Water Company,Haloacetic acids (HAA5)†,30.2 ppb,0.1 ppb,60 ppb
Artesian Water Company,Haloacetic acids (HAA9)†,24.9 ppb,0.06 ppb,
Artesian Water Company,Nitrate,4.22 ppm,0.14 ppm,10 ppm
Artesian Water Company,Nitrate and nitrite,3.23 ppm,0.14 ppm,10 ppm
Artesian Water Company,Perfluoroheptanoic acid (PFHPA),8.06 ppt,1 ppt,
Artesian Water Company,Perfluorohexane sulfonate (PFHXS),35.0 ppt,1 ppt,
Artesian Water Company,Perfluorooctane sulfonate (PFOS),49.9 ppt,1 ppt,
Artesian Water Company,Perfluorooctanoic acid (PFOA),10.8 ppt,0.007 ppt,
Artesian Water Company,"Radium, combined (-226 &amp; -228)",3.01 pCi/L,0.05 pCi/L,5 pCi/L
Artesian Water Company,Total trihalomethanes (TTHMs)†,41.1 ppb,0.15 ppb,80 ppb
Artesian Water Company,Trichloroacetic acid,14.3 ppb,0.1 ppb,
Artesian Water Company,"1,1-Dichloroethane",0.000986 ppb,3 ppb,
Artesian Water Company,"1,4-Dioxane",0.669 ppb,0.35 ppb,
Artesian Water Company,"4-Androstene-3,17-dione",0.00800 ppt,,
Artesian Water Company,Acetone,0.372 ppb,,
Artesian Water Company,Aluminum,4.50 ppb,600 ppb,
Artesian Water Company,Atrazine,0.00898 ppb,0.1 ppb,3 ppb
Artesian Water Company,Barium,92.4 ppb,700 ppb,"2,000 ppb"
Artesian Water Company,bis(2-chloroethyl) ether,0.0211 ppb,,
Artesian Water Company,Bromoform,0.0336 ppb,0.5 ppb,
Artesian Water Company,Chlorate,22.6 ppb,210 ppb,
Artesian Water Company,Chlordane,0.0154 ppb,0.03 ppb,2 ppb
Artesian Water Company,Chlorodifluoromethane,0.00861 ppb,,
Artesian Water Company,Chromium (total),0.626 ppb,,100 ppb
Artesian Water Company,"cis-1,2-Dichloroethylene",0.0513 ppb,,70 ppb
Artesian Water Company,Cobalt,0.352 ppb,70 ppb,
Artesian Water Company,Di(2-ethylhexyl) phthalate,0.0236 ppb,3 ppb,6 ppb
Artesian Water Company,Di-n-butyl phthalate,0.0433 ppb,,
Artesian Water Company,Dibromoacetic acid,0.0286 ppb,0.04 ppb,
Artesian Water Company,Dicamba,0.000781 ppb,,
Artesian Water Company,Dieldrin,0.0163 ppb,,
Artesian Water Company,Fluoride,0.582 ppm,,4 ppm
Artesian Water Company,gamma-Chlordane,0.000176 ppb,,
Artesian Water Company,Heptachlor epoxide,0.000296 ppb,0.006 ppb,0.2 ppb
Artesian Water Company,Manganese,11.4 ppb,100 ppb,
Artesian Water Company,Mercury (inorganic),0.00842 ppb,1.2 ppb,2 ppb
Artesian Water Company,Monochloroacetic acid,0.127 ppb,53 ppb,
Artesian Water Company,MTBE,0.374 ppb,13 ppb,
Artesian Water Company,Pentachlorophenol,0.00269 ppb,0.3 ppb,1 ppb
Artesian Water Company,Selenium,2.27 ppb,30 ppb,50 ppb
Artesian Water Company,Silver,0.516 ppb,,
Artesian Water Company,Strontium,0.132 ppb,"1,500 ppb",
Artesian Water Company,Tetrachloroethylene (perchloroethylene),0.0728 ppb,0.06 ppb,5 ppb
Artesian Water Company,Toluene,0.00671 ppb,150 ppb,"1,000 ppb"
Artesian Water Company,Trichloroethylene,0.00248 ppb,0.4 ppb,5 ppb
Artesian Water Company,Trichlorofluoromethane,0.00136 ppb,"1,300 ppb",
Artesian Water Company,Vanadium,0.106 ppb,21 ppb,
Artesian Water Company,Xylenes (total),0.00327 ppb,"1,800 ppb","10,000 ppb"
Artesian Water Company,None,,,
Augustine Creek,Bromodichloromethane,2.35 ppb,0.06 ppb,
Augustine Creek,Chloroform,11.8 ppb,0.4 ppb,
Augustine Creek,Dibromochloromethane,0.609 ppb,0.1 ppb,
Augustine Creek,Dichloroacetic acid,4.86 ppb,0.2 ppb,
Augustine Creek,Haloacetic acids (HAA5)†,6.41 ppb,0.1 ppb,60 ppb
Augustine Creek,"Radium, combined (-226 &amp; -228)",0.40 pCi/L,0.05 pCi/L,5 pCi/L
Augustine Creek,Total trihalomethanes (TTHMs)†,25.3 ppb,0.15 ppb,80 ppb
Augustine Creek,Trichloroacetic acid,1.55 ppb,0.1 ppb,
Augustine Creek,Barium,53.3 ppb,700 ppb,"2,000 ppb"
Augustine Creek,Chromium (total),0.0167 ppb,,100 ppb
Augustine Creek,Fluoride,0.223 ppm,,4 ppm
Augustine Creek,Manganese,2.40 ppb,100 ppb,
Augustine Creek,Silver,0.667 ppb,,
Augustine Creek,None,,,
Bayview Improvement Company,Arsenic,0.333 ppb,0.004 ppb,10 ppb
Bayview Improvement Company,Bromodichloromethane,1.74 ppb,0.06 ppb,
Bayview Improvement Company,Chloroform,2.39 ppb,0.4 ppb,
Bayview Improvement Company,Dibromochloromethane,1.03 ppb,0.1 ppb,
Bayview Improvement Company,Dichloroacetic acid,1.07 ppb,0.2 ppb,
Bayview Improvement Company,Haloacetic acids (HAA5)†,1.44 ppb,0.1 ppb,60 ppb
Bayview Improvement Company,"Radium, combined (-226 &amp; -228)",1.15 pCi/L,0.05 pCi/L,5 pCi/L
Bayview Improvement Company,Total trihalomethanes (TTHMs)†,8.48 ppb,0.15 ppb,80 ppb
Bayview Improvement Company,Trichloroacetic acid,0.375 ppb,0.1 ppb,
Bayview Improvement Company,Barium,85.8 ppb,700 ppb,"2,000 ppb"
Bayview Improvement Company,Chromium (total),0.167 ppb,,100 ppb
Bayview Improvement Company,Fluoride,0.608 ppm,,4 ppm
Bayview Improvement Company,Manganese,0.417 ppb,100 ppb,
Bayview Improvement Company,Nitrate,0.00915 ppm,0.14 ppm,10 ppm
Bayview Improvement Company,Nitrate and nitrite,0.00915 ppm,0.14 ppm,10 ppm
Bayview Improvement Company,None,,,
Carpenters Row,Bromodichloromethane,0.273 ppb,0.06 ppb,
Carpenters Row,Chloroform,3.80 ppb,0.4 ppb,
Carpenters Row,Dichloroacetic acid,1.20 ppb,0.2 ppb,
