State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
DE,Newark,19701.0,Artesian Water Company,301000,Bromodichloromethane,3.85,0.06,0,ppb,64.16666666666667
DE,Newark,19701.0,Artesian Water Company,301000,Chloroform,17.7,0.4,0,ppb,44.24999999999999
DE,Newark,19701.0,Artesian Water Company,301000,Chromium (hexavalent),0.524,0.02,0,ppb,26.2
DE,Newark,19701.0,Artesian Water Company,301000,Dibromochloromethane,0.496,0.1,0,ppb,4.96
DE,Newark,19701.0,Artesian Water Company,301000,Dichloroacetic acid,15.8,0.2,0,ppb,79.0
DE,Newark,19701.0,Artesian Water Company,301000,Haloacetic acids (HAA5)†,30.2,0.1,60,ppb,302.0
DE,Newark,19701.0,Artesian Water Company,301000,Haloacetic acids (HAA9)†,24.9,0.06,0,ppb,415.0
DE,Newark,19701.0,Artesian Water Company,301000,Nitrate,4.22,0.14,10,ppm,30.14285714285714
DE,Newark,19701.0,Artesian Water Company,301000,Nitrate and nitrite,3.23,0.14,10,ppm,23.07142857142857
DE,Newark,19701.0,Artesian Water Company,301000,Perfluoroheptanoic acid (PFHPA),8.06,1.0,0,ppt,8.06
DE,Newark,19701.0,Artesian Water Company,301000,Perfluorohexane sulfonate (PFHXS),35.0,1.0,0,ppt,35.0
DE,Newark,19701.0,Artesian Water Company,301000,Perfluorooctane sulfonate (PFOS),49.9,1.0,0,ppt,49.9
DE,Newark,19701.0,Artesian Water Company,301000,Perfluorooctanoic acid (PFOA),10.8,0.007,0,ppt,1542.857142857143
DE,Newark,19701.0,Artesian Water Company,301000,Radium combined (-226 &amp; -228),3.01,0.05,5,pCi/L,60.199999999999996
DE,Newark,19701.0,Artesian Water Company,301000,Total trihalomethanes (TTHMs)†,41.1,0.15,80,ppb,274.0
DE,Newark,19701.0,Artesian Water Company,301000,Trichloroacetic acid,14.3,0.1,0,ppb,143.0
DE,Newark,19701.0,Artesian Water Company,301000,11-Dichloroethane,0.000986,3.0,0,ppb,0.0003286666666666666
DE,Newark,19701.0,Artesian Water Company,301000,14-Dioxane,0.669,0.35,0,ppb,1.9114285714285717
DE,Newark,19701.0,Artesian Water Company,301000,Aluminum,4.5,600.0,0,ppb,0.0075
DE,Newark,19701.0,Artesian Water Company,301000,Atrazine,0.00898,0.1,3,ppb,0.08979999999999999
DE,Newark,19701.0,Artesian Water Company,301000,Barium,92.4,700.0,2000,ppb,0.132
DE,Newark,19701.0,Artesian Water Company,301000,Bromoform,0.0336,0.5,0,ppb,0.0672
DE,Newark,19701.0,Artesian Water Company,301000,Chlorate,22.6,210.0,0,ppb,0.10761904761904763
DE,Newark,19701.0,Artesian Water Company,301000,Chlordane,0.0154,0.03,2,ppb,0.5133333333333334
DE,Newark,19701.0,Artesian Water Company,301000,Cobalt,0.352,70.0,0,ppb,0.005028571428571428
DE,Newark,19701.0,Artesian Water Company,301000,Di(2-ethylhexyl) phthalate,0.0236,3.0,6,ppb,0.007866666666666666
DE,Newark,19701.0,Artesian Water Company,301000,Dibromoacetic acid,0.0286,0.04,0,ppb,0.715
DE,Newark,19701.0,Artesian Water Company,301000,Heptachlor epoxide,0.000296,0.006,0.2,ppb,0.04933333333333333
DE,Newark,19701.0,Artesian Water Company,301000,Manganese,11.4,100.0,0,ppb,0.114
DE,Newark,19701.0,Artesian Water Company,301000,Mercury (inorganic),0.00842,1.2,2,ppb,0.007016666666666668
DE,Newark,19701.0,Artesian Water Company,301000,Monochloroacetic acid,0.127,53.0,0,ppb,0.0023962264150943395
DE,Newark,19701.0,Artesian Water Company,301000,MTBE,0.374,13.0,0,ppb,0.02876923076923077
DE,Newark,19701.0,Artesian Water Company,301000,Pentachlorophenol,0.00269,0.3,1,ppb,0.008966666666666668
DE,Newark,19701.0,Artesian Water Company,301000,Selenium,2.27,30.0,50,ppb,0.07566666666666667
DE,Newark,19701.0,Artesian Water Company,301000,Strontium,0.132,1500.0,0,ppb,8.8e-05
DE,Newark,19701.0,Artesian Water Company,301000,Tetrachloroethylene (perchloroethylene),0.0728,0.06,5,ppb,1.2133333333333334
DE,Newark,19701.0,Artesian Water Company,301000,Toluene,0.00671,150.0,1000,ppb,4.4733333333333334e-05
DE,Newark,19701.0,Artesian Water Company,301000,Trichloroethylene,0.00248,0.4,5,ppb,0.0062
DE,Newark,19701.0,Artesian Water Company,301000,Trichlorofluoromethane,0.00136,1300.0,0,ppb,1.0461538461538463e-06
DE,Newark,19701.0,Artesian Water Company,301000,Vanadium,0.106,21.0,0,ppb,0.005047619047619047
DE,Newark,19701.0,Artesian Water Company,301000,Xylenes (total),0.00327,1800.0,10000,ppb,1.8166666666666667e-06
DE,Newark,19701.0,Augustine Creek,621,Bromodichloromethane,2.35,0.06,0,ppb,39.16666666666667
DE,Newark,19701.0,Augustine Creek,621,Chloroform,11.8,0.4,0,ppb,29.5
DE,Newark,19701.0,Augustine Creek,621,Dibromochloromethane,0.609,0.1,0,ppb,6.09
DE,Newark,19701.0,Augustine Creek,621,Dichloroacetic acid,4.86,0.2,0,ppb,24.3
DE,Newark,19701.0,Augustine Creek,621,Haloacetic acids (HAA5)†,6.41,0.1,60,ppb,64.1
DE,Newark,19701.0,Augustine Creek,621,Radium combined (-226 &amp; -228),0.4,0.05,5,pCi/L,8.0
DE,Newark,19701.0,Augustine Creek,621,Total trihalomethanes (TTHMs)†,25.3,0.15,80,ppb,168.66666666666669
DE,Newark,19701.0,Augustine Creek,621,Trichloroacetic acid,1.55,0.1,0,ppb,15.5
DE,Newark,19701.0,Augustine Creek,621,Barium,53.3,700.0,2000,ppb,0.07614285714285714
DE,Newark,19701.0,Augustine Creek,621,Manganese,2.4,100.0,0,ppb,0.024
DE,Newark,19701.0,Bayview Improvement Company,214,Arsenic,0.333,0.004,10,ppb,83.25
DE,Newark,19701.0,Bayview Improvement Company,214,Bromodichloromethane,1.74,0.06,0,ppb,29.0
DE,Newark,19701.0,Bayview Improvement Company,214,Chloroform,2.39,0.4,0,ppb,5.975
DE,Newark,19701.0,Bayview Improvement Company,214,Dibromochloromethane,1.03,0.1,0,ppb,10.299999999999999
DE,Newark,19701.0,Bayview Improvement Company,214,Dichloroacetic acid,1.07,0.2,0,ppb,5.35
DE,Newark,19701.0,Bayview Improvement Company,214,Haloacetic acids (HAA5)†,1.44,0.1,60,ppb,14.399999999999999
DE,Newark,19701.0,Bayview Improvement Company,214,Radium combined (-226 &amp; -228),1.15,0.05,5,pCi/L,22.999999999999996
DE,Newark,19701.0,Bayview Improvement Company,214,Total trihalomethanes (TTHMs)†,8.48,0.15,80,ppb,56.53333333333334
DE,Newark,19701.0,Bayview Improvement Company,214,Trichloroacetic acid,0.375,0.1,0,ppb,3.75
DE,Newark,19701.0,Bayview Improvement Company,214,Barium,85.8,700.0,2000,ppb,0.12257142857142857
DE,Newark,19701.0,Bayview Improvement Company,214,Manganese,0.417,100.0,0,ppb,0.00417
DE,Newark,19701.0,Bayview Improvement Company,214,Nitrate,0.00915,0.14,10,ppm,0.06535714285714285
DE,Newark,19701.0,Bayview Improvement Company,214,Nitrate and nitrite,0.00915,0.14,10,ppm,0.06535714285714285
DE,Wilmington,19701.0,Carpenters Row,60,Bromodichloromethane,0.273,0.06,0,ppb,4.550000000000001
DE,Wilmington,19701.0,Carpenters Row,60,Chloroform,3.8,0.4,0,ppb,9.499999999999998
DE,Wilmington,19701.0,Carpenters Row,60,Dichloroacetic acid,1.2,0.2,0,ppb,5.999999999999999
DE,Wilmington,19701.0,Carpenters Row,60,Haloacetic acids (HAA5)†,1.2,0.1,60,ppb,11.999999999999998
DE,Wilmington,19701.0,Carpenters Row,60,Nitrate,2.81,0.14,10,ppm,20.07142857142857
DE,Wilmington,19701.0,Carpenters Row,60,Nitrate and nitrite,2.81,0.14,10,ppm,20.07142857142857
DE,Wilmington,19701.0,Carpenters Row,60,Radium combined (-226 &amp; -228),0.44,0.05,5,pCi/L,8.799999999999999
DE,Wilmington,19701.0,Carpenters Row,60,Total trihalomethanes (TTHMs)†,5.65,0.15,80,ppb,37.66666666666667
DE,Wilmington,19701.0,Carpenters Row,60,12-Dichloropropane,0.38,0.5,5,ppb,0.76
DE,Wilmington,19701.0,Carpenters Row,60,Barium,13.0,700.0,2000,ppb,0.018571428571428572
DE,Wilmington,19701.0,Carpenters Row,60,Dibromochloromethane,0.167,0.1,0,ppb,1.67
DE,Wilmington,19701.0,Carpenters Row,60,Manganese,3.5,100.0,0,ppb,0.035
DE,Delaware City,19701.0,Delaware City Water Department,1872,Bromodichloromethane,4.21,0.06,0,ppb,70.16666666666667
DE,Delaware City,19701.0,Delaware City Water Department,1872,Chloroform,4.79,0.4,0,ppb,11.975
DE,Delaware City,19701.0,Delaware City Water Department,1872,Dibromoacetic acid,1.01,0.04,0,ppb,25.25
DE,Delaware City,19701.0,Delaware City Water Department,1872,Dibromochloromethane,3.34,0.1,0,ppb,33.4
DE,Delaware City,19701.0,Delaware City Water Department,1872,Dichloroacetic acid,2.28,0.2,0,ppb,11.399999999999999
DE,Delaware City,19701.0,Delaware City Water Department,1872,Haloacetic acids (HAA5)†,4.27,0.1,60,ppb,42.699999999999996
DE,Delaware City,19701.0,Delaware City Water Department,1872,Radium combined (-226 &amp; -228),0.71,0.05,5,pCi/L,14.2
DE,Delaware City,19701.0,Delaware City Water Department,1872,Total trihalomethanes (TTHMs)†,14.4,0.15,80,ppb,96.0
DE,Delaware City,19701.0,Delaware City Water Department,1872,Trichloroacetic acid,0.979,0.1,0,ppb,9.79
DE,Delaware City,19701.0,Delaware City Water Department,1872,Barium,26.0,700.0,2000,ppb,0.037142857142857144
DE,Delaware City,19701.0,Delaware City Water Department,1872,Bromoform,0.363,0.5,0,ppb,0.726
DE,Delaware City,19701.0,Delaware City Water Department,1872,Manganese,19.5,100.0,0,ppb,0.195
DE,Newark,19701.0,Delaware Correctional Center,2000,Arsenic,2.77,0.004,10,ppb,692.5
DE,Newark,19701.0,Delaware Correctional Center,2000,Bromodichloromethane,0.221,0.06,0,ppb,3.6833333333333336
DE,Newark,19701.0,Delaware Correctional Center,2000,Chloroform,1.07,0.4,0,ppb,2.675
DE,Newark,19701.0,Delaware Correctional Center,2000,Dichloroacetic acid,0.568,0.2,0,ppb,2.8399999999999994
DE,Newark,19701.0,Delaware Correctional Center,2000,Haloacetic acids (HAA5)†,0.717,0.1,60,ppb,7.169999999999999
DE,Newark,19701.0,Delaware Correctional Center,2000,Radium combined (-226 &amp; -228),0.67,0.05,5,pCi/L,13.4
DE,Newark,19701.0,Delaware Correctional Center,2000,Total trihalomethanes (TTHMs)†,3.11,0.15,80,ppb,20.733333333333334
DE,Newark,19701.0,Delaware Correctional Center,2000,Aluminum,2.94,600.0,0,ppb,0.0049
DE,Newark,19701.0,Delaware Correctional Center,2000,Barium,56.2,700.0,2000,ppb,0.0802857142857143
DE,Newark,19701.0,Delaware Correctional Center,2000,Bromoform,0.0692,0.5,0,ppb,0.1384
DE,Newark,19701.0,Delaware Correctional Center,2000,Manganese,1.27,100.0,0,ppb,0.0127
DE,Newark,19701.0,Delaware Correctional Center,2000,Nitrate,0.00569,0.14,10,ppm,0.04064285714285714
DE,Newark,19701.0,Delaware Correctional Center,2000,Nitrate and nitrite,0.00569,0.14,10,ppm,0.04064285714285714
DE,Newark,19701.0,Delaware Correctional Center,2000,Trichloroacetic acid,0.149,0.1,0,ppb,1.4899999999999998
DE,Dover,19701.0,Drawyers Creek Pump District,192,Bromodichloromethane,1.05,0.06,0,ppb,17.5
DE,Dover,19701.0,Drawyers Creek Pump District,192,Chloroform,1.25,0.4,0,ppb,3.125
DE,Dover,19701.0,Drawyers Creek Pump District,192,Dibromochloromethane,0.715,0.1,0,ppb,7.1499999999999995
DE,Dover,19701.0,Drawyers Creek Pump District,192,Dichloroacetic acid,0.511,0.2,0,ppb,2.5549999999999997
DE,Dover,19701.0,Drawyers Creek Pump District,192,Haloacetic acids (HAA5)†,0.511,0.1,60,ppb,5.109999999999999
DE,Dover,19701.0,Drawyers Creek Pump District,192,Total trihalomethanes (TTHMs)†,4.87,0.15,80,ppb,32.46666666666667
DE,Dover,19701.0,East Ncc District,3954,Arsenic,0.167,0.004,10,ppb,41.75
DE,Dover,19701.0,East Ncc District,3954,Bromodichloromethane,0.6,0.06,0,ppb,10.0
DE,Dover,19701.0,East Ncc District,3954,Chloroform,0.912,0.4,0,ppb,2.28
DE,Dover,19701.0,East Ncc District,3954,Haloacetic acids (HAA5)†,0.265,0.1,60,ppb,2.65
DE,Dover,19701.0,East Ncc District,3954,Nitrate,0.562,0.14,10,ppm,4.014285714285714
DE,Dover,19701.0,East Ncc District,3954,Nitrate and nitrite,0.632,0.14,10,ppm,4.514285714285714
DE,Dover,19701.0,East Ncc District,3954,Total trihalomethanes (TTHMs)†,2.51,0.15,80,ppb,16.733333333333334
DE,Dover,19701.0,East Ncc District,3954,Barium,47.7,700.0,2000,ppb,0.06814285714285714
DE,Dover,19701.0,East Ncc District,3954,Dibromochloromethane,0.181,0.1,0,ppb,1.8099999999999998
DE,Dover,19701.0,East Ncc District,3954,Dichloroacetic acid,0.265,0.2,0,ppb,1.325
DE,Dover,19701.0,East Ncc District,3954,Manganese,11.5,100.0,0,ppb,0.115
DE,Dover,19701.0,East Ncc District,3954,Toluene,0.072,150.0,1000,ppb,0.00047999999999999996
DE,Newark,19701.0,Fort Dupont,69,Arsenic,0.125,0.004,10,ppb,31.25
DE,Newark,19701.0,Fort Dupont,69,Bromodichloromethane,5.58,0.06,0,ppb,93.0
DE,Newark,19701.0,Fort Dupont,69,Bromoform,2.47,0.5,0,ppb,4.94
DE,Newark,19701.0,Fort Dupont,69,Chloroform,7.99,0.4,0,ppb,19.974999999999998
DE,Newark,19701.0,Fort Dupont,69,Dibromoacetic acid,0.4,0.04,0,ppb,10.0
DE,Newark,19701.0,Fort Dupont,69,Dibromochloromethane,4.72,0.1,0,ppb,47.199999999999996
DE,Newark,19701.0,Fort Dupont,69,Dichloroacetic acid,3.12,0.2,0,ppb,15.6
DE,Newark,19701.0,Fort Dupont,69,Haloacetic acids (HAA5)†,4.88,0.1,60,ppb,48.8
DE,Newark,19701.0,Fort Dupont,69,Radium combined (-226 &amp; -228),1.5,0.05,5,pCi/L,30.0
DE,Newark,19701.0,Fort Dupont,69,Total trihalomethanes (TTHMs)†,21.4,0.15,80,ppb,142.66666666666666
DE,Newark,19701.0,Fort Dupont,69,Trichloroacetic acid,1.36,0.1,0,ppb,13.6
DE,Newark,19701.0,Fort Dupont,69,Barium,8.38,700.0,2000,ppb,0.011971428571428572
DE,Newark,19701.0,Fort Dupont,69,Chloromethane,0.11,2.69,0,ppb,0.040892193308550186
DE,Newark,19701.0,Fort Dupont,69,Dichloromethane (methylene chloride),0.0983,4.0,5,ppb,0.024575
DE,Newark,19701.0,Fort Dupont,69,Ethylbenzene,0.333,300.0,700,ppb,0.00111
DE,Newark,19701.0,Fort Dupont,69,Manganese,0.65,100.0,0,ppb,0.006500000000000001
DE,Newark,19701.0,Fort Dupont,69,Selenium,0.2,30.0,50,ppb,0.006666666666666667
DE,Newark,19701.0,Fort Dupont,69,Vanadium,1.0,21.0,0,ppb,0.047619047619047616
DE,Newark,19701.0,Fort Dupont,69,Xylenes (total),1.01,1800.0,10000,ppb,0.0005611111111111111
DE,Newark,19701.0,Fox Hunter Crossing,7035,Bromodichloromethane,3.21,0.06,0,ppb,53.5
DE,Newark,19701.0,Fox Hunter Crossing,7035,Chloroform,20.9,0.4,0,ppb,52.24999999999999
DE,Newark,19701.0,Fox Hunter Crossing,7035,Dibromochloromethane,0.572,0.1,0,ppb,5.719999999999999
DE,Newark,19701.0,Fox Hunter Crossing,7035,Dichloroacetic acid,3.82,0.2,0,ppb,19.099999999999998
DE,Newark,19701.0,Fox Hunter Crossing,7035,Haloacetic acids (HAA5)†,6.01,0.1,60,ppb,60.099999999999994
DE,Newark,19701.0,Fox Hunter Crossing,7035,Radium combined (-226 &amp; -228),1.18,0.05,5,pCi/L,23.599999999999998
DE,Newark,19701.0,Fox Hunter Crossing,7035,Total trihalomethanes (TTHMs)†,28.9,0.15,80,ppb,192.66666666666666
DE,Newark,19701.0,Fox Hunter Crossing,7035,Trichloroacetic acid,2.35,0.1,0,ppb,23.5
DE,Newark,19701.0,Fox Hunter Crossing,7035,Barium,78.5,700.0,2000,ppb,0.11214285714285714
DE,Newark,19701.0,Fox Hunter Crossing,7035,Manganese,2.58,100.0,0,ppb,0.0258
DE,Newark,19701.0,Fox Hunter Crossing,7035,Nitrate,0.00458,0.14,10,ppm,0.03271428571428571
DE,Newark,19701.0,Fox Hunter Crossing,7035,Nitrate and nitrite,0.0338,0.14,10,ppm,0.24142857142857138
DE,Dover,19701.0,Frederick Lodge Pump District,204,Arsenic,0.25,0.004,10,ppb,62.5
DE,Dover,19701.0,Frederick Lodge Pump District,204,Bromodichloromethane,0.555,0.06,0,ppb,9.250000000000002
DE,Dover,19701.0,Frederick Lodge Pump District,204,Chloroform,1.53,0.4,0,ppb,3.8249999999999997
DE,Dover,19701.0,Frederick Lodge Pump District,204,Dichloroacetic acid,0.628,0.2,0,ppb,3.1399999999999997
DE,Dover,19701.0,Frederick Lodge Pump District,204,Haloacetic acids (HAA5)†,2.0,0.1,60,ppb,20.0
DE,Dover,19701.0,Frederick Lodge Pump District,204,Radium combined (-226 &amp; -228),0.25,0.05,5,pCi/L,5.0
DE,Dover,19701.0,Frederick Lodge Pump District,204,Total trihalomethanes (TTHMs)†,3.61,0.15,80,ppb,24.066666666666666
DE,Dover,19701.0,Frederick Lodge Pump District,204,Trichloroacetic acid,1.37,0.1,0,ppb,13.700000000000001
DE,Middletown,19701.0,Middletown Water Department,16000,Arsenic,0.25,0.004,10,ppb,62.5
DE,Middletown,19701.0,Middletown Water Department,16000,Bromodichloromethane,8.9,0.06,0,ppb,148.33333333333334
DE,Middletown,19701.0,Middletown Water Department,16000,Chloroform,36.9,0.4,0,ppb,92.24999999999999
DE,Middletown,19701.0,Middletown Water Department,16000,Chromium (hexavalent),0.0458,0.02,0,ppb,2.29
DE,Middletown,19701.0,Middletown Water Department,16000,Dibromoacetic acid,0.128,0.04,0,ppb,3.2
DE,Middletown,19701.0,Middletown Water Department,16000,Dibromochloromethane,1.58,0.1,0,ppb,15.8
DE,Middletown,19701.0,Middletown Water Department,16000,Dichloroacetic acid,12.4,0.2,0,ppb,62.0
