Utility name,City,People served,Zip
Artesian Water Company,Newark,"Population served: 301,000",19701
Augustine Creek,Newark,Population served: 621,19701
Bayview Improvement Company,Newark,Population served: 214,19701
Carpenters Row,Wilmington,Population served: 60,19701
,,Population served: 0,19701
Delaware City Water Department,Delaware City,"Population served: 1,872",19701
Delaware Correctional Center,Newark,"Population served: 2,000",19701
Drawyers Creek Pump District,Dover,Population served: 192,19701
East Ncc District,Dover,"Population served: 3,954",19701
Fort Dupont,Newark,Population served: 69,19701
Fox Hunter Crossing,Newark,"Population served: 7,035",19701
Frederick Lodge Pump District,Dover,Population served: 204,19701
Middletown Water Department,Middletown,"Population served: 16,000",19701
Municipal Services Commission,New Castle,"Population served: 6,000",19701
Newark Water Department,Newark,"Population served: 36,450",19701
North West Pump District,Dover,"Population served: 3,774",19701
Ponds Of Odessa (awc),Newark,Population served: 216,19701
South East Pump District,Dover,Population served: 930,19701
Summit Pond Pump District,Dover,Population served: 177,19701
Thomas Cove,Newark,"Population served: 7,977",19701
Suez Water Delaware,Wilmington,"Population served: 100,495",19701
Wilmington Water Department,Wilmington,"Population served: 107,976",19701
Winterthur,Winterthur,Population served: 687,19701
Dover Water Department,"Dover, DE","Population served:38,000",19901
Camden District,"Dover, DE","Population served:15,174",19901
Smyrna Water Department,"Smyrna, DE","Population served:11,584",19901
Milford Water Department,"Milford, DE","Population served:9,800",19901
Garrison Lake Pump District,"Dover, DE","Population served:8,559",19901
Dover Air Force Base,"Dover, DE","Population served:6,124",19901
Church Creek,"Newark, DE","Population served:7,665",19901
Clayton Water Department,"Clayton, DE","Population served:3,500",19901
Camden Wyoming Sewer and Water Authority,"Camden, DE","Population served:5,000",19901
Harrington Water Department,"Harrington, DE","Population served:3,174",19901
Bethany Bay Ocean View,"Dover, DE","Population served:34,500",19930
Rehoboth District,"Dover, DE","Population served:32,700",19930
Rehoboth Beach Water Department,"Rehoboth Beach, DE","Population served:30,000",19930
Dewey Beach Water Department,"Frankford, DE","Population served:22,400",19930
South Bethany,"Newark, DE","Population served:15,771",19930
Sussex Shores Water Company,"Bethany Beach, DE","Population served:12,450",19930
Bethany Beach Water Department,"Bethany Beach, DE","Population served:12,000",19930
Long Neck Water Company,"Long Neck, DE","Population served:11,180",19930
Meadow District,"Dover, DE","Population served:10,500",19930
Lewes Board Of Public Works,"Lewes, DE","Population served:9,400",19930
City of Cambridge,"Cambridge, MD","Population served:15,000",19973
