Utility name,City,People served,Zip
Artesian Water Company,Newark,"Population served: 301,000",19701
Augustine Creek,Newark,Population served: 621,19701
Bayview Improvement Company,Newark,Population served: 214,19701
Carpenters Row,Wilmington,Population served: 60,19701
,,Population served: 0,19701
Delaware City Water Department,Delaware City,"Population served: 1,872",19701
Delaware Correctional Center,Newark,"Population served: 2,000",19701
Drawyers Creek Pump District,Dover,Population served: 192,19701
East Ncc District,Dover,"Population served: 3,954",19701
Fort Dupont,Newark,Population served: 69,19701
Fox Hunter Crossing,Newark,"Population served: 7,035",19701
Frederick Lodge Pump District,Dover,Population served: 204,19701
Middletown Water Department,Middletown,"Population served: 16,000",19701
Municipal Services Commission,New Castle,"Population served: 6,000",19701
Newark Water Department,Newark,"Population served: 36,450",19701
North West Pump District,Dover,"Population served: 3,774",19701
Ponds Of Odessa (awc),Newark,Population served: 216,19701
South East Pump District,Dover,Population served: 930,19701
Summit Pond Pump District,Dover,Population served: 177,19701
Thomas Cove,Newark,"Population served: 7,977",19701
Suez Water Delaware,Wilmington,"Population served: 100,495",19701
Wilmington Water Department,Wilmington,"Population served: 107,976",19701
Winterthur,Winterthur,Population served: 687,19701
Artesian Water Company,Newark,"Population served: 301,000",19702
Augustine Creek,Newark,Population served: 621,19702
Bayview Improvement Company,Newark,Population served: 214,19702
Carpenters Row,Wilmington,Population served: 60,19702
,,Population served: 0,19702
Delaware City Water Department,Delaware City,"Population served: 1,872",19702
Delaware Correctional Center,Newark,"Population served: 2,000",19702
Drawyers Creek Pump District,Dover,Population served: 192,19702
East Ncc District,Dover,"Population served: 3,954",19702
Fort Dupont,Newark,Population served: 69,19702
Fox Hunter Crossing,Newark,"Population served: 7,035",19702
Frederick Lodge Pump District,Dover,Population served: 204,19702
Middletown Water Department,Middletown,"Population served: 16,000",19702
Municipal Services Commission,New Castle,"Population served: 6,000",19702
Newark Water Department,Newark,"Population served: 36,450",19702
North West Pump District,Dover,"Population served: 3,774",19702
Ponds Of Odessa (awc),Newark,Population served: 216,19702
South East Pump District,Dover,Population served: 930,19702
Summit Pond Pump District,Dover,Population served: 177,19702
Thomas Cove,Newark,"Population served: 7,977",19702
Suez Water Delaware,Wilmington,"Population served: 100,495",19702
Wilmington Water Department,Wilmington,"Population served: 107,976",19702
Winterthur,Winterthur,Population served: 687,19702
Artesian Water Company,Newark,"Population served: 301,000",19703
Augustine Creek,Newark,Population served: 621,19703
Bayview Improvement Company,Newark,Population served: 214,19703
Carpenters Row,Wilmington,Population served: 60,19703
,,Population served: 0,19703
Delaware City Water Department,Delaware City,"Population served: 1,872",19703
Delaware Correctional Center,Newark,"Population served: 2,000",19703
Drawyers Creek Pump District,Dover,Population served: 192,19703
East Ncc District,Dover,"Population served: 3,954",19703
Fort Dupont,Newark,Population served: 69,19703
Fox Hunter Crossing,Newark,"Population served: 7,035",19703
Frederick Lodge Pump District,Dover,Population served: 204,19703
Middletown Water Department,Middletown,"Population served: 16,000",19703
Municipal Services Commission,New Castle,"Population served: 6,000",19703
Newark Water Department,Newark,"Population served: 36,450",19703
North West Pump District,Dover,"Population served: 3,774",19703
Ponds Of Odessa (awc),Newark,Population served: 216,19703
South East Pump District,Dover,Population served: 930,19703
Summit Pond Pump District,Dover,Population served: 177,19703
Thomas Cove,Newark,"Population served: 7,977",19703
Suez Water Delaware,Wilmington,"Population served: 100,495",19703
