State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
IL,Highland Park IL,60002.0,Highland Park,29763,Arsenic,0.5,0.004,10,ppb,125.0
IL,Highland Park IL,60002.0,Highland Park,29763,Haloacetic acids (HAA5)†,11.3,0.1,60,ppb,113.0
IL,Highland Park IL,60002.0,Highland Park,29763,Nitrate,0.329,0.14,10,ppm,2.35
IL,Highland Park IL,60002.0,Highland Park,29763,Radium combined (-226 &amp; -228),0.68,0.05,5,pCi/L,13.6
IL,Highland Park IL,60002.0,Highland Park,29763,Total trihalomethanes (TTHMs)†,15.1,0.15,80,ppb,100.66666666666667
IL,Highland Park IL,60002.0,Highland Park,29763,Aluminum,4.5,600.0,0,ppb,0.0075
IL,Highland Park IL,60002.0,Highland Park,29763,Barium,13.9,700.0,2000,ppb,0.019857142857142858
IL,Highland Park IL,60002.0,Highland Park,29763,Manganese,2.0,100.0,0,ppb,0.02
IL,Highland Park IL,60002.0,Highland Park,29763,Mercury (inorganic),0.1,1.2,2,ppb,0.08333333333333334
IL,Gurnee IL,60002.0,Gurnee,31284,Arsenic,0.569,0.004,10,ppb,142.24999999999997
IL,Gurnee IL,60002.0,Gurnee,31284,Bromate*,1.26,0.1,10,ppb,12.6
IL,Gurnee IL,60002.0,Gurnee,31284,Bromodichloromethane,5.93,0.06,0,ppb,98.83333333333333
IL,Gurnee IL,60002.0,Gurnee,31284,Chloroform,7.95,0.4,0,ppb,19.875
IL,Gurnee IL,60002.0,Gurnee,31284,Chromium (hexavalent),0.186,0.02,0,ppb,9.299999999999999
IL,Gurnee IL,60002.0,Gurnee,31284,Dibromoacetic acid,0.416,0.04,0,ppb,10.399999999999999
IL,Gurnee IL,60002.0,Gurnee,31284,Dibromochloromethane,4.59,0.1,0,ppb,45.9
IL,Gurnee IL,60002.0,Gurnee,31284,Dichloroacetic acid,3.28,0.2,0,ppb,16.4
IL,Gurnee IL,60002.0,Gurnee,31284,Haloacetic acids (HAA5)†,6.67,0.1,60,ppb,66.69999999999999
IL,Gurnee IL,60002.0,Gurnee,31284,Haloacetic acids (HAA9)†,8.42,0.06,0,ppb,140.33333333333334
IL,Gurnee IL,60002.0,Gurnee,31284,Nitrate*,0.407,0.14,10,ppm,2.9071428571428566
IL,Gurnee IL,60002.0,Gurnee,31284,Nitrate and nitrite*,0.43,0.14,10,ppm,3.071428571428571
IL,Gurnee IL,60002.0,Gurnee,31284,Radium combined (-226 &amp; -228),11.72,0.05,5,pCi/L,234.4
IL,Gurnee IL,60002.0,Gurnee,31284,Total trihalomethanes (TTHMs)†,19.3,0.15,80,ppb,128.66666666666669
IL,Gurnee IL,60002.0,Gurnee,31284,Trichloroacetic acid,2.0,0.1,0,ppb,20.0
IL,Gurnee IL,60002.0,Gurnee,31284,Barium,24.0,700.0,2000,ppb,0.03428571428571429
IL,Gurnee IL,60002.0,Gurnee,31284,Bromoform,0.784,0.5,0,ppb,1.568
IL,Gurnee IL,60002.0,Gurnee,31284,Chlorate,73.5,210.0,0,ppb,0.35
IL,Gurnee IL,60002.0,Gurnee,31284,Manganese,4.07,100.0,0,ppb,0.0407
IL,Gurnee IL,60002.0,Gurnee,31284,Molybdenum,0.7,40.0,0,ppb,0.017499999999999998
