Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Atchison County Public Water Supply District 1,Bromochloroacetic acid,4.30 ppb,0.02 ppb,
Atchison County Public Water Supply District 1,Bromodichloroacetic acid,1.59 ppb,0.04 ppb,
Atchison County Public Water Supply District 1,Bromodichloromethane,13.1 ppb,0.06 ppb,
Atchison County Public Water Supply District 1,Bromoform,3.70 ppb,0.5 ppb,
Atchison County Public Water Supply District 1,Chlorodibromoacetic acid,0.802 ppb,0.02 ppb,
Atchison County Public Water Supply District 1,Chloroform,10.8 ppb,0.4 ppb,
Atchison County Public Water Supply District 1,Dibromoacetic acid,3.12 ppb,0.04 ppb,
Atchison County Public Water Supply District 1,Dibromochloromethane,11.2 ppb,0.1 ppb,
Atchison County Public Water Supply District 1,Dichloroacetic acid,4.99 ppb,0.2 ppb,
Atchison County Public Water Supply District 1,Haloacetic acids (HAA5)†,6.15 ppb,0.1 ppb,60 ppb
Atchison County Public Water Supply District 1,Total trihalomethanes (TTHMs)†,38.7 ppb,0.15 ppb,80 ppb
Atchison County Public Water Supply District 1,Trichloroacetic acid,1.06 ppb,0.1 ppb,
Atchison County Public Water Supply District 1,Monobromoacetic acid,0.939 ppb,25 ppb,
Atchison County Public Water Supply District 1,None,,,
Atchison County Public Water Supply District 1,Bromochloroacetic acid,4.30 ppb,0.02 ppb,
Atchison County Public Water Supply District 1,Bromodichloroacetic acid,1.59 ppb,0.04 ppb,
Atchison County Public Water Supply District 1,Bromodichloromethane,13.1 ppb,0.06 ppb,
Atchison County Public Water Supply District 1,Bromoform,3.70 ppb,0.5 ppb,
Atchison County Public Water Supply District 1,Chlorodibromoacetic acid,0.802 ppb,0.02 ppb,
Atchison County Public Water Supply District 1,Chloroform,10.8 ppb,0.4 ppb,
Atchison County Public Water Supply District 1,Dibromoacetic acid,3.12 ppb,0.04 ppb,
Atchison County Public Water Supply District 1,Dibromochloromethane,11.2 ppb,0.1 ppb,
Atchison County Public Water Supply District 1,Dichloroacetic acid,4.99 ppb,0.2 ppb,
Atchison County Public Water Supply District 1,Haloacetic acids (HAA5)†,6.15 ppb,0.1 ppb,60 ppb
Atchison County Public Water Supply District 1,Total trihalomethanes (TTHMs)†,38.7 ppb,0.15 ppb,80 ppb
