State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
KS,Atchison KS,66002.0,City of Atchison,10636,Arsenic,1.72,0.004,10,ppb,430.0
KS,Atchison KS,66002.0,City of Atchison,10636,Atrazine,0.803,0.1,3,ppb,8.03
KS,Atchison KS,66002.0,City of Atchison,10636,Bromate,0.48,0.1,10,ppb,4.8
KS,Atchison KS,66002.0,City of Atchison,10636,Bromodichloromethane,12.7,0.06,0,ppb,211.66666666666666
KS,Atchison KS,66002.0,City of Atchison,10636,Chloroform,29.0,0.4,0,ppb,72.5
KS,Atchison KS,66002.0,City of Atchison,10636,Chromium (hexavalent),0.045,0.02,0,ppb,2.25
KS,Atchison KS,66002.0,City of Atchison,10636,Dibromoacetic acid,1.23,0.04,0,ppb,30.75
KS,Atchison KS,66002.0,City of Atchison,10636,Dibromochloromethane,5.23,0.1,0,ppb,52.300000000000004
KS,Atchison KS,66002.0,City of Atchison,10636,Dichloroacetic acid,12.5,0.2,0,ppb,62.5
KS,Atchison KS,66002.0,City of Atchison,10636,Haloacetic acids (HAA5)†,26.8,0.1,60,ppb,268.0
KS,Atchison KS,66002.0,City of Atchison,10636,Haloacetic acids (HAA9)†,28.6,0.06,0,ppb,476.6666666666667
KS,Atchison KS,66002.0,City of Atchison,10636,Nitrate,2.48,0.14,10,ppm,17.71428571428571
KS,Atchison KS,66002.0,City of Atchison,10636,Total trihalomethanes (TTHMs)†,47.2,0.15,80,ppb,314.6666666666667
KS,Atchison KS,66002.0,City of Atchison,10636,Trichloroacetic acid,10.9,0.1,0,ppb,109.0
KS,Atchison KS,66002.0,City of Atchison,10636,Aluminum,156.5,600.0,0,ppb,0.2608333333333333
KS,Atchison KS,66002.0,City of Atchison,10636,Barium,90.2,700.0,2000,ppb,0.12885714285714286
KS,Atchison KS,66002.0,City of Atchison,10636,Bromoform,0.261,0.5,0,ppb,0.522
KS,Atchison KS,66002.0,City of Atchison,10636,Chlorate,331.6,210.0,0,ppb,1.5790476190476193
KS,Atchison KS,66002.0,City of Atchison,10636,Desethylatrazine,0.167,0.1,0,ppb,1.67
KS,Atchison KS,66002.0,City of Atchison,10636,Desisopropylatrazine,0.055,0.1,0,ppb,0.5499999999999999
KS,Atchison KS,66002.0,City of Atchison,10636,Manganese,4.85,100.0,0,ppb,0.048499999999999995
KS,Atchison KS,66002.0,City of Atchison,10636,Molybdenum,3.18,40.0,0,ppb,0.0795
KS,Atchison KS,66002.0,City of Atchison,10636,Monobromoacetic acid,0.449,25.0,0,ppb,0.01796
KS,Atchison KS,66002.0,City of Atchison,10636,Monochloroacetic acid,1.81,53.0,0,ppb,0.034150943396226416
KS,Atchison KS,66002.0,City of Atchison,10636,Selenium,3.35,30.0,50,ppb,0.11166666666666666
KS,Atchison KS,66002.0,City of Atchison,10636,Strontium,0.456,1500.0,0,ppb,0.000304
KS,Atchison KS,66002.0,City of Atchison,10636,Vanadium,3.05,21.0,0,ppb,0.14523809523809522
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Arsenic*,0.37,0.004,10,ppb,92.5
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Bromodichloromethane,18.4,0.06,0,ppb,306.66666666666663
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Bromoform,2.03,0.5,0,ppb,4.06
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Chloroform,26.3,0.4,0,ppb,65.75
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Chromium (hexavalent)*,1.12,0.02,0,ppb,56.00000000000001
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Dibromoacetic acid,4.73,0.04,0,ppb,118.25000000000001
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Dibromochloromethane,12.6,0.1,0,ppb,125.99999999999999
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Dichloroacetic acid,16.0,0.2,0,ppb,80.0
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Haloacetic acids (HAA5)†,29.5,0.1,60,ppb,295.0
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Haloacetic acids (HAA9)*†,33.3,0.06,0,ppb,555.0
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Nitrate*,0.399,0.14,10,ppm,2.85
KS,Baldwin City KS,66006.0,Baldwin City City of,4691,Radium combined (-226 &amp; -228)*,1.15,0.05,5,pCi/L,22.999999999999996
