Utility name,City,People served,Zip
Atchison County Rural Water District 6,"Atchison, KS",Population served:670,66002
Atchison County Rural Water District 3,"Atchison, KS",Population served:110,66002
Jefferson County Rural Water District 12,"Winchester, KS","Population served:3,635",66002
City of Atchison,"Atchison, KS","Population served:10,636",66002
Atchison County Rural Water District 1,"Atchison, KS",Population served:490,66002
Doniphan County Rural Water District 5,"Troy, KS","Population served:1,457",66002
Douglas County Rural Water District 5,"Lawrence, KS","Population served:2,500",66006
Douglas County Rural Water District 2,"Lawrence, KS","Population served:1,163",66006
Franklin County Rural Water District 5,"Ottawa, KS",Population served:855,66006
"Baldwin City, City of","Baldwin City, KS","Population served:4,691",66006
"Edgerton, City of","Edgerton, KS","Population served:1,766",66006
"Wellsville, City of","Wellsville, KS","Population served:1,801",66006
Franklin County Rural Water District 1,"Ottawa, KS",Population served:665,66006
Suburban Water Company,"Basehor, KS","Population served:4,700",66007
Leavenworth County Rural Water District 8,"Mclouth, KS","Population served:2,500",66007
Kansas City Board of Public Utilities,"Kansas City, KS","Population served:152,958",66007
Doniphan County Rural Water District 3,"Denton, KS",Population served:437,66008
Doniphan Co. RWD 6,"Troy, KS",Population served:428,66008
Anderson County Rural Water District 1c,"Mound City, KS","Population served:2,112",66010
Linn County Rural Water District 2,"Mound City, KS","Population served:1,960",66010
"Blue Mound, City of","Blue Mound, KS",Population served:273,66010
Bourbon County Rural Water District 2c,"Fort Scott, KS","Population served:7,050",66010
"Mound City, City of","Mound City, KS",Population served:686,66010
Anderson County Rural Water District 5,"Colony, KS","Population served:2,093",66010
"Bonner Springs, City of","Bonner Springs, KS","Population served:7,804",66012
Water District 1 of Johnson County,"Kansas City, KS","Population served:443,000",66012
Leavenworth County Rural Water District 1c,"Basehor, KS","Population served:3,200",66012
Linn County Rural Water District 3,"La Cygne, KS",Population served:710,66014
"Colony, City of","Colony, KS",Population served:410,66015
Woodson County Rural Water District 1,"Piqua, KS","Population served:1,773",66015
Brown County Rural Water District 2,"Powhattan, KS",Population served:724,66017
Johnson County Rural Water District 7,"Gardner, KS","Population served:6,457",66018
City of Olathe,"Olathe, KS","Population served:139,605",66018
Leavenworth County Rural Water District 5,"Leavenworth, KS",Population served:740,66020
"Easton, City of","Easton, KS",Population served:260,66020
Franklin County Rural Water District 6,"Rantoul, KS","Population served:2,960",66021
Miami County Rural Water District 2,"Hillsdale, KS","Population served:8,631",66021
"Effingham, City of","Effingham, KS",Population served:521,66023
"Eudora, City of","Eudora, KS","Population served:6,384",66025
"Fontana, City of","Fontana, KS",Population served:232,66026
Linn County Rural Water District 1,"La Cygne, KS","Population served:1,200",66026
Fort Leavenworth American Water Ent Inc,"Fort Leavenworth, KS","Population served:12,934",66027
Leavenworth County Rural Water District 2,"Leavenworth, KS",Population served:483,66027
City of Gardner,"Gardner, KS","Population served:21,871",66030
Anderson County Rural Water District 4,"Garnett, KS","Population served:1,200",66032
Franklin County Rural Water District 4,"Williamsburg, KS","Population served:2,281",66032
Anderson County Rural Water District 1,"Garnett, KS",Population served:37,66032
"Garnett, City of","Garnett, KS","Population served:3,262",66032
