zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
66002,39.5488,-95.13881,Atchison,KS,Kansas,True,,13113.0,26.7,20005,Atchison,"{""20005"": 73.65, ""20043"": 17.47, ""20087"": 4.81, ""20103"": 4.07}",Atchison|Doniphan|Jefferson|Leavenworth,20005|20043|20087|20103,False,False,America/Chicago
66006,38.79433,-95.23936,Baldwin City,KS,Kansas,True,,7859.0,27.9,20045,Douglas,"{""20045"": 94.6, ""20059"": 5.4}",Douglas|Franklin,20045|20059,False,False,America/Chicago
66007,39.1405,-94.94548,Basehor,KS,Kansas,True,,7175.0,88.3,20103,Leavenworth,"{""20103"": 100}",Leavenworth,20103,False,False,America/Chicago
66008,39.71283,-95.17564,Bendena,KS,Kansas,True,,185.0,2.5,20043,Doniphan,"{""20043"": 100}",Doniphan,20043,False,False,America/Chicago
66010,38.09231,-94.98853,Blue Mound,KS,Kansas,True,,684.0,3.0,20107,Linn,"{""20107"": 93.66, ""20011"": 6.34}",Linn|Bourbon,20107|20011,False,False,America/Chicago
66012,39.06091,-94.91658,Bonner Springs,KS,Kansas,True,,12330.0,119.9,20103,Leavenworth,"{""20103"": 55.31, ""20209"": 44.69}",Leavenworth|Wyandotte,20103|20209,False,False,America/Chicago
66013,38.73428,-94.68948,Bucyrus,KS,Kansas,True,,1804.0,15.5,20121,Miami,"{""20121"": 58.2, ""20091"": 41.8}",Miami|Johnson,20121|20091,False,False,America/Chicago
66014,38.22305,-94.98371,Centerville,KS,Kansas,True,,540.0,3.1,20107,Linn,"{""20107"": 96.28, ""20003"": 3.72}",Linn|Anderson,20107|20003,False,False,America/Chicago
66015,38.06786,-95.40395,Colony,KS,Kansas,True,,729.0,3.0,20003,Anderson,"{""20003"": 76.9, ""20001"": 23.1}",Anderson|Allen,20003|20001,False,False,America/Chicago
66016,39.47038,-95.23158,Cummings,KS,Kansas,True,,636.0,7.8,20005,Atchison,"{""20005"": 100}",Atchison,20005,False,False,America/Chicago
66017,39.70599,-95.27591,Denton,KS,Kansas,True,,396.0,3.7,20043,Doniphan,"{""20043"": 93.33, ""20013"": 6.67}",Doniphan|Brown,20043|20013,False,False,America/Chicago
66018,38.96524,-94.97232,De Soto,KS,Kansas,True,,6380.0,106.1,20091,Johnson,"{""20091"": 100}",Johnson,20091,False,False,America/Chicago
66020,39.34142,-95.10779,Easton,KS,Kansas,True,,1660.0,10.1,20103,Leavenworth,"{""20103"": 100}",Leavenworth,20103,False,False,America/Chicago
