Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Cottrellville Township,Haloacetic acids (HAA5)†,23.8 ppb,0.1 ppb,60 ppb
Cottrellville Township,Total trihalomethanes (TTHMs)†,51.6 ppb,0.15 ppb,80 ppb
"Armada, Village of",Bromochloroacetic acid,0.667 ppb,0.02 ppb,
"Armada, Village of",Bromodichloromethane,3.83 ppb,0.06 ppb,
"Armada, Village of",Bromoform,15.5 ppb,0.5 ppb,
"Armada, Village of",Chloroform,1.11 ppb,0.4 ppb,
"Armada, Village of",Dibromoacetic acid,2.50 ppb,0.04 ppb,
"Armada, Village of",Dibromochloromethane,9.43 ppb,0.1 ppb,
"Armada, Village of",Dichloroacetic acid,1.000 ppb,0.2 ppb,
"Armada, Village of",Haloacetic acids (HAA5)†,3.14 ppb,0.1 ppb,60 ppb
"Armada, Village of",Total trihalomethanes (TTHMs)†,33.6 ppb,0.15 ppb,80 ppb
"Armada, Village of",Ethylbenzene,0.175 ppb,300 ppb,700 ppb
"Armada, Village of",Fluoride,1.13 ppm,,4 ppm
"Armada, Village of",Styrene,0.175 ppb,0.5 ppb,100 ppb
"Armada, Village of",Xylenes (total),0.325 ppb,"1,800 ppb","10,000 ppb"
"Armada, Village of",None,,,
Richmond Township,Nitrate,1.60 ppm,0.14 ppm,10 ppm
Richmond Township,"Radium, combined (-226 &amp; -228)",1.72 pCi/L,0.05 pCi/L,5 pCi/L
Richmond Township,Barium,10.00 ppb,700 ppb,"2,000 ppb"
Richmond Township,Selenium,4.00 ppb,30 ppb,50 ppb
Richmond Township,Total Per- and polyfluoroalkyl substances ,2.00 ppt,,
Richmond Township,None,,,
Bruce Township,Bromodichloromethane,2.15 ppb,0.06 ppb,
Bruce Township,Bromoform,1.70 ppb,0.5 ppb,
Bruce Township,Chloroform,2.25 ppb,0.4 ppb,
Bruce Township,Dibromochloromethane,2.60 ppb,0.1 ppb,
Bruce Township,Haloacetic acids (HAA5)†,12.6 ppb,0.1 ppb,60 ppb
Bruce Township,Nitrate*,0.348 ppm,0.14 ppm,10 ppm
Bruce Township,"Radium, combined (-226 &amp; -228)*",0.86 pCi/L,0.05 pCi/L,5 pCi/L
Bruce Township,Total trihalomethanes (TTHMs)†,24.2 ppb,0.15 ppb,80 ppb
Bruce Township,Trichloroacetic acid,0.500 ppb,0.1 ppb,
Bruce Township,Barium*,10.00 ppb,700 ppb,"2,000 ppb"
Bruce Township,Fluoride*,0.600 ppm,,4 ppm
Bruce Township,None,,,
Berlin Township,Bromochloroacetic acid,1.000 ppb,0.02 ppb,
Berlin Township,Bromodichloromethane,11.8 ppb,0.06 ppb,
Berlin Township,Chloroform,24.7 ppb,0.4 ppb,
Berlin Township,Chromium (hexavalent),0.138 ppb,0.02 ppb,
Berlin Township,Dibromoacetic acid,0.143 ppb,0.04 ppb,
Berlin Township,Dibromochloromethane,4.64 ppb,0.1 ppb,
Berlin Township,Dichloroacetic acid,4.71 ppb,0.2 ppb,
Berlin Township,Haloacetic acids (HAA5)†,15.8 ppb,0.1 ppb,60 ppb
Berlin Township,Total trihalomethanes (TTHMs)†,40.8 ppb,0.15 ppb,80 ppb
Berlin Township,Trichloroacetic acid,8.57 ppb,0.1 ppb,
Berlin Township,Bromoform,0.200 ppb,0.5 ppb,
Berlin Township,Chromium (total),0.0860 ppb,,100 ppb
Berlin Township,Manganese,0.212 ppb,100 ppb,
Berlin Township,Strontium,0.110 ppb,"1,500 ppb",
Berlin Township,Vanadium,0.247 ppb,21 ppb,
Berlin Township,None,,,
Lenox Township,Haloacetic acids (HAA5)†,14.1 ppb,0.1 ppb,60 ppb
Lenox Township,Nitrate*,0.348 ppm,0.14 ppm,10 ppm
Lenox Township,"Radium, combined (-226 &amp; -228)*",0.86 pCi/L,0.05 pCi/L,5 pCi/L
Lenox Township,Total trihalomethanes (TTHMs)†,53.6 ppb,0.15 ppb,80 ppb
Lenox Township,Barium*,10.00 ppb,700 ppb,"2,000 ppb"
Lenox Township,Fluoride*,0.600 ppm,,4 ppm
Clyde Township,Bromochloroacetic acid*,1.63 ppb,0.02 ppb,
Clyde Township,Bromodichloromethane*,7.83 ppb,0.06 ppb,
Clyde Township,Chloroform*,17.5 ppb,0.4 ppb,
Clyde Township,Dibromoacetic acid*,0.125 ppb,0.04 ppb,
Clyde Township,Dibromochloromethane*,2.94 ppb,0.1 ppb,
Clyde Township,Dichloroacetic acid*,6.13 ppb,0.2 ppb,
Clyde Township,Haloacetic acids (HAA5)†,20.0 ppb,0.1 ppb,60 ppb
Clyde Township,Total trihalomethanes (TTHMs)†,53.5 ppb,0.15 ppb,80 ppb
Clyde Township,Trichloroacetic acid*,5.25 ppb,0.1 ppb,
Clyde Township,Bromoform*,0.0714 ppb,0.5 ppb,
Bloomfield Township,Bromochloroacetic acid,1.44 ppb,0.02 ppb,
Bloomfield Township,Bromodichloromethane,7.90 ppb,0.06 ppb,
Bloomfield Township,Chloroform,20.7 ppb,0.4 ppb,
Bloomfield Township,Chromium (hexavalent),0.106 ppb,0.02 ppb,
Bloomfield Township,Dibromochloromethane,2.68 ppb,0.1 ppb,
Bloomfield Township,Dichloroacetic acid,5.33 ppb,0.2 ppb,
Bloomfield Township,Haloacetic acids (HAA5)†,12.9 ppb,0.1 ppb,60 ppb
Bloomfield Township,Haloacetic acids (HAA9)†,25.4 ppb,0.06 ppb,
Bloomfield Township,Nitrate*,0.348 ppm,0.14 ppm,10 ppm
Bloomfield Township,"Radium, combined (-226 &amp; -228)*",0.86 pCi/L,0.05 pCi/L,5 pCi/L
Bloomfield Township,Total trihalomethanes (TTHMs)†,32.4 ppb,0.15 ppb,80 ppb
Bloomfield Township,Trichloroacetic acid,8.00 ppb,0.1 ppb,
Bloomfield Township,Barium*,10.00 ppb,700 ppb,"2,000 ppb"
Bloomfield Township,Chlorate,124.0 ppb,210 ppb,
Bloomfield Township,Chromium (total),0.216 ppb,,100 ppb
Bloomfield Township,Fluoride*,0.600 ppm,,4 ppm
Bloomfield Township,Strontium,0.0983 ppb,"1,500 ppb",
Bloomfield Township,Vanadium,0.0888 ppb,21 ppb,
Bloomfield Township,None,,,
Southfield,Bromochloroacetic acid,1.88 ppb,0.02 ppb,
Southfield,Bromodichloromethane,7.58 ppb,0.06 ppb,
Southfield,Chloroform,16.5 ppb,0.4 ppb,
Southfield,Chromium (hexavalent),0.118 ppb,0.02 ppb,
Southfield,Dibromochloromethane,2.73 ppb,0.1 ppb,
Southfield,Dichloroacetic acid,6.44 ppb,0.2 ppb,
Southfield,Haloacetic acids (HAA5)†,16.0 ppb,0.1 ppb,60 ppb
Southfield,Haloacetic acids (HAA9)†,23.5 ppb,0.06 ppb,
Southfield,Nitrate*,0.400 ppm,0.14 ppm,10 ppm
