State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
MI,Cottrellville MI,48001.0,Cottrellville Township,3200,Haloacetic acids (HAA5)†,23.8,0.1,60,ppb,238.0
MI,Cottrellville MI,48001.0,Cottrellville Township,3200,Total trihalomethanes (TTHMs)†,51.6,0.15,80,ppb,344.0
MI,Armada MI,48002.0,Armada Village of,1794,Bromochloroacetic acid,0.667,0.02,0,ppb,33.35
MI,Armada MI,48002.0,Armada Village of,1794,Bromodichloromethane,3.83,0.06,0,ppb,63.833333333333336
MI,Armada MI,48002.0,Armada Village of,1794,Bromoform,15.5,0.5,0,ppb,31.0
MI,Armada MI,48002.0,Armada Village of,1794,Chloroform,1.11,0.4,0,ppb,2.775
MI,Armada MI,48002.0,Armada Village of,1794,Dibromoacetic acid,2.5,0.04,0,ppb,62.5
MI,Armada MI,48002.0,Armada Village of,1794,Dibromochloromethane,9.43,0.1,0,ppb,94.3
MI,Armada MI,48002.0,Armada Village of,1794,Dichloroacetic acid,1.0,0.2,0,ppb,5.0
MI,Armada MI,48002.0,Armada Village of,1794,Haloacetic acids (HAA5)†,3.14,0.1,60,ppb,31.4
MI,Armada MI,48002.0,Armada Village of,1794,Total trihalomethanes (TTHMs)†,33.6,0.15,80,ppb,224.00000000000003
MI,Armada MI,48002.0,Armada Village of,1794,Ethylbenzene,0.175,300.0,700,ppb,0.0005833333333333333
MI,Armada MI,48002.0,Armada Village of,1794,Styrene,0.175,0.5,100,ppb,0.35
MI,Armada MI,48002.0,Armada Village of,1794,Xylenes (total),0.325,1800.0,10000,ppb,0.00018055555555555557
MI,Palmer MI,48002.0,Richmond Township,489,Nitrate,1.6,0.14,10,ppm,11.428571428571429
MI,Palmer MI,48002.0,Richmond Township,489,Radium combined (-226 &amp; -228),1.72,0.05,5,pCi/L,34.4
MI,Palmer MI,48002.0,Richmond Township,489,Barium,10.0,700.0,2000,ppb,0.014285714285714285
MI,Palmer MI,48002.0,Richmond Township,489,Selenium,4.0,30.0,50,ppb,0.13333333333333333
MI,Romeo MI,48003.0,Bruce Township,45,Bromodichloromethane,2.15,0.06,0,ppb,35.833333333333336
MI,Romeo MI,48003.0,Bruce Township,45,Bromoform,1.7,0.5,0,ppb,3.4
MI,Romeo MI,48003.0,Bruce Township,45,Chloroform,2.25,0.4,0,ppb,5.625
MI,Romeo MI,48003.0,Bruce Township,45,Dibromochloromethane,2.6,0.1,0,ppb,26.0
MI,Romeo MI,48003.0,Bruce Township,45,Haloacetic acids (HAA5)†,12.6,0.1,60,ppb,125.99999999999999
MI,Romeo MI,48003.0,Bruce Township,45,Nitrate*,0.348,0.14,10,ppm,2.4857142857142853
MI,Romeo MI,48003.0,Bruce Township,45,Radium combined (-226 &amp; -228)*,0.86,0.05,5,pCi/L,17.2
MI,Romeo MI,48003.0,Bruce Township,45,Total trihalomethanes (TTHMs)†,24.2,0.15,80,ppb,161.33333333333334
MI,Romeo MI,48003.0,Bruce Township,45,Trichloroacetic acid,0.5,0.1,0,ppb,5.0
MI,Romeo MI,48003.0,Bruce Township,45,Barium*,10.0,700.0,2000,ppb,0.014285714285714285
MI,Newport MI,48003.0,Berlin Township,9300,Bromochloroacetic acid,1.0,0.02,0,ppb,50.0
MI,Newport MI,48003.0,Berlin Township,9300,Bromodichloromethane,11.8,0.06,0,ppb,196.66666666666669
MI,Newport MI,48003.0,Berlin Township,9300,Chloroform,24.7,0.4,0,ppb,61.74999999999999
MI,Newport MI,48003.0,Berlin Township,9300,Chromium (hexavalent),0.138,0.02,0,ppb,6.9
MI,Newport MI,48003.0,Berlin Township,9300,Dibromoacetic acid,0.143,0.04,0,ppb,3.5749999999999997
MI,Newport MI,48003.0,Berlin Township,9300,Dibromochloromethane,4.64,0.1,0,ppb,46.39999999999999
