Utility name,City,People served,Zip
"Algonac, City of","Ira, MI","Population served:4,110",48001
Cottrellville Township,"Cottrellville, MI","Population served:3,200",48001
"Armada, Village of","Armada, MI","Population served:1,794",48002
Richmond Township,"Palmer, MI",Population served:489,48002
Bruce Township,"Romeo, MI",Population served:45,48003
Berlin Township,"Newport, MI","Population served:9,300",48003
Lenox Township,"Lenox, MI","Population served:3,000",48005
Clyde Township,"Columbus, MI","Population served:2,400",48006
Bloomfield Township,"Bloomfield Hills, MI","Population served:41,070",48009
Southfield,"Maple City, MI","Population served:71,739",48009
City of Royal Oak,"South Lyon, MI","Population served:57,236",48009
Troy,"Johannesburg, MI","Population served:80,980",48009
Emmett Township,"Battle Creek, MI","Population served:3,348",48014
City of Warren,"Lansing, MI","Population served:134,056",48015
City of Detroit,"Detroit, MI","Population served:713,777",48021
City of St. Clair Shores,"St. Clair Shores, MI","Population served:59,715",48021
Harper Woods,"Harper Woods, MI","Population served:14,236",48021
City of New Baltimore,"Dexter, MI","Population served:12,720",48023
Clay Township,"Ypsilanti, MI","Population served:9,866",48023
Beverly Hills,"Beverly Hills, MI","Population served:10,451",48025
Bingham Farms,"Cassopolis, MI",Population served:878,48025
City of Farmington Hills,"Marshall, MI","Population served:56,240",48025
Birmingham,"Traverse City, MI","Population served:20,472",48025
West Bloomfield Township,"West Bloomfield, MI","Population served:49,479",48025
City of Roseville,"Gaylord, MI","Population served:47,299",48026
Clinton,"Clinton, MI","Population served:2,336",48026
Clinton Township,"Clinton Township, MI","Population served:97,513",48026
City of Sterling Heights,"Dewitt, MI","Population served:127,000",48026
St. Clair Township,"St. Clair, MI","Population served:3,270",48027
St. Clair Water and Sewer Authority,"Berrien Springs, MI","Population served:5,847",48027
Madison Heights,"Kinde, MI","Population served:29,694",48030
Ferndale,"Gladwin, MI","Population served:22,105",48030
Worth Township,"Houghton Lake, MI","Population served:3,854",48032
Fremont,"Fremont, MI","Population served:4,081",48032
Burtchville Township,"Lakeport, MI","Population served:2,900",48032
Redford Township,"Port Huron, MI","Population served:48,362",48033
City of Fraser,"Escanaba, MI","Population served:16,500",48035
Macomb Township,"Cadillac, MI","Population served:90,000",48036
City of Mount Clemens,"Traverse City, MI","Population served:18,405",48036
Marine City,"Marine City, MI","Population served:4,652",48039
Ira Township,"Fair Haven, MI","Population served:8,679",48039
Chesterfield Township,"Chesterfield, MI","Population served:41,650",48042
Shelby,"Shelby, MI","Population served:2,065",48042
Shelby Township,"Shelby Township, MI","Population served:72,000",48042
Kimball Township,"Kimball, MI","Population served:3,463",48049
Fort Gratiot Township,"Auburn, MI","Population served:11,153",48049
Grant Township - Copper Harbor,"Copper Harbor, MI",Population served:200,48049
Port Huron Township,"Port Huron, MI","Population served:10,654",48049
"Richmond, City of","Richmond, MI","Population served:5,733",48050
City of Port Huron,"Port Huron, MI","Population served:33,800",48059
"Marysville, City of","Lupton, MI","Population served:9,959",48060
"Memphis, City of","Memphis, MI","Population served:1,180",48062
"Romeo, Village of","Grand Blanc, MI","Population served:3,750",48065
Springbrook Estates Mhc,"Orem, UT",Population served:990,48065
Washington Township,"Washington, MI","Population served:15,828",48065
City of Eastpointe,"Three Rivers, MI","Population served:32,442",48066
Pleasant Ridge,"Royal Oak, MI","Population served:2,526",48067
Huntington Woods,"Huntington Woods, MI","Population served:6,200",48067
Hazel Park,"Hazel Park, MI","Population served:16,400",48067
Oak Park,"Crystal Falls, MI","Population served:29,319",48069
Berkley,"Berkley, MI","Population served:14,970",48070
Clawson,"Clawson, MI","Population served:11,825",48073
Lathrup Village,"Lathrup Village, MI","Population served:4,075",48075
"St. Clair, City of","St. Clair, MI","Population served:5,485",48079
Grosse Pointe Woods,"Grosse Pointe Woods, MI","Population served:16,135",48080
Grosse Pointe Shores,"Grosse Pointe Shores, MI","Population served:2,929",48080
Rochester Hills,"West Olive, MI","Population served:74,000",48085
"Center Line, City of","Center Line, MI","Population served:8,257",48091
"Yale, City of","Yale, MI","Population served:1,900",48097
Dearborn,"Dorr, MI","Population served:98,153",48101
Dearborn Heights,"Saginaw, MI","Population served:57,774",48101
Lincoln Park,"Lincoln Park, MI","Population served:38,144",48101
Melvindale,"Melvindale, MI","Population served:10,715",48101
Southgate,"Southgate, MI","Population served:30,047",48101
Taylor,"Taylor, MI","Population served:63,131",48101
Ann Arbor,"Merrill, MI","Population served:118,017",48103
Loch Alpine Sanitary Authority,"Saint Clair, MI","Population served:1,506",48103
Pittsfield Township,"Marenisco, MI","Population served:24,500",48103
Ann Arbor Township,"Ann Arbor, MI","Population served:1,338",48103
Superior Township,"Skandia, MI","Population served:6,765",48105
Scio Township,"Saint Clair, MI","Population served:8,500",48105
Ypsilanti Community Utility Authority,"Ypsilanti, MI","Population served:53,988",48105
Saline,"Saline, MI","Population served:9,158",48108
Sumpter Township,"Belleville, MI","Population served:9,576",48111
Huron Twp,"Novi, MI","Population served:15,879",48111
Huron Township,"Port Hope, MI",Population served:437,48111
Belleville,"Belleville, MI","Population served:3,964",48111
Augusta,"Augusta, MI",Population served:885,48111
Augusta Township,"Whittaker, MI","Population served:3,907",48111
Canton Township,"Canton, MI","Population served:90,173",48111
Romulus,"Lansing, MI","Population served:23,989",48111
Mhog Sewer & Water Authority,"Brighton, MI","Population served:12,860",48114
Sylvan Glen Estates,"Brighton, MI","Population served:1,015",48114
Hartland Township,"Hartland, MI","Population served:2,200",48114
"Milford, Village of","Lansing, MI","Population served:6,366",48114
Green Oak Township - Centennial Farms,"Highland, MI",Population served:900,48114
"Brighton, City of","Brighton, MI","Population served:7,636",48116
Oak Pointe,"Brighton, MI","Population served:1,900",48116
Fonda Lake Water Authority,"Brighton, MI","Population served:1,200",48116
Lyon Township,"Glennie, MI","Population served:9,390",48116
Frenchtown Township,"Harrison, MI","Population served:16,481",48117
Dexter,"Oxford, MI","Population served:4,160",48118
Chelsea,"Chelsea, MI","Population served:4,944",48118
Grass Lake,"Grass Lake, MI","Population served:1,360",48118
Allen Park,"Allen Park, MI","Population served:28,210",48122
Inkster,"Inkster, MI","Population served:25,369",48125
Petersburg,"Petersburg, MI","Population served:1,115",48131
Brownstown Township,"Marne, MI","Population served:30,627",48134
Ash Township,"Lake Orion, MI","Population served:7,350",48134
Woodhaven,"Ottawa Lake, MI","Population served:12,875",48134
Rockwood,"New Boston, MI","Population served:3,289",48134
Westland,"Westland, MI","Population served:84,094",48135
"Howell, City of","Howell, MI","Population served:9,232",48139
"Fowlerville, Village of","Sparta, MI","Population served:2,951",48139
"Pinckney, Village of","Comins, MI","Population served:2,515",48139
Dundee,"Dundee, MI","Population served:4,250",48140
Monroe,"Monroe, MI","Population served:48,664",48145
Ecorse,"Highland, MI","Population served:9,512",48146
Wyandotte,"Canadian Lakes, MI","Population served:25,883",48146
Plymouth Township,"Olivet, MI","Population served:27,524",48150
Northville Township,"Northville, MI","Population served:29,897",48152
Franklin Township,"Hancock, MI",Population served:300,48158
