Utility name,City,People served,Zip
"Algonac, City of","Ira, MI","Population served:4,110",48001
Cottrellville Township,"Cottrellville, MI","Population served:3,200",48001
"Armada, Village of","Armada, MI","Population served:1,794",48002
Richmond Township,"Palmer, MI",Population served:489,48002
Bruce Township,"Romeo, MI",Population served:45,48003
Berlin Township,"Newport, MI","Population served:9,300",48003
"Armada, Village of","Armada, MI","Population served:1,794",48003
Richmond Township,"Palmer, MI",Population served:489,48005
Bruce Township,"Romeo, MI",Population served:45,48005
Lenox Township,"Lenox, MI","Population served:3,000",48005
Clyde Township,"Columbus, MI","Population served:2,400",48006
Bloomfield Township,"Bloomfield Hills, MI","Population served:41,070",48009
Southfield,"Maple City, MI","Population served:71,739",48009
City of Royal Oak,"South Lyon, MI","Population served:57,236",48009
Troy,"Johannesburg, MI","Population served:80,980",48009
Berlin Township,"Newport, MI","Population served:9,300",48014
Emmett Township,"Battle Creek, MI","Population served:3,348",48014
City of Warren,"Lansing, MI","Population served:134,056",48015
City of Royal Oak,"South Lyon, MI","Population served:57,236",48017
Troy,"Johannesburg, MI","Population served:80,980",48017
City of Detroit,"Detroit, MI","Population served:713,777",48021
City of St. Clair Shores,"St. Clair Shores, MI","Population served:59,715",48021
Harper Woods,"Harper Woods, MI","Population served:14,236",48021
City of Warren,"Lansing, MI","Population served:134,056",48021
Berlin Township,"Newport, MI","Population served:9,300",48022
Cottrellville Township,"Cottrellville, MI","Population served:3,200",48023
City of New Baltimore,"Dexter, MI","Population served:12,720",48023
Clay Township,"Ypsilanti, MI","Population served:9,866",48023
Beverly Hills,"Beverly Hills, MI","Population served:10,451",48025
Bingham Farms,"Cassopolis, MI",Population served:878,48025
City of Farmington Hills,"Marshall, MI","Population served:56,240",48025
Bloomfield Township,"Bloomfield Hills, MI","Population served:41,070",48025
City of Royal Oak,"South Lyon, MI","Population served:57,236",48025
Birmingham,"Traverse City, MI","Population served:20,472",48025
West Bloomfield Township,"West Bloomfield, MI","Population served:49,479",48025
City of Roseville,"Gaylord, MI","Population served:47,299",48026
Clinton,"Clinton, MI","Population served:2,336",48026
Clinton Township,"Clinton Township, MI","Population served:97,513",48026
City of Sterling Heights,"Dewitt, MI","Population served:127,000",48026
St. Clair Township,"St. Clair, MI","Population served:3,270",48027
St. Clair Water and Sewer Authority,"Berrien Springs, MI","Population served:5,847",48027
"Algonac, City of","Ira, MI","Population served:4,110",48028
City of Detroit,"Detroit, MI","Population served:713,777",48030
City of Warren,"Lansing, MI","Population served:134,056",48030
Madison Heights,"Kinde, MI","Population served:29,694",48030
City of Royal Oak,"South Lyon, MI","Population served:57,236",48030
Ferndale,"Gladwin, MI","Population served:22,105",48030
Worth Township,"Houghton Lake, MI","Population served:3,854",48032
Fremont,"Fremont, MI","Population served:4,081",48032
Clyde Township,"Columbus, MI","Population served:2,400",48032
Burtchville Township,"Lakeport, MI","Population served:2,900",48032
City of Farmington Hills,"Marshall, MI","Population served:56,240",48033
Redford Township,"Port Huron, MI","Population served:48,362",48033
City of Detroit,"Detroit, MI","Population served:713,777",48033
City of Farmington Hills,"Marshall, MI","Population served:56,240",48034
Clinton Township,"Clinton Township, MI","Population served:97,513",48035
City of St. Clair Shores,"St. Clair Shores, MI","Population served:59,715",48035
City of Fraser,"Escanaba, MI","Population served:16,500",48035
City of Roseville,"Gaylord, MI","Population served:47,299",48035
Clinton Township,"Clinton Township, MI","Population served:97,513",48036
Macomb Township,"Cadillac, MI","Population served:90,000",48036
City of Mount Clemens,"Traverse City, MI","Population served:18,405",48036
Clinton Township,"Clinton Township, MI","Population served:97,513",48038
Macomb Township,"Cadillac, MI","Population served:90,000",48038
City of Sterling Heights,"Dewitt, MI","Population served:127,000",48038
Marine City,"Marine City, MI","Population served:4,652",48039
Clay Township,"Ypsilanti, MI","Population served:9,866",48039
Ira Township,"Fair Haven, MI","Population served:8,679",48039
St. Clair Township,"St. Clair, MI","Population served:3,270",48040
St. Clair Water and Sewer Authority,"Berrien Springs, MI","Population served:5,847",48040
Richmond Township,"Palmer, MI",Population served:489,48041
Berlin Township,"Newport, MI","Population served:9,300",48041
Chesterfield Township,"Chesterfield, MI","Population served:41,650",48042
Clinton,"Clinton, MI","Population served:2,336",48042
Clinton Township,"Clinton Township, MI","Population served:97,513",48042
Shelby,"Shelby, MI","Population served:2,065",48042
Shelby Township,"Shelby Township, MI","Population served:72,000",48042
Clinton,"Clinton, MI","Population served:2,336",48043
Clinton Township,"Clinton Township, MI","Population served:97,513",48043
Clinton,"Clinton, MI","Population served:2,336",48044
Clinton Township,"Clinton Township, MI","Population served:97,513",48044
Shelby,"Shelby, MI","Population served:2,065",48044
Shelby Township,"Shelby Township, MI","Population served:72,000",48044
City of St. Clair Shores,"St. Clair Shores, MI","Population served:59,715",48045
Clinton,"Clinton, MI","Population served:2,336",48045
Clinton Township,"Clinton Township, MI","Population served:97,513",48045
City of Mount Clemens,"Traverse City, MI","Population served:18,405",48045
City of New Baltimore,"Dexter, MI","Population served:12,720",48047
Ira Township,"Fair Haven, MI","Population served:8,679",48047
Chesterfield Township,"Chesterfield, MI","Population served:41,650",48048
Ira Township,"Fair Haven, MI","Population served:8,679",48048
Kimball Township,"Kimball, MI","Population served:3,463",48049
Fort Gratiot Township,"Auburn, MI","Population served:11,153",48049
Grant Township - Copper Harbor,"Copper Harbor, MI",Population served:200,48049
Port Huron Township,"Port Huron, MI","Population served:10,654",48049
"Richmond, City of","Richmond, MI","Population served:5,733",48050
Lenox Township,"Lenox, MI","Population served:3,000",48051
St. Clair Water and Sewer Authority,"Berrien Springs, MI","Population served:5,847",48054
Cottrellville Township,"Cottrellville, MI","Population served:3,200",48054
Marine City,"Marine City, MI","Population served:4,652",48054
Burtchville Township,"Lakeport, MI","Population served:2,900",48059
City of Port Huron,"Port Huron, MI","Population served:33,800",48059
Port Huron Township,"Port Huron, MI","Population served:10,654",48059
Grant Township - Copper Harbor,"Copper Harbor, MI",Population served:200,48059
Clyde Township,"Columbus, MI","Population served:2,400",48059
City of Port Huron,"Port Huron, MI","Population served:33,800",48060
Fort Gratiot Township,"Auburn, MI","Population served:11,153",48060
"Marysville, City of","Lupton, MI","Population served:9,959",48060
Clyde Township,"Columbus, MI","Population served:2,400",48060
Kimball Township,"Kimball, MI","Population served:3,463",48060
"Richmond, City of","Richmond, MI","Population served:5,733",48062
Lenox Township,"Lenox, MI","Population served:3,000",48062
"Memphis, City of","Memphis, MI","Population served:1,180",48062
"Richmond, City of","Richmond, MI","Population served:5,733",48063
St. Clair Township,"St. Clair, MI","Population served:3,270",48063
St. Clair Water and Sewer Authority,"Berrien Springs, MI","Population served:5,847",48063
Richmond Township,"Palmer, MI",Population served:489,48063
Ira Township,"Fair Haven, MI","Population served:8,679",48064
Cottrellville Township,"Cottrellville, MI","Population served:3,200",48064
"Romeo, Village of","Grand Blanc, MI","Population served:3,750",48065
Springbrook Estates Mhc,"Orem, UT",Population served:990,48065
