zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
48001,42.63732,-82.57949,Algonac,MI,Michigan,True,,11901.0,241.5,26147,St. Clair,"{""26147"": 100}",St. Clair,26147,False,False,America/Detroit
48002,42.93916,-82.92601,Allenton,MI,Michigan,True,,3205.0,33.3,26147,St. Clair,"{""26147"": 100}",St. Clair,26147,False,False,America/Detroit
48003,42.93228,-83.04088,Almont,MI,Michigan,True,,5837.0,67.8,26087,Lapeer,"{""26087"": 100}",Lapeer,26087,False,False,America/Detroit
48005,42.85022,-82.92317,Armada,MI,Michigan,True,,5515.0,58.3,26099,Macomb,"{""26099"": 100}",Macomb,26099,False,False,America/Detroit
48006,43.0754,-82.69642,Avoca,MI,Michigan,True,,4038.0,21.8,26147,St. Clair,"{""26147"": 100}",St. Clair,26147,False,False,America/Detroit
48009,42.54381,-83.21765,Birmingham,MI,Michigan,True,,21277.0,1654.8,26125,Oakland,"{""26125"": 100}",Oakland,26125,False,False,America/Detroit
48014,43.02466,-82.93115,Capac,MI,Michigan,True,,4168.0,43.8,26147,St. Clair,"{""26147"": 96.2, ""26087"": 3.8}",St. Clair|Lapeer,26147|26087,False,False,America/Detroit
48015,42.48055,-83.02743,Center Line,MI,Michigan,True,,8212.0,1809.2,26099,Macomb,"{""26099"": 100}",Macomb,26099,False,False,America/Detroit
48017,42.53669,-83.15039,Clawson,MI,Michigan,True,,11852.0,2083.7,26125,Oakland,"{""26125"": 100}",Oakland,26125,False,False,America/Detroit
48021,42.46567,-82.94598,Eastpointe,MI,Michigan,True,,32149.0,2410.6,26099,Macomb,"{""26099"": 100}",Macomb,26099,False,False,America/Detroit
48022,43.02824,-82.81111,Emmett,MI,Michigan,True,,2622.0,28.7,26147,St. Clair,"{""26147"": 100}",St. Clair,26147,False,False,America/Detroit
48023,42.70102,-82.6593,Fair Haven,MI,Michigan,True,,5089.0,115.3,26147,St. Clair,"{""26147"": 100}",St. Clair,26147,False,False,America/Detroit
48025,42.52032,-83.26744,Franklin,MI,Michigan,True,,14777.0,709.5,26125,Oakland,"{""26125"": 100}",Oakland,26125,False,False,America/Detroit
48026,42.53879,-82.94964,Fraser,MI,Michigan,True,,14503.0,1352.2,26099,Macomb,"{""26099"": 100}",Macomb,26099,False,False,America/Detroit
48027,42.94466,-82.68217,Goodells,MI,Michigan,True,,3178.0,32.8,26147,St. Clair,"{""26147"": 100}",St. Clair,26147,False,False,America/Detroit
48028,42.58947,-82.61948,Harsens Island,MI,Michigan,True,,1026.0,22.3,26147,St. Clair,"{""26147"": 100}",St. Clair,26147,False,False,America/Detroit
48030,42.46193,-83.09769,Hazel Park,MI,Michigan,True,,16452.0,2254.1,26125,Oakland,"{""26125"": 100}",Oakland,26125,False,False,America/Detroit
