State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
MO,Union MO,63005.0,Union PWS,10204,Arsenic,0.319,0.004,10,ppb,79.75
MO,Union MO,63005.0,Union PWS,10204,Dichloroacetic acid,0.447,0.2,0,ppb,2.235
MO,Union MO,63005.0,Union PWS,10204,Radium combined (-226 &amp; -228),0.13,0.05,5,pCi/L,2.6
MO,Union MO,63005.0,Union PWS,10204,Total trihalomethanes (TTHMs)†,1.29,0.15,80,ppb,8.600000000000001
MO,Union MO,63005.0,Union PWS,10204,Barium,258.8,700.0,2000,ppb,0.3697142857142857
MO,Union MO,63005.0,Union PWS,10204,Bromodichloromethane,0.0421,0.06,0,ppb,0.7016666666666667
MO,Union MO,63005.0,Union PWS,10204,Chloroform,0.329,0.4,0,ppb,0.8225
MO,Union MO,63005.0,Union PWS,10204,Dibromochloromethane,0.124,0.1,0,ppb,1.24
MO,Union MO,63005.0,Union PWS,10204,Manganese,1.23,100.0,0,ppb,0.0123
MO,Union MO,63005.0,Union PWS,10204,Nitrate and nitrite,0.204,0.14,10,ppm,1.4571428571428569
MO,Pacific MO,63005.0,Pacific PWS,6000,Arsenic,0.653,0.004,10,ppb,163.25
MO,Pacific MO,63005.0,Pacific PWS,6000,Chromium (hexavalent),0.0929,0.02,0,ppb,4.645
MO,Pacific MO,63005.0,Pacific PWS,6000,Nitrate and nitrite,0.708,0.14,10,ppm,5.057142857142856
MO,Pacific MO,63005.0,Pacific PWS,6000,Barium,133.5,700.0,2000,ppb,0.19071428571428573
MO,Pacific MO,63005.0,Pacific PWS,6000,Chlorate,31.5,210.0,0,ppb,0.15
MO,Pacific MO,63005.0,Pacific PWS,6000,Dibromochloromethane,0.0433,0.1,0,ppb,0.43299999999999994
MO,Pacific MO,63005.0,Pacific PWS,6000,Manganese,0.075,100.0,0,ppb,0.00075
MO,Pacific MO,63005.0,Pacific PWS,6000,Strontium,0.0818,1500.0,0,ppb,5.453333333333333e-05
MO,Pacific MO,63005.0,Pacific PWS,6000,Vanadium,0.11,21.0,0,ppb,0.005238095238095238
MO,Festus MO,63010.0,Festus,11600,Bromochloroacetic acid,6.04,0.02,0,ppb,302.0
MO,Festus MO,63010.0,Festus,11600,Bromodichloroacetic acid,2.73,0.04,0,ppb,68.25
MO,Festus MO,63010.0,Festus,11600,Bromodichloromethane,14.7,0.06,0,ppb,245.0
MO,Festus MO,63010.0,Festus,11600,Bromoform,1.27,0.5,0,ppb,2.54
MO,Festus MO,63010.0,Festus,11600,Chlorodibromoacetic acid,1.05,0.02,0,ppb,52.5
MO,Festus MO,63010.0,Festus,11600,Chloroform,24.0,0.4,0,ppb,60.0
MO,Festus MO,63010.0,Festus,11600,Dibromoacetic acid,2.59,0.04,0,ppb,64.75
MO,Festus MO,63010.0,Festus,11600,Dibromochloromethane,8.09,0.1,0,ppb,80.89999999999999
MO,Festus MO,63010.0,Festus,11600,Dichloroacetic acid,10.8,0.2,0,ppb,54.0
MO,Festus MO,63010.0,Festus,11600,Haloacetic acids (HAA5)†,20.1,0.1,60,ppb,201.0
MO,Festus MO,63010.0,Festus,11600,Haloacetic acids (HAA9)†,27.1,0.06,0,ppb,451.6666666666667
MO,Festus MO,63010.0,Festus,11600,Total trihalomethanes (TTHMs)†,48.0,0.15,80,ppb,320.0
MO,Festus MO,63010.0,Festus,11600,Trichloroacetic acid,3.57,0.1,0,ppb,35.699999999999996
MO,Festus MO,63010.0,Festus,11600,Manganese,0.263,100.0,0,ppb,0.00263
MO,Festus MO,63010.0,Festus,11600,Monobromoacetic acid,3.12,25.0,0,ppb,0.12480000000000001
MO,Festus MO,63010.0,Festus,11600,Tribromoacetic acid,0.0558,0.04,0,ppb,1.395
MO,De Soto MO,63010.0,Desoto PWS,6400,Arsenic,0.678,0.004,10,ppb,169.5
MO,De Soto MO,63010.0,Desoto PWS,6400,Bromodichloromethane,0.401,0.06,0,ppb,6.683333333333334
