State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Bromochloroacetic acid,0.63,0.02,0,ppb,31.5
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Bromodichloromethane,1.47,0.06,0,ppb,24.5
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Chloroform,5.23,0.4,0,ppb,13.075000000000001
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Dichloroacetic acid,3.15,0.2,0,ppb,15.749999999999998
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Haloacetic acids (HAA5)†,5.7,0.1,60,ppb,57.0
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Radium combined (-226 &amp; -228),0.2,0.05,5,pCi/L,4.0
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Total trihalomethanes (TTHMs)†,6.9,0.15,80,ppb,46.00000000000001
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Trichloroacetic acid,2.6,0.1,0,ppb,26.0
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Uranium,1.34,0.43,20,pCi/L,3.116279069767442
MT,Red Lodge,59001.0,Bearcreek Municipal Water System,200,Nitrate and nitrite,0.0367,0.14,10,ppm,0.2621428571428571
MT,Belfry,59001.0,Belfry Carbon County Water and Sewer District,205,Arsenic,0.25,0.004,10,ppb,62.5
MT,Belfry,59001.0,Belfry Carbon County Water and Sewer District,205,Nitrate and nitrite,4.16,0.14,10,ppm,29.71428571428571
MT,Belfry,59001.0,Belfry Carbon County Water and Sewer District,205,Radium combined (-226 &amp; -228),1.32,0.05,5,pCi/L,26.4
MT,Belfry,59001.0,Belfry Carbon County Water and Sewer District,205,Uranium,6.12,0.43,20,pCi/L,14.232558139534884
MT,Belfry,59001.0,Belfry Carbon County Water and Sewer District,205,Barium,45.0,700.0,2000,ppb,0.06428571428571428
MT,Belfry,59001.0,Belfry Carbon County Water and Sewer District,205,Manganese,20.0,100.0,0,ppb,0.2
MT,Belfry,59001.0,Belfry Carbon County Water and Sewer District,205,Selenium,1.0,30.0,50,ppb,0.03333333333333333
MT,Bridger,59001.0,Bridger Town of,750,Bromochloroacetic acid,1.03,0.02,0,ppb,51.5
MT,Bridger,59001.0,Bridger Town of,750,Bromodichloromethane,1.56,0.06,0,ppb,26.000000000000004
MT,Bridger,59001.0,Bridger Town of,750,Chloroform,2.35,0.4,0,ppb,5.875
MT,Bridger,59001.0,Bridger Town of,750,Chromium (hexavalent),0.829,0.02,0,ppb,41.449999999999996
MT,Bridger,59001.0,Bridger Town of,750,Dibromoacetic acid,0.462,0.04,0,ppb,11.55
MT,Bridger,59001.0,Bridger Town of,750,Dibromochloromethane,0.93,0.1,0,ppb,9.3
MT,Bridger,59001.0,Bridger Town of,750,Dichloroacetic acid,1.96,0.2,0,ppb,9.799999999999999
MT,Bridger,59001.0,Bridger Town of,750,Haloacetic acids (HAA5)†,3.08,0.1,60,ppb,30.8
MT,Bridger,59001.0,Bridger Town of,750,Nitrate and nitrite,1.35,0.14,10,ppm,9.642857142857142
MT,Bridger,59001.0,Bridger Town of,750,Total trihalomethanes (TTHMs)†,5.09,0.15,80,ppb,33.93333333333334
MT,Bridger,59001.0,Bridger Town of,750,Trichloroacetic acid,0.417,0.1,0,ppb,4.17
MT,Bridger,59001.0,Bridger Town of,750,Molybdenum,1.13,40.0,0,ppb,0.028249999999999997
MT,Bridger,59001.0,Bridger Town of,750,Strontium,0.986,1500.0,0,ppb,0.0006573333333333333
MT,Bridger,59001.0,Bridger Town of,750,Vanadium,0.95,21.0,0,ppb,0.04523809523809524
MT,Columbus,59001.0,Columbus Town of,1900,Arsenic,3.0,0.004,10,ppb,750.0
MT,Columbus,59001.0,Columbus Town of,1900,Bromochloroacetic acid,0.972,0.02,0,ppb,48.599999999999994
MT,Columbus,59001.0,Columbus Town of,1900,Bromodichloromethane,0.774,0.06,0,ppb,12.9
MT,Columbus,59001.0,Columbus Town of,1900,Bromoform,1.61,0.5,0,ppb,3.22
MT,Columbus,59001.0,Columbus Town of,1900,Dibromoacetic acid,1.73,0.04,0,ppb,43.25
MT,Columbus,59001.0,Columbus Town of,1900,Dibromochloromethane,1.94,0.1,0,ppb,19.4
MT,Columbus,59001.0,Columbus Town of,1900,Dichloroacetic acid,0.55,0.2,0,ppb,2.75
MT,Columbus,59001.0,Columbus Town of,1900,Haloacetic acids (HAA5)†,2.38,0.1,60,ppb,23.799999999999997
MT,Columbus,59001.0,Columbus Town of,1900,Nitrate and nitrite,1.99,0.14,10,ppm,14.214285714285714
MT,Columbus,59001.0,Columbus Town of,1900,Total trihalomethanes (TTHMs)†,4.83,0.15,80,ppb,32.2
MT,Columbus,59001.0,Columbus Town of,1900,Uranium,3.95,0.43,20,pCi/L,9.186046511627907
MT,Columbus,59001.0,Columbus Town of,1900,Barium,53.3,700.0,2000,ppb,0.07614285714285714
MT,Columbus,59001.0,Columbus Town of,1900,Chloroform,0.43,0.4,0,ppb,1.075
MT,Columbus,59001.0,Columbus Town of,1900,Monobromoacetic acid,0.0883,25.0,0,ppb,0.003532
MT,Columbus,59001.0,Columbus Town of,1900,Selenium,3.67,30.0,50,ppb,0.12233333333333334
