State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
ND,58001,Barney City of,52,2778,38077
ND,58001,Christine City of,156,2754,38077
ND,58001,Colfax City of,121,2716,38077
ND,58001,Fairmount City of,367,561,38077
ND,58001,Hankinson City of,919,2717,38077
ND,58001,Lidgerwood City of,652,2975,38077
ND,58001,Mantador City of,64,2560,38077
ND,58001,Mooreton City of,197,2658,38077
ND,58001,Wahpeton City of,7766,42,38077
ND,58001,Walcott City of,235,2652,38077
ND,58001,Wyndmere City of,429,2947,38077
ND,58002,Amenia City of,94,2070,38017
ND,58002,Argusville City of,475,287,38017
ND,58002,Arthur City of,337,1593,38017
ND,58002,Brooktree Wells Inc.,45,950,38017
ND,58002,Buffalo City of,188,1431,38017
ND,58002,Casselton City of,2513,1163,38017
ND,58002,City of Fargo,120762,732,38017
ND,58002,City of West Fargo,34858,1091,38017
ND,58002,Country Acres Water Company,50,759,38017
ND,58002,Davenport City of,252,331,38017
ND,58002,Fradets Orchard Water System,56,27,38017
ND,58002,Gardner City of,74,1670,38017
ND,58002,Grandin City of,173,137,38017
ND,58002,Harwood City of,718,1274,38017
ND,58002,Horace City of,1378,1343,38017
ND,58002,Horseshoe Bend,110,46,38017
ND,58002,Hunter City of,261,2043,38017
ND,58002,Kindred City of,692,988,38017
ND,58002,Mapleton City of,762,374,38017
ND,58002,Oxbow City of,305,55,38017
ND,58002,Page City of,232,1221,38017
ND,58002,Riverdale Subdivision,88,313,38017
ND,58002,Sleepy Hollow Water Company,100,653,38017
ND,58002,Tower City City of,253,152,38017
ND,58009,Galesburg City of,108,1799,38097
ND,58009,Hatton City of,777,75,38097
ND,58009,Hillsboro City of,1603,1559,38097
ND,58009,Mayville City of,1858,914,38097
ND,58009,Portland City of,606,80,38097
ND,58013,Forman City of,504,297,38081
ND,58013,Gwinner City of,753,50,38081
ND,58013,Milnor City of,653,2718,38081
ND,58013,Rutland City of,163,2750,38081
ND,58013,Sundale Hutterian Association,110,62,38081
ND,58016,Finley City of,445,2464,38097
ND,58016,Hope City of,258,2696,38097
ND,58016,Sharon City of,96,792,38097
ND,58027,Valley City City of,6585,483,38073
ND,58027,Barnes Rural Water District,4938,118,38073
ND,58030,Breckenridge,3340,123,38077
ND,58030,Browns Valley,567,386,38077
ND,58030,Campbell,159,24,38077
ND,58030,Dumont,71,1093,38077
ND,58030,Rothsay,493,1197,38077
ND,58030,Tintah,68,1,38077
ND,58030,Wheaton,1424,1245,38077
ND,58033,Berlin City of,34,1285,38073
ND,58033,Edgeley City of,563,1713,38073
ND,58033,Enderlin City of,886,948,38073
ND,58033,Fairview Colony,100,47,38073
ND,58033,Jud City of,72,1565,38073
ND,58033,Kulm City of,354,1541,38073
ND,58033,Lamoure City of,889,74,38073
ND,58033,Lisbon City of,2154,1003,38073
ND,58033,Sheldon City of,116,1162,38073
ND,58033,Southeast Wud (central-lisbon),1675,3020,38073
ND,58033,Verona City of,85,93,38073
ND,58033,Willowbank Colony,95,74,38073
ND,58040,Ellendale City of,1394,1502,38081
ND,58040,Fullerton City of,54,1062,38081
ND,58040,Monango City of,36,1570,38081
ND,58040,Oakes City of,1856,967,38081
ND,58043,Amherst Water Company,35,78,38081
ND,58043,Britton,1241,259,38081
ND,58046,Litchville City of,172,109,38091
ND,58046,Nome City of,62,159,38091
ND,58046,Oriska City of,118,90,38091
ND,58046,Sanborn City of,192,132,38091
ND,58046,Wimbledon City of,216,183,38091
ND,58056,Binford City of,183,2539,38003
ND,58056,Cooperstown City of,984,1800,38003
ND,58056,Dakota Rural Water District North,1070,2712,38003
ND,58056,Hannaford City of,131,357,38003
ND,58201,Agassiz Water Users District,3438,883,38035
ND,58201,Emerado City of,414,101,38035
ND,58201,Forest River Colony,100,1627,38035
ND,58201,East Central Regional Wd-gf,5995,85,38035
ND,58201,Larimore City of,1346,1368,38035
ND,58201,Northwood City of,945,78,38035
ND,58210,Grafton City of,4284,1068,38099
ND,58212,Michigan City of,294,12,38063
ND,58212,Pekin City of,70,1274,38063
ND,58212,Tolna City of,166,1123,38063
ND,58216,Cavalier City of,1302,765,38067
ND,58216,Drayton City of,824,1114,38067
ND,58216,Neche City of,371,776,38067
ND,58216,Northeast Regional Water District- North Valley Branch,3422,675,38067
ND,58216,Pembina City of,592,804,38067
ND,58216,Walhalla City of,996,697,38067
ND,58220,Osnabrock City of,134,816,38067
ND,58225,Hallock,927,1363,38067
ND,58225,Karlstad,753,99,38067
ND,58225,Kennedy,165,1141,38067
ND,58225,Lake Bronson,216,1178,38067
ND,58229,Devils Lake City of,7141,1760,38099
ND,58229,Edmore City of,182,384,38099
ND,58229,Greater Ramsey Water District,5280,2160,38099
ND,58301,Leeds City of,427,609,38071
ND,58301,Maddock City of,382,375,38071
ND,58301,Minnewaukan City of,224,1130,38071
ND,58310,Rolette City of,594,2189,38079
ND,58310,Rolla City of,1280,607,38079
ND,58310,St. John City of,341,587,38079
ND,58313,Rugby City of,2876,1557,38069
ND,58317,Cando City of,1115,789,38095
ND,58318,All Seasons Wd-system I,890,2313,38009
ND,58318,Lansford City of,245,738,38009
ND,58318,Maxbass City of,84,1870,38009
ND,58318,Souris City of,58,1118,38009
ND,58318,Westhope City of,429,687,38009
ND,58341,Bowdon City of,131,390,38103
ND,58341,Goodrich City of,98,951,38103
ND,58341,Harvey City of,1783,517,38103
ND,58341,Sykeston City of,117,452,38103
ND,58356,Carrington City of,2065,1728,38027
ND,58356,Glenfield City of,91,1071,38027
ND,58356,New Rockford City of,1391,1902,38027
ND,58356,Sheyenne City of,204,558,38027
ND,58384,Drake City of,275,701,38009
ND,58384,Granville City of,241,869,38009
ND,58384,Karlsruhe City of,82,1198,38009
ND,58384,Upham City of,130,517,38009
ND,58384,Velva City of,1084,1266,38009
ND,58401,City of Jamestown,15427,1364,38093
ND,58401,Cleveland City of,83,1122,38093
ND,58401,Medina City of,308,824,38093
ND,58401,Montpelier City of,87,28,38093
ND,58401,Streeter City of,170,1114,38093
ND,58401,Woodworth City of,50,1642,38093
ND,58413,Ashley City of,749,753,38051
