Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
"Barney, City of",Arsenic*,8.94 ppb,0.004 ppb,10 ppb
"Barney, City of",Bromodichloromethane,4.45 ppb,0.06 ppb,
"Barney, City of",Chloroform,16.2 ppb,0.4 ppb,
"Barney, City of",Dibromochloromethane,0.860 ppb,0.1 ppb,
"Barney, City of",Dichloroacetic acid,7.88 ppb,0.2 ppb,
"Barney, City of",Haloacetic acids (HAA5)†,14.6 ppb,0.1 ppb,60 ppb
"Barney, City of","Radium, combined (-226 &amp; -228)*",0.96 pCi/L,0.05 pCi/L,5 pCi/L
"Barney, City of",Total trihalomethanes (TTHMs)†,21.5 ppb,0.15 ppb,80 ppb
"Barney, City of",Trichloroacetic acid,6.71 ppb,0.1 ppb,
"Barney, City of",Uranium*,1.67 pCi/L,0.43 pCi/L,20 pCi/L
"Barney, City of",Barium*,247.0 ppb,700 ppb,"2,000 ppb"
"Barney, City of",Chromium (total)*,1.58 ppb,,100 ppb
"Barney, City of",Fluoride*,0.733 ppm,,4 ppm
"Barney, City of",Monobromoacetic acid*,0.406 ppb,25 ppb,
"Barney, City of",None,,,
"Christine, City of",Arsenic*,8.94 ppb,0.004 ppb,10 ppb
"Christine, City of",Bromodichloromethane,4.08 ppb,0.06 ppb,
"Christine, City of",Chloroform,18.8 ppb,0.4 ppb,
"Christine, City of",Dibromochloromethane,0.800 ppb,0.1 ppb,
"Christine, City of",Dichloroacetic acid,6.67 ppb,0.2 ppb,
"Christine, City of",Haloacetic acids (HAA5)†,12.4 ppb,0.1 ppb,60 ppb
"Christine, City of","Radium, combined (-226 &amp; -228)*",0.96 pCi/L,0.05 pCi/L,5 pCi/L
"Christine, City of",Total trihalomethanes (TTHMs)†,23.7 ppb,0.15 ppb,80 ppb
"Christine, City of",Trichloroacetic acid,5.70 ppb,0.1 ppb,
"Christine, City of",Uranium*,1.67 pCi/L,0.43 pCi/L,20 pCi/L
"Christine, City of",Barium*,247.0 ppb,700 ppb,"2,000 ppb"
"Christine, City of",Chromium (total)*,1.58 ppb,,100 ppb
"Christine, City of",Fluoride*,0.733 ppm,,4 ppm
"Christine, City of",Monobromoacetic acid*,0.406 ppb,25 ppb,
"Christine, City of",None,,,
"Colfax, City of",Arsenic*,8.94 ppb,0.004 ppb,10 ppb
"Colfax, City of",Bromodichloromethane,3.83 ppb,0.06 ppb,
"Colfax, City of",Chloroform,13.6 ppb,0.4 ppb,
"Colfax, City of",Dibromochloromethane,0.825 ppb,0.1 ppb,
"Colfax, City of",Dichloroacetic acid,6.60 ppb,0.2 ppb,
"Colfax, City of",Haloacetic acids (HAA5)†,13.1 ppb,0.1 ppb,60 ppb
"Colfax, City of","Radium, combined (-226 &amp; -228)*",0.96 pCi/L,0.05 pCi/L,5 pCi/L
"Colfax, City of",Total trihalomethanes (TTHMs)†,18.3 ppb,0.15 ppb,80 ppb
"Colfax, City of",Trichloroacetic acid,6.52 ppb,0.1 ppb,
"Colfax, City of",Uranium*,1.67 pCi/L,0.43 pCi/L,20 pCi/L
"Colfax, City of",Barium*,247.0 ppb,700 ppb,"2,000 ppb"
"Colfax, City of",Chromium (total)*,1.58 ppb,,100 ppb
"Colfax, City of",Fluoride*,0.733 ppm,,4 ppm
"Colfax, City of",Monobromoacetic acid*,0.406 ppb,25 ppb,
