State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
ND,Barney,58001.0,Barney City of,52,Arsenic*,8.94,0.004,10,ppb,2235.0
ND,Barney,58001.0,Barney City of,52,Bromodichloromethane,4.45,0.06,0,ppb,74.16666666666667
ND,Barney,58001.0,Barney City of,52,Chloroform,16.2,0.4,0,ppb,40.49999999999999
ND,Barney,58001.0,Barney City of,52,Dibromochloromethane,0.86,0.1,0,ppb,8.6
ND,Barney,58001.0,Barney City of,52,Dichloroacetic acid,7.88,0.2,0,ppb,39.4
ND,Barney,58001.0,Barney City of,52,Haloacetic acids (HAA5)†,14.6,0.1,60,ppb,146.0
ND,Barney,58001.0,Barney City of,52,Radium combined (-226 &amp; -228)*,0.96,0.05,5,pCi/L,19.2
ND,Barney,58001.0,Barney City of,52,Total trihalomethanes (TTHMs)†,21.5,0.15,80,ppb,143.33333333333334
ND,Barney,58001.0,Barney City of,52,Trichloroacetic acid,6.71,0.1,0,ppb,67.1
ND,Barney,58001.0,Barney City of,52,Uranium*,1.67,0.43,20,pCi/L,3.883720930232558
ND,Barney,58001.0,Barney City of,52,Barium*,247.0,700.0,2000,ppb,0.35285714285714287
ND,Barney,58001.0,Barney City of,52,Monobromoacetic acid*,0.406,25.0,0,ppb,0.01624
ND,Christine,58001.0,Christine City of,156,Arsenic*,8.94,0.004,10,ppb,2235.0
ND,Christine,58001.0,Christine City of,156,Bromodichloromethane,4.08,0.06,0,ppb,68.0
ND,Christine,58001.0,Christine City of,156,Chloroform,18.8,0.4,0,ppb,47.0
ND,Christine,58001.0,Christine City of,156,Dibromochloromethane,0.8,0.1,0,ppb,8.0
ND,Christine,58001.0,Christine City of,156,Dichloroacetic acid,6.67,0.2,0,ppb,33.349999999999994
ND,Christine,58001.0,Christine City of,156,Haloacetic acids (HAA5)†,12.4,0.1,60,ppb,124.0
ND,Christine,58001.0,Christine City of,156,Radium combined (-226 &amp; -228)*,0.96,0.05,5,pCi/L,19.2
ND,Christine,58001.0,Christine City of,156,Total trihalomethanes (TTHMs)†,23.7,0.15,80,ppb,158.0
ND,Christine,58001.0,Christine City of,156,Trichloroacetic acid,5.7,0.1,0,ppb,57.0
ND,Christine,58001.0,Christine City of,156,Uranium*,1.67,0.43,20,pCi/L,3.883720930232558
ND,Christine,58001.0,Christine City of,156,Barium*,247.0,700.0,2000,ppb,0.35285714285714287
ND,Christine,58001.0,Christine City of,156,Monobromoacetic acid*,0.406,25.0,0,ppb,0.01624
ND,Colfax,58001.0,Colfax City of,121,Arsenic*,8.94,0.004,10,ppb,2235.0
ND,Colfax,58001.0,Colfax City of,121,Bromodichloromethane,3.83,0.06,0,ppb,63.833333333333336
ND,Colfax,58001.0,Colfax City of,121,Chloroform,13.6,0.4,0,ppb,34.0
ND,Colfax,58001.0,Colfax City of,121,Dibromochloromethane,0.825,0.1,0,ppb,8.249999999999998
ND,Colfax,58001.0,Colfax City of,121,Dichloroacetic acid,6.6,0.2,0,ppb,32.99999999999999
ND,Colfax,58001.0,Colfax City of,121,Haloacetic acids (HAA5)†,13.1,0.1,60,ppb,131.0
ND,Colfax,58001.0,Colfax City of,121,Radium combined (-226 &amp; -228)*,0.96,0.05,5,pCi/L,19.2
ND,Colfax,58001.0,Colfax City of,121,Total trihalomethanes (TTHMs)†,18.3,0.15,80,ppb,122.00000000000001
ND,Colfax,58001.0,Colfax City of,121,Trichloroacetic acid,6.52,0.1,0,ppb,65.19999999999999
ND,Colfax,58001.0,Colfax City of,121,Uranium*,1.67,0.43,20,pCi/L,3.883720930232558
ND,Colfax,58001.0,Colfax City of,121,Barium*,247.0,700.0,2000,ppb,0.35285714285714287
ND,Colfax,58001.0,Colfax City of,121,Monobromoacetic acid*,0.406,25.0,0,ppb,0.01624
ND,Fairmount,58001.0,Fairmount City of,367,Bromodichloromethane,3.48,0.06,0,ppb,58.0
ND,Fairmount,58001.0,Fairmount City of,367,Chloroform,9.58,0.4,0,ppb,23.95
ND,Fairmount,58001.0,Fairmount City of,367,Dibromoacetic acid,1.94,0.04,0,ppb,48.5
ND,Fairmount,58001.0,Fairmount City of,367,Dibromochloromethane,0.525,0.1,0,ppb,5.25
ND,Fairmount,58001.0,Fairmount City of,367,Dichloroacetic acid,13.6,0.2,0,ppb,68.0
ND,Fairmount,58001.0,Fairmount City of,367,Haloacetic acids (HAA5)†,21.4,0.1,60,ppb,213.99999999999997
ND,Fairmount,58001.0,Fairmount City of,367,Radium combined (-226 &amp; -228),0.88,0.05,5,pCi/L,17.599999999999998
ND,Fairmount,58001.0,Fairmount City of,367,Total trihalomethanes (TTHMs)†,13.6,0.15,80,ppb,90.66666666666667
ND,Fairmount,58001.0,Fairmount City of,367,Trichloroacetic acid,3.35,0.1,0,ppb,33.5
ND,Fairmount,58001.0,Fairmount City of,367,Barium,143.0,700.0,2000,ppb,0.2042857142857143
ND,Fairmount,58001.0,Fairmount City of,367,Manganese,50.0,100.0,0,ppb,0.5
ND,Fairmount,58001.0,Fairmount City of,367,Monochloroacetic acid,2.57,53.0,0,ppb,0.04849056603773585
ND,Fairmount,58001.0,Fairmount City of,367,Nitrate and nitrite,0.0433,0.14,10,ppm,0.3092857142857142
ND,Fairmount,58001.0,Fairmount City of,367,Selenium,4.27,30.0,50,ppb,0.1423333333333333
ND,Hankinson,58001.0,Hankinson City of,919,Arsenic*,8.94,0.004,10,ppb,2235.0
ND,Hankinson,58001.0,Hankinson City of,919,Bromodichloromethane,3.92,0.06,0,ppb,65.33333333333333
ND,Hankinson,58001.0,Hankinson City of,919,Chloroform,15.8,0.4,0,ppb,39.5
ND,Hankinson,58001.0,Hankinson City of,919,Dibromochloromethane,0.683,0.1,0,ppb,6.83
ND,Hankinson,58001.0,Hankinson City of,919,Dichloroacetic acid,6.62,0.2,0,ppb,33.1
ND,Hankinson,58001.0,Hankinson City of,919,Haloacetic acids (HAA5)†,12.4,0.1,60,ppb,124.0
ND,Hankinson,58001.0,Hankinson City of,919,Radium combined (-226 &amp; -228)*,0.96,0.05,5,pCi/L,19.2
ND,Hankinson,58001.0,Hankinson City of,919,Total trihalomethanes (TTHMs)†,20.4,0.15,80,ppb,136.0
ND,Hankinson,58001.0,Hankinson City of,919,Trichloroacetic acid,5.35,0.1,0,ppb,53.49999999999999
ND,Hankinson,58001.0,Hankinson City of,919,Uranium*,1.67,0.43,20,pCi/L,3.883720930232558
