Utility name,City,People served,Zip
"Abercrombie, City of",Abercrombie,Population served: 263,58001
"Barney, City of",Barney,Population served: 52,58001
"Christine, City of",Christine,Population served: 156,58001
"Colfax, City of",Colfax,Population served: 121,58001
"Fairmount, City of",Fairmount,Population served: 367,58001
"Hankinson, City of",Hankinson,Population served: 919,58001
"Lidgerwood, City of",Lidgerwood,Population served: 652,58001
"Mantador, City of",Mantador,Population served: 64,58001
"Mooreton, City of",Mooreton,Population served: 197,58001
Southeast Wud (east),Mantador,"Population served: 4,225",58001
"Wahpeton, City of",Wahpeton,"Population served: 7,766",58001
"Walcott, City of",Walcott,Population served: 235,58001
"Wyndmere, City of",Wyndmere,Population served: 429,58001
"Amenia, City of",Amenia,Population served: 94,58002
"Argusville, City of",Argusville,Population served: 475,58002
"Arthur, City of",Arthur,Population served: 337,58002
Brooktree Wells Inc.,Harwood,Population served: 45,58002
"Buffalo, City of",Buffalo,Population served: 188,58002
Cass Rural Water District Fargo,Kindred,"Population served: 4,242",58002
Cass Rural Water District-phase I,Kindred,"Population served: 3,658",58002
Cass Rural Water District-phase II,Kindred,"Population served: 1,700",58002
Cass Rural Water District-phase III,Kindred,"Population served: 1,682",58002
"Casselton, City of",Casselton,"Population served: 2,513",58002
City of Fargo,Fargo,"Population served: 120,762",58002
City of West Fargo,West Fargo,"Population served: 34,858",58002
Country Acres Water Company,Horace,Population served: 50,58002
"Davenport, City of",Davenport,Population served: 252,58002
Fradets Orchard Water System,Horace,Population served: 56,58002
"Gardner, City of",Gardner,Population served: 74,58002
"Grandin, City of",Grandin,Population served: 173,58002
"Harwood, City of",Harwood,Population served: 718,58002
"Horace, City of",Horace,"Population served: 1,378",58002
Horseshoe Bend,Horace,Population served: 110,58002
"Hunter, City of",Hunter,Population served: 261,58002
"Kindred, City of",Kindred,Population served: 692,58002
"Mapleton, City of",Mapleton,Population served: 762,58002
"Oxbow, City of",Leonard,Population served: 305,58002
"Page, City of",Page,Population served: 232,58002
Riverdale Subdivision,Horace,Population served: 88,58002
Sleepy Hollow Water Company,Horace,Population served: 100,58002
"Tower City, City of",Valley City,Population served: 253,58002
"Galesburg, City of",Galesburg,Population served: 108,58009
"Hatton, City of",Hatton,Population served: 777,58009
"Hillsboro, City of",Hillsboro,"Population served: 1,603",58009
"Mayville, City of",Mayville,"Population served: 1,858",58009
"Portland, City of",Portland,Population served: 606,58009
East Central Regional Wd-traill,Thompson,"Population served: 2,800",58009
"Forman, City of",Forman,Population served: 504,58013
"Gwinner, City of",Gwinner,Population served: 753,58013
"Milnor, City of",Milnor,Population served: 653,58013
"Rutland, City of",Rutland,Population served: 163,58013
Sundale Hutterian Association,Milnor,Population served: 110,58013
"Finley, City of",Finley,Population served: 445,58016
"Hope, City of",Hope,Population served: 258,58016
"Sharon, City of",Sharon,Population served: 96,58016
"Valley City, City of","Valley City, ND","Population served:6,585",58027
Barnes Rural Water District,"Valley City, ND","Population served:4,938",58027
Breckenridge,Breckenridge,"Population served: 3,340",58030
Browns Valley,Browns Valley,Population served: 567,58030
Campbell,Campbell,Population served: 159,58030
Dumont,Dumont,Population served: 71,58030
Kent,Kent,Population served: 78,58030
Rothsay,Rothsay,Population served: 493,58030
Tintah,Tintah,Population served: 68,58030
Wheaton,Wheaton,"Population served: 1,424",58030
Wolverton,Wolverton,Population served: 139,58030
"Berlin, City of",Berlin,Population served: 34,58033
"Edgeley, City of",Edgeley,Population served: 563,58033
"Enderlin, City of",Enderlin,Population served: 886,58033
Fairview Colony,Lamoure,Population served: 100,58033
"Jud, City of",Jud,Population served: 72,58033
"Kulm, City of",Kulm,Population served: 354,58033
"Lamoure, City of",Lamoure,Population served: 889,58033
"Lisbon, City of",Lisbon,"Population served: 2,154",58033
"Sheldon, City of",Sheldon,Population served: 116,58033
Southeast Wud (central-lisbon),Lisbon,"Population served: 1,675",58033
"Verona, City of",Verona,Population served: 85,58033
Willowbank Colony,Edgeley,Population served: 95,58033
"Ellendale, City of",Ellendale,"Population served: 1,394",58040
"Forbes, City of",Forbes,Population served: 53,58040
"Fullerton, City of",Oakes,Population served: 54,58040
Maple River Hutterian Association,Fullerton,Population served: 140,58040
"Monango, City of",Monango,Population served: 36,58040
"Oakes, City of",Oakes,"Population served: 1,856",58040
Southeast Wud (west),Mantador,"Population served: 1,275",58040
Amherst Water Company,Britton,Population served: 35,58043
Britton,Britton,"Population served: 1,241",58043
Eden,Eden,Population served: 89,58043
Lake City,Britton,Population served: 51,58043
Langford,Langford,Population served: 313,58043
Newport Colony,Claremont,Population served: 116,58043
Sunset Colony,Britton,Population served: 140,58043
Veblen,Veblen,Population served: 526,58043
"Dazey, City of",Dazey,Population served: 104,58046
"Litchville, City of",Valley City,Population served: 172,58046
"Nome, City of",Nome,Population served: 62,58046
"Oriska, City of",Oriska,Population served: 118,58046
"Sanborn, City of",Sanborn,Population served: 192,58046
"Sibley, City of",Sibley,Population served: 30,58046
"Wimbledon, City of",Valley City,Population served: 216,58046
Sisseton,"Sisseton, SD","Population served:2,470",58053
"Binford, City of",Binford,Population served: 183,58056
"Cooperstown, City of",Cooperstown,Population served: 984,58056
Dakota Rural Water District North,Finley,"Population served: 1,070",58056
