Utility name,City,People served,Zip
"Abercrombie, City of",Abercrombie,Population served: 263,58001
"Barney, City of",Barney,Population served: 52,58001
"Christine, City of",Christine,Population served: 156,58001
"Colfax, City of",Colfax,Population served: 121,58001
"Fairmount, City of",Fairmount,Population served: 367,58001
"Hankinson, City of",Hankinson,Population served: 919,58001
"Lidgerwood, City of",Lidgerwood,Population served: 652,58001
"Mantador, City of",Mantador,Population served: 64,58001
"Mooreton, City of",Mooreton,Population served: 197,58001
Southeast Wud (east),Mantador,"Population served: 4,225",58001
"Wahpeton, City of",Wahpeton,"Population served: 7,766",58001
"Walcott, City of",Walcott,Population served: 235,58001
"Wyndmere, City of",Wyndmere,Population served: 429,58001
"Amenia, City of",Amenia,Population served: 94,58002
"Argusville, City of",Argusville,Population served: 475,58002
"Arthur, City of",Arthur,Population served: 337,58002
Brooktree Wells Inc.,Harwood,Population served: 45,58002
"Buffalo, City of",Buffalo,Population served: 188,58002
Cass Rural Water District Fargo,Kindred,"Population served: 4,242",58002
Cass Rural Water District-phase I,Kindred,"Population served: 3,658",58002
Cass Rural Water District-phase II,Kindred,"Population served: 1,700",58002
Cass Rural Water District-phase III,Kindred,"Population served: 1,682",58002
"Casselton, City of",Casselton,"Population served: 2,513",58002
City of Fargo,Fargo,"Population served: 120,762",58002
City of West Fargo,West Fargo,"Population served: 34,858",58002
Country Acres Water Company,Horace,Population served: 50,58002
"Davenport, City of",Davenport,Population served: 252,58002
Fradets Orchard Water System,Horace,Population served: 56,58002
"Gardner, City of",Gardner,Population served: 74,58002
"Grandin, City of",Grandin,Population served: 173,58002
"Harwood, City of",Harwood,Population served: 718,58002
"Horace, City of",Horace,"Population served: 1,378",58002
Horseshoe Bend,Horace,Population served: 110,58002
"Hunter, City of",Hunter,Population served: 261,58002
"Kindred, City of",Kindred,Population served: 692,58002
"Mapleton, City of",Mapleton,Population served: 762,58002
"Oxbow, City of",Leonard,Population served: 305,58002
"Page, City of",Page,Population served: 232,58002
Riverdale Subdivision,Horace,Population served: 88,58002
Sleepy Hollow Water Company,Horace,Population served: 100,58002
"Tower City, City of",Valley City,Population served: 253,58002
"Amenia, City of",Amenia,Population served: 94,58004
"Argusville, City of",Argusville,Population served: 475,58004
"Arthur, City of",Arthur,Population served: 337,58004
Brooktree Wells Inc.,Harwood,Population served: 45,58004
"Buffalo, City of",Buffalo,Population served: 188,58004
Cass Rural Water District Fargo,Kindred,"Population served: 4,242",58004
Cass Rural Water District-phase I,Kindred,"Population served: 3,658",58004
Cass Rural Water District-phase II,Kindred,"Population served: 1,700",58004
Cass Rural Water District-phase III,Kindred,"Population served: 1,682",58004
"Casselton, City of",Casselton,"Population served: 2,513",58004
City of Fargo,Fargo,"Population served: 120,762",58004
City of West Fargo,West Fargo,"Population served: 34,858",58004
Country Acres Water Company,Horace,Population served: 50,58004
"Davenport, City of",Davenport,Population served: 252,58004
Fradets Orchard Water System,Horace,Population served: 56,58004
"Gardner, City of",Gardner,Population served: 74,58004
"Grandin, City of",Grandin,Population served: 173,58004
"Harwood, City of",Harwood,Population served: 718,58004
"Horace, City of",Horace,"Population served: 1,378",58004
Horseshoe Bend,Horace,Population served: 110,58004
"Hunter, City of",Hunter,Population served: 261,58004
"Kindred, City of",Kindred,Population served: 692,58004
"Mapleton, City of",Mapleton,Population served: 762,58004
"Oxbow, City of",Leonard,Population served: 305,58004
"Page, City of",Page,Population served: 232,58004
Riverdale Subdivision,Horace,Population served: 88,58004
Sleepy Hollow Water Company,Horace,Population served: 100,58004
"Tower City, City of",Valley City,Population served: 253,58004
"Amenia, City of",Amenia,Population served: 94,58005
"Argusville, City of",Argusville,Population served: 475,58005
"Arthur, City of",Arthur,Population served: 337,58005
Brooktree Wells Inc.,Harwood,Population served: 45,58005
"Buffalo, City of",Buffalo,Population served: 188,58005
Cass Rural Water District Fargo,Kindred,"Population served: 4,242",58005
Cass Rural Water District-phase I,Kindred,"Population served: 3,658",58005
Cass Rural Water District-phase II,Kindred,"Population served: 1,700",58005
Cass Rural Water District-phase III,Kindred,"Population served: 1,682",58005
"Casselton, City of",Casselton,"Population served: 2,513",58005
City of Fargo,Fargo,"Population served: 120,762",58005
City of West Fargo,West Fargo,"Population served: 34,858",58005
Country Acres Water Company,Horace,Population served: 50,58005
"Davenport, City of",Davenport,Population served: 252,58005
Fradets Orchard Water System,Horace,Population served: 56,58005
"Gardner, City of",Gardner,Population served: 74,58005
"Grandin, City of",Grandin,Population served: 173,58005
"Harwood, City of",Harwood,Population served: 718,58005
"Horace, City of",Horace,"Population served: 1,378",58005
Horseshoe Bend,Horace,Population served: 110,58005
"Hunter, City of",Hunter,Population served: 261,58005
"Kindred, City of",Kindred,Population served: 692,58005
"Mapleton, City of",Mapleton,Population served: 762,58005
"Oxbow, City of",Leonard,Population served: 305,58005
"Page, City of",Page,Population served: 232,58005
Riverdale Subdivision,Horace,Population served: 88,58005
Sleepy Hollow Water Company,Horace,Population served: 100,58005
"Tower City, City of",Valley City,Population served: 253,58005
"Amenia, City of",Amenia,Population served: 94,58006
"Argusville, City of",Argusville,Population served: 475,58006
"Arthur, City of",Arthur,Population served: 337,58006
Brooktree Wells Inc.,Harwood,Population served: 45,58006
