State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
NV,89001,Caliente Public Utilities,1100,1522,32017
NV,89001,Panaca Farmstead Water Association,900,3861,32017
NV,89001,Pioche Public Utilities,700,3484,32017
NV,89003,Amargosa Water Company,54,2092,32023
NV,89003,Anchor In Mobile Home Park,36,992,32023
NV,89003,Beatty Water and Sanitation District,1024,3067,32023
NV,89003,Big Five Park,65,299,32023
NV,89003,Big Valley Mobile Home Park,50,831,32023
NV,89003,C Valley Mobile Home Park,54,695,32023
NV,89003,Calvada Meadows Gbwc,77,583,32023
NV,89003,Carvers Smokey Valley Rv and Mobile Home Park,250,1795,32023
NV,89003,Desert Mirage Homeowners Association,230,302,32023
NV,89003,Desert Utilities,1086,501,32023
NV,89003,Escapee Co-op of Nevada,200,1403,32023
NV,89003,Gabbs Water System,411,2017,32023
NV,89003,Manhattan Town Water,40,422,32023
NV,89003,Mountain Falls Water System Gbwc,1718,232,32023
NV,89003,Pahrump Utility Company Inc.,985,299,32023
NV,89003,Rancho Vista 4,50,893,32023
NV,89003,Round Mountain Puc,1200,927,32023
NV,89003,Shoshone Estates Water Company Inc.,240,4548,32023
NV,89003,Sunset Mobile Home Park,90,1250,32023
NV,89003,Tonopah Public Utilities,2853,1791,32023
NV,89005,Nevada State Veterans Home Boulder City,258,2859,32003
NV,89005,City of Henderson,321781,2207,32003
NV,89010,Goldfield Town Water,350,2066,32009
NV,89010,Silver Peak Water System,138,989,32009
NV,89015,Boulder City,15000,2405,32003
NV,89019,Sky Ranch Estates,110,1,32003
NV,89025,Nellis Air Force Base,16857,2552,32003
NV,89025,North Las Vegas Utilities,306570,2372,32003
NV,89026,Las Vegas Valley Water District,1502604,2453,32003
NV,89026,Virgin Valley Water District,18000,1646,32003
NV,89101,Sunrise Acres Water Association,231,679,32003
NV,89107,Rancho Cooperative Water Company,2,309,32003
NV,89108,Eastland Heights Water Association,400,30,32003
NV,89124,Mount Charleston Water Company,20,637,32003
NV,89124,Cold Creek Canyon Homeowners,180,175,32003
NV,89301,Baker Water and Sewer Gid,85,2,32033
NV,89301,Ely Maximum Security Prison Ndoc,1099,733,32033
NV,89301,Ely Municipal Water Department,5000,1166,32033
NV,89301,Koa of Ely Campground,30,34,32033
NV,89301,Mcgill Water and Sewer District,1200,508,32033
NV,89301,Ruth Water District,470,1752,32033
NV,89310,Lander County Sewer and Water District 1 Bm,3635,5305,32015
NV,89316,Devils Gate Gid District 1,65,1876,32011
NV,89316,Devils Gate Water System Gid 2,70,1820,32011
NV,89316,Eureka Water Association,450,18,32011
NV,89316,The Lodge At Pine Valley,320,2383,32011
NV,89402,Empire Mining Company,350,587,32031
NV,89402,Foothill Trailer Park,35,7,32031
NV,89402,Gerlach Gid,180,537,32031
NV,89402,Incline Village Gid,9313,611,32031
NV,89402,Ke Ta Mobile Home Park,60,894,32031
NV,89402,Lightning W,163,47,32031
NV,89402,Old Washoe Estates,135,851,32031
NV,89402,Reno Sahara Trailer Park,60,285,32031
NV,89402,River Bend Mobile Home Park,45,972,32031
NV,89402,Rosemount Water Company,54,209,32031
NV,89402,Silver Knolls Mutual Water Company,120,2671,32031
NV,89402,Great Basin Water Co. Spanish Springs,2030,8920,32031
NV,89402,Stampmill,118,1100,32031
NV,89402,Steamboat Springs Waterworks Inc.,998,2081,32031
NV,89402,Sun Valley Gid,17000,1901,32031
