Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Caliente Public Utilities,Arsenic,6.02 ppb,0.004 ppb,10 ppb
Caliente Public Utilities,Nitrate,0.534 ppm,0.14 ppm,10 ppm
Caliente Public Utilities,Nitrate and nitrite,0.550 ppm,0.14 ppm,10 ppm
Caliente Public Utilities,Uranium,4.06 pCi/L,0.43 pCi/L,20 pCi/L
Caliente Public Utilities,Fluoride,1.22 ppm,,4 ppm
Caliente Public Utilities,Manganese,1.08 ppb,100 ppb,
Caliente Public Utilities,None,,,
Panaca Farmstead Water Association,Arsenic,15.4 ppb,0.004 ppb,10 ppb
Panaca Farmstead Water Association,Nitrate,0.445 ppm,0.14 ppm,10 ppm
Panaca Farmstead Water Association,Nitrate and nitrite,0.410 ppm,0.14 ppm,10 ppm
Panaca Farmstead Water Association,Uranium,1.94 pCi/L,0.43 pCi/L,20 pCi/L
Panaca Farmstead Water Association,Barium,75.0 ppb,700 ppb,"2,000 ppb"
Panaca Farmstead Water Association,Chromium (total),3.50 ppb,,100 ppb
Panaca Farmstead Water Association,Fluoride,1.40 ppm,,4 ppm
Panaca Farmstead Water Association,None,,,
Pioche Public Utilities,Arsenic,4.72 ppb,0.004 ppb,10 ppb
Pioche Public Utilities,Nitrate,1.94 ppm,0.14 ppm,10 ppm
Pioche Public Utilities,Nitrate and nitrite,2.97 ppm,0.14 ppm,10 ppm
Pioche Public Utilities,"Radium, combined (-226 &amp; -228)",1.13 pCi/L,0.05 pCi/L,5 pCi/L
Pioche Public Utilities,Radon,750.22 pCi/L,1.5 pCi/L,
Pioche Public Utilities,Uranium,1.75 pCi/L,0.43 pCi/L,20 pCi/L
Pioche Public Utilities,Aluminum,105.7 ppb,600 ppb,
Pioche Public Utilities,Barium,11.9 ppb,700 ppb,"2,000 ppb"
Pioche Public Utilities,Chromium (total),1.96 ppb,,100 ppb
Pioche Public Utilities,Fluoride,0.400 ppm,,4 ppm
Pioche Public Utilities,Manganese,11.2 ppb,100 ppb,
Pioche Public Utilities,None,,,
Pioche Public Utilities,Arsenic,4.72 ppb,0.004 ppb,10 ppb
Pioche Public Utilities,Nitrate,1.94 ppm,0.14 ppm,10 ppm
Pioche Public Utilities,Nitrate and nitrite,2.97 ppm,0.14 ppm,10 ppm
Pioche Public Utilities,"Radium, combined (-226 &amp; -228)",1.13 pCi/L,0.05 pCi/L,5 pCi/L
Pioche Public Utilities,Radon,750.22 pCi/L,1.5 pCi/L,
Pioche Public Utilities,Uranium,1.75 pCi/L,0.43 pCi/L,20 pCi/L
Pioche Public Utilities,Aluminum,105.7 ppb,600 ppb,
Pioche Public Utilities,Barium,11.9 ppb,700 ppb,"2,000 ppb"
Pioche Public Utilities,Chromium (total),1.96 ppb,,100 ppb
Pioche Public Utilities,Fluoride,0.400 ppm,,4 ppm
Pioche Public Utilities,Manganese,11.2 ppb,100 ppb,
Pioche Public Utilities,None,,,
Amargosa Water Company,Arsenic,6.89 ppb,0.004 ppb,10 ppb
Amargosa Water Company,Nitrate,1.53 ppm,0.14 ppm,10 ppm
Amargosa Water Company,Nitrate and nitrite,1.54 ppm,0.14 ppm,10 ppm
Amargosa Water Company,"Radium, combined (-226 &amp; -228)",1.39 pCi/L,0.05 pCi/L,5 pCi/L
Amargosa Water Company,Radon,476.70 pCi/L,1.5 pCi/L,
Amargosa Water Company,Aluminum,4.73 ppb,600 ppb,
Amargosa Water Company,Chromium (total),4.85 ppb,,100 ppb
Amargosa Water Company,Fluoride,1.29 ppm,,4 ppm
Amargosa Water Company,Selenium,2.43 ppb,30 ppb,50 ppb
