State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
NV,Caliente,89001.0,Caliente Public Utilities,1100,Arsenic,6.02,0.004,10,ppb,1504.9999999999998
NV,Caliente,89001.0,Caliente Public Utilities,1100,Nitrate,0.534,0.14,10,ppm,3.814285714285714
NV,Caliente,89001.0,Caliente Public Utilities,1100,Nitrate and nitrite,0.55,0.14,10,ppm,3.9285714285714284
NV,Caliente,89001.0,Caliente Public Utilities,1100,Uranium,4.06,0.43,20,pCi/L,9.441860465116278
NV,Caliente,89001.0,Caliente Public Utilities,1100,Manganese,1.08,100.0,0,ppb,0.0108
NV,Panaca,89001.0,Panaca Farmstead Water Association,900,Arsenic,15.4,0.004,10,ppb,3850.0
NV,Panaca,89001.0,Panaca Farmstead Water Association,900,Nitrate,0.445,0.14,10,ppm,3.1785714285714284
NV,Panaca,89001.0,Panaca Farmstead Water Association,900,Nitrate and nitrite,0.41,0.14,10,ppm,2.928571428571428
NV,Panaca,89001.0,Panaca Farmstead Water Association,900,Uranium,1.94,0.43,20,pCi/L,4.511627906976744
NV,Panaca,89001.0,Panaca Farmstead Water Association,900,Barium,75.0,700.0,2000,ppb,0.10714285714285714
NV,Pioche,89001.0,Pioche Public Utilities,700,Arsenic,4.72,0.004,10,ppb,1180.0
NV,Pioche,89001.0,Pioche Public Utilities,700,Nitrate,1.94,0.14,10,ppm,13.857142857142856
NV,Pioche,89001.0,Pioche Public Utilities,700,Nitrate and nitrite,2.97,0.14,10,ppm,21.214285714285715
NV,Pioche,89001.0,Pioche Public Utilities,700,Radium combined (-226 &amp; -228),1.13,0.05,5,pCi/L,22.599999999999998
NV,Pioche,89001.0,Pioche Public Utilities,700,Radon,750.22,1.5,0,pCi/L,500.1466666666667
NV,Pioche,89001.0,Pioche Public Utilities,700,Uranium,1.75,0.43,20,pCi/L,4.069767441860465
NV,Pioche,89001.0,Pioche Public Utilities,700,Aluminum,105.7,600.0,0,ppb,0.17616666666666667
NV,Pioche,89001.0,Pioche Public Utilities,700,Barium,11.9,700.0,2000,ppb,0.017
NV,Pioche,89001.0,Pioche Public Utilities,700,Manganese,11.2,100.0,0,ppb,0.11199999999999999
NV,Pioche,89001.0,Pioche Public Utilities,700,Arsenic,4.72,0.004,10,ppb,1180.0
NV,Pioche,89001.0,Pioche Public Utilities,700,Nitrate,1.94,0.14,10,ppm,13.857142857142856
NV,Pioche,89001.0,Pioche Public Utilities,700,Nitrate and nitrite,2.97,0.14,10,ppm,21.214285714285715
NV,Pioche,89001.0,Pioche Public Utilities,700,Radium combined (-226 &amp; -228),1.13,0.05,5,pCi/L,22.599999999999998
NV,Pioche,89001.0,Pioche Public Utilities,700,Radon,750.22,1.5,0,pCi/L,500.1466666666667
NV,Pioche,89001.0,Pioche Public Utilities,700,Uranium,1.75,0.43,20,pCi/L,4.069767441860465
NV,Pioche,89001.0,Pioche Public Utilities,700,Aluminum,105.7,600.0,0,ppb,0.17616666666666667
NV,Pioche,89001.0,Pioche Public Utilities,700,Barium,11.9,700.0,2000,ppb,0.017
NV,Pioche,89001.0,Pioche Public Utilities,700,Manganese,11.2,100.0,0,ppb,0.11199999999999999
NV,Las Vegas,89003.0,Amargosa Water Company,54,Arsenic,6.89,0.004,10,ppb,1722.4999999999998
NV,Las Vegas,89003.0,Amargosa Water Company,54,Nitrate,1.53,0.14,10,ppm,10.928571428571427
NV,Las Vegas,89003.0,Amargosa Water Company,54,Nitrate and nitrite,1.54,0.14,10,ppm,11.0
NV,Las Vegas,89003.0,Amargosa Water Company,54,Radium combined (-226 &amp; -228),1.39,0.05,5,pCi/L,27.799999999999997
NV,Las Vegas,89003.0,Amargosa Water Company,54,Radon,476.7,1.5,0,pCi/L,317.8
NV,Las Vegas,89003.0,Amargosa Water Company,54,Aluminum,4.73,600.0,0,ppb,0.007883333333333334
NV,Las Vegas,89003.0,Amargosa Water Company,54,Selenium,2.43,30.0,50,ppb,0.081
NV,Las Vegas,89003.0,Amargosa Water Company,54,Uranium,0.85,0.43,20,pCi/L,1.9767441860465116
NV,Pahrump,89003.0,Anchor In Mobile Home Park,36,Arsenic,2.33,0.004,10,ppb,582.5
NV,Pahrump,89003.0,Anchor In Mobile Home Park,36,Nitrate,0.358,0.14,10,ppm,2.557142857142857
NV,Pahrump,89003.0,Anchor In Mobile Home Park,36,Nitrate and nitrite,0.343,0.14,10,ppm,2.45
NV,Pahrump,89003.0,Anchor In Mobile Home Park,36,Radium combined (-226 &amp; -228),0.77,0.05,5,pCi/L,15.4
