State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
NY,10464,United Water Westchester Rate District 1,146723,2608,36005
NY,10466,Mount Vernon Water Department,67292,2066,36005
NY,10467,Yonkers City,196086,1566,36005
NY,10501,Windsor Farms Water District,150,1938,36119
NY,10501,Yorktown Consoldated Water District #1,68719,1809,36119
NY,10502,Greenburgh Consolidated Water District #1,247405,1755,36119
NY,10504,New Castle/Stanwood WD,28501,429,36119
NY,10505,Westchester County Water District #1,340839,4,36119
NY,10505,Northern Westchester Joint Water Works,67469,8,36119
NY,10505,White Plains City,59353,1989,36119
NY,10507,Bedford Hills/taconic Corr. Facilities,1300,950,36119
NY,10507,Khal Adas Kashau,650,138,36119
NY,10507,Mount Kisco Water Department,9620,1094,36119
NY,10507,796 Bedford Road Apartments,40,108,36119
NY,10509,Danbury Water Department,62055,1348,36079
NY,10509,South Norwalk Electric and Water,42000,1358,36079
NY,10509,Norwalk First Taxing District,40256,1034,36079
NY,10509,Bethel Water Department,9507,591,36079
NY,10510,Ossining Water Department,30000,1871,36119
NY,10510,Sleepy Hollow (village),9870,934,36119
NY,10510,Pleasantville Road Water District,2809,449,36119
NY,10511,Cortlandt Consolidated WD,28369,1224,36119
NY,10511,Montrose Improvement District,33669,512,36119
NY,10511,Peekskill City,52969,1902,36119
NY,10512,Poughkeepsie Townwide Water District,52277,2239,36079
NY,10512,Poughkeepsie City,29871,1849,36079
NY,10512,Beacon City,21080,1478,36079
NY,10512,United Wappinger Water Improvement District,14000,1234,36079
NY,10512,Fishkill Village,11337,202,36079
NY,10512,Hyde Park / D.c.w.w.a. Plant,9636,1219,36079
NY,10512,Rhinebeck Village Water,5600,1604,36079
NY,10512,Brinkerhoff Water District,3863,322,36079
NY,10514,Briarcliff Manor Village,9190,1421,36119
NY,10514,Applehill Farm Water District,209,399,36119
NY,10514,Old Farm Hill Water District,1768,1182,36119
NY,10514,Mill River Water District,74,348,36119
NY,10514,Bear Ridge Lake Water District,518,456,36119
NY,10516,Cold Spring Village,2666,1363,36079
NY,10516,Brewster Village,2440,1245,36079
NY,10516,Watchtower Bible Tract Society,1501,891,36079
NY,10516,Mount Ebo Ws,1500,124,36079
NY,10516,Hill Sparrow Master Homeowners Association,938,116,36079
NY,10518,Meadows At Cross River,630,269,36119
NY,10518,Four Winds Hospital,400,1265,36119
NY,10519,Juengstville Farm Association,45,80,36119
NY,10520,Yeshiva Kehileth Yakov,150,263,36119
NY,10520,Danish Home For The Aged Inc.,27,375,36119
NY,10522,Irvington Water Supply,6631,1896,36119
NY,10523,Elmsford Village,4600,761,36119
NY,10526,Goldens Bridge Community Association,250,92,36119
NY,10526,Indian Hill Subdivision,320,298,36119
NY,10533,Tarrytown Water Supply,11000,2016,36119
NY,10536,Michelle Estates,340,181,36119
NY,10538,Larchmont Village,6485,1571,36119
NY,10538,Scarsdale Water Department,20608,1619,36119
NY,10548,Buchanan Village,2200,939,36119
NY,10549,Cedar Downs Water District,195,149,36119
NY,10549,Ramleh Water Works Corporation Inc.,80,127,36119
NY,10549,Old Post Road Water District,1500,514,36119
NY,10560,Salem Chase,175,119,36119
NY,10560,Bridleside Apartments,230,200,36119
NY,10560,Cotswold Water Supply,150,206,36119
NY,10560,Pabst Water Company Inc.,250,432,36119
NY,10560,Pietschs Gardens,337,243,36119
NY,10562,Sunshine Children's Home & Rehab Center,130,329,36119
NY,10562,Croton-on-hudson Village,8000,298,36119
NY,10570,Kensico Water District,17917,2151,36119
NY,10570,Pace University,2753,483,36119
NY,10589,Lincoln Hall School,500,321,36119
NY,10589,Somers Chase Water Works Corporation,224,153,36119
NY,10589,Somers Manor Nursing Home Inc.,400,83,36119
NY,10595,North Castle Water District #1,2500,5837,36119
NY,10598,Amawalk-shenorock Water District,3800,1481,36119
NY,10901,Hillburn Village,950,1564,36087
NY,10901,Hilltop House,73,33,36087
NY,10901,J&r Mobile Homes,75,12,36087
NY,10901,Lake Lucille Prop Owners Association,92,12,36087
NY,10901,Mount Ivy Enterprises,170,12,36087
NY,10901,Nyack Village Water Supply,14700,2006,36087
NY,10901,Oak Tree La Hav Ltd,140,13,36087
NY,10901,Pomona Country Club,30,145,36087
NY,10901,Pomona Glen,50,7,36087
NY,10901,St. Marys Villa,55,54,36087
NY,10901,Sunrise Bungalows,50,13,36087
NY,10901,Torne Brook Farm,50,13,36087
NY,10901,United Water New York,270950,2166,36087
NY,10910,Kiryas Joel Village,31988,332,36071
NY,10910,Middletown City,30850,1143,36071
NY,10910,New Windsor Consolidated WD,30450,1061,36071
NY,10910,Newburgh City,28000,733,36071
NY,10910,Newburgh Consolidated WD,26313,1406,36071
NY,10910,Wallkill Consolidated WD,18175,1937,36071
NY,10910,Woodbury Cons. WD,10741,348,36071
NY,10910,Monroe Village,10465,772,36071
NY,10910,Port Jervis City,9000,207,36071
NY,10925,Passaic Valley Water Commission,310121,2494,36071
NY,10925,Wayne Township Division of Water,55000,1666,36071
NY,10925,Manchester Utilities Authority,12000,2703,36071
NY,10925,Pompton Lakes Mua,11435,578,36071
NY,10964,Ridgewood Water,61700,3208,36087
NY,10964,Fair Lawn Water Department,31000,3680,36087
NY,10964,Mahwah Water Department,26777,1758,36087
NY,11010,Franklin Square WD,20000,63,36059
NY,11030,Plandome,1600,145,36059
NY,11050,Sands Point,2800,567,36059
NY,11507,Albertson WD,13500,661,36059
NY,11545,Glenwood Water District,1000,95,36059
NY,11549,New York American Water - Lynbrook,220000,346,36059
NY,11549,Town of Hempstead Water Department,110000,466,36059
NY,11561,Long Beach City,35000,20,36059
NY,11561,Lido-point Lookout Water District,6000,2,36059
NY,11568,Old Westbury,4700,45,36059
NY,11570,Rockville Centre,24700,126,36059
NY,11576,Manhasset Lakeville WD,44600,126,36059
NY,11590,Westbury WD,20500,219,36059
NY,11596,East Williston,2503,535,36059
NY,11702,Saltaire Water District,2000,0,36103
NY,11714,Bethpage WD,33000,214,36059
NY,11721,Greenlawn WD,42000,165,36103
NY,11724,South Huntington Water Department,81760,155,36103
NY,11731,Dix Hills Water District,34522,35,36103
