Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
United Water Westchester Rate District 1,Bromodichloromethane,3.50 ppb,0.06 ppb,
United Water Westchester Rate District 1,Bromoform*,1.42 ppb,0.5 ppb,
United Water Westchester Rate District 1,Chloroform,33.3 ppb,0.4 ppb,
United Water Westchester Rate District 1,Chromium (hexavalent),0.0426 ppb,0.02 ppb,
United Water Westchester Rate District 1,Dichloroacetic acid,9.78 ppb,0.2 ppb,
United Water Westchester Rate District 1,Haloacetic acids (HAA5)†,26.4 ppb,0.1 ppb,60 ppb
United Water Westchester Rate District 1,Haloacetic acids (HAA9)†,25.8 ppb,0.06 ppb,
United Water Westchester Rate District 1,Total trihalomethanes (TTHMs)†,36.8 ppb,0.15 ppb,80 ppb
United Water Westchester Rate District 1,Trichloroacetic acid,16.6 ppb,0.1 ppb,
United Water Westchester Rate District 1,"1,4-Dioxane*",0.00547 ppb,0.35 ppb,
United Water Westchester Rate District 1,Barium,15.7 ppb,700 ppb,"2,000 ppb"
United Water Westchester Rate District 1,Chlorate,21.8 ppb,210 ppb,
United Water Westchester Rate District 1,Chromium (total),0.00952 ppb,,100 ppb
United Water Westchester Rate District 1,Dibromoacetic acid,0.0117 ppb,0.04 ppb,
United Water Westchester Rate District 1,Dibromochloromethane,0.0199 ppb,0.1 ppb,
United Water Westchester Rate District 1,Fluoride,0.806 ppm,,4 ppm
United Water Westchester Rate District 1,Manganese,21.7 ppb,100 ppb,
United Water Westchester Rate District 1,Monochloroacetic acid,0.0220 ppb,53 ppb,
United Water Westchester Rate District 1,Nitrate,0.153 ppm,0.14 ppm,10 ppm
United Water Westchester Rate District 1,Nitrate and nitrite,0.153 ppm,0.14 ppm,10 ppm
United Water Westchester Rate District 1,Pentachlorophenol,0.0138 ppb,0.3 ppb,1 ppb
United Water Westchester Rate District 1,Strontium,0.0223 ppb,"1,500 ppb",
United Water Westchester Rate District 1,None,,,
Mount Vernon Water Department,Arsenic,1.64 ppb,0.004 ppb,10 ppb
Mount Vernon Water Department,Bromodichloromethane,3.32 ppb,0.06 ppb,
Mount Vernon Water Department,Chloroform,25.0 ppb,0.4 ppb,
Mount Vernon Water Department,Chromium (hexavalent),0.0434 ppb,0.02 ppb,
Mount Vernon Water Department,Dichloroacetic acid,14.1 ppb,0.2 ppb,
Mount Vernon Water Department,Haloacetic acids (HAA5)†,34.4 ppb,0.1 ppb,60 ppb
Mount Vernon Water Department,Haloacetic acids (HAA9)†,43.6 ppb,0.06 ppb,
Mount Vernon Water Department,Total trihalomethanes (TTHMs)†,28.3 ppb,0.15 ppb,80 ppb
Mount Vernon Water Department,Trichloroacetic acid,20.3 ppb,0.1 ppb,
Mount Vernon Water Department,Barium,16.4 ppb,700 ppb,"2,000 ppb"
Mount Vernon Water Department,Chlorate,11.4 ppb,210 ppb,
Mount Vernon Water Department,Cyanide,1.87 ppb,,200 ppb
Mount Vernon Water Department,Dibromoacetic acid,0.0110 ppb,0.04 ppb,
Mount Vernon Water Department,Fluoride,0.523 ppm,,4 ppm
Mount Vernon Water Department,Manganese,20.3 ppb,100 ppb,
Mount Vernon Water Department,Monochloroacetic acid,0.0306 ppb,53 ppb,
Mount Vernon Water Department,Nitrate,0.153 ppm,0.14 ppm,10 ppm
Mount Vernon Water Department,Nitrate and nitrite,0.150 ppm,0.14 ppm,10 ppm
Mount Vernon Water Department,Strontium,0.0209 ppb,"1,500 ppb",
Mount Vernon Water Department,None,,,
Yonkers City,Bromodichloromethane,3.35 ppb,0.06 ppb,
Yonkers City,Chloroform,27.1 ppb,0.4 ppb,
Yonkers City,Dichloroacetic acid,12.0 ppb,0.2 ppb,
Yonkers City,Haloacetic acids (HAA5)†,31.6 ppb,0.1 ppb,60 ppb
Yonkers City,Haloacetic acids (HAA9)†,39.8 ppb,0.06 ppb,
Yonkers City,Total trihalomethanes (TTHMs)†,30.5 ppb,0.15 ppb,80 ppb
Yonkers City,Trichloroacetic acid,19.5 ppb,0.1 ppb,
Yonkers City,"1,4-Dioxane",0.0138 ppb,0.35 ppb,
Yonkers City,1-Butanol ,0.413 ppb,,
Yonkers City,Barium,16.1 ppb,700 ppb,"2,000 ppb"
Yonkers City,Chlorate,45.4 ppb,210 ppb,
Yonkers City,Chromium (hexavalent),0.0357 ppb,0.02 ppb,
Yonkers City,Di(2-ethylhexyl) phthalate,0.113 ppb,3 ppb,6 ppb
Yonkers City,Dibromoacetic acid,0.0198 ppb,0.04 ppb,
Yonkers City,Dibromochloromethane,0.00215 ppb,0.1 ppb,
Yonkers City,Fluoride,0.568 ppm,,4 ppm
Yonkers City,Hexachlorocyclopentadiene,0.0115 ppb,2 ppb,50 ppb
Yonkers City,Manganese,12.6 ppb,100 ppb,
Yonkers City,Monobromoacetic acid,0.0153 ppb,25 ppb,
Yonkers City,Nitrate,0.149 ppm,0.14 ppm,10 ppm
Yonkers City,Nitrate and nitrite,0.149 ppm,0.14 ppm,10 ppm
Yonkers City,Pentachlorophenol,0.00492 ppb,0.3 ppb,1 ppb
Yonkers City,Strontium,0.0193 ppb,"1,500 ppb",
Yonkers City,None,,,
Windsor Farms Water District,Bromodichloromethane,13.0 ppb,0.06 ppb,
Windsor Farms Water District,Chloroform,43.6 ppb,0.4 ppb,
Windsor Farms Water District,Chromium (hexavalent)*,0.0455 ppb,0.02 ppb,
Windsor Farms Water District,Dibromoacetic acid,0.0958 ppb,0.04 ppb,
Windsor Farms Water District,Dibromochloromethane,3.43 ppb,0.1 ppb,
Windsor Farms Water District,Dichloroacetic acid,9.83 ppb,0.2 ppb,
Windsor Farms Water District,Haloacetic acids (HAA5)†,26.8 ppb,0.1 ppb,60 ppb
Windsor Farms Water District,Haloacetic acids (HAA9)*†,41.4 ppb,0.06 ppb,
Windsor Farms Water District,Total trihalomethanes (TTHMs)†,60.0 ppb,0.15 ppb,80 ppb
Windsor Farms Water District,Trichloroacetic acid,16.6 ppb,0.1 ppb,
Windsor Farms Water District,Alpha-hexachlorocyclohexane*,0.00317 ppb,,
Windsor Farms Water District,Chromium (total)*,0.0208 ppb,,100 ppb
Windsor Farms Water District,Manganese*,10.5 ppb,100 ppb,
Windsor Farms Water District,Monobromoacetic acid*,0.0417 ppb,25 ppb,
Windsor Farms Water District,Monochloroacetic acid,0.270 ppb,53 ppb,
Windsor Farms Water District,Strontium*,0.0716 ppb,"1,500 ppb",
Windsor Farms Water District,None,,,
Yorktown Consoldated Water District #1,Bromodichloromethane,10.5 ppb,0.06 ppb,
Yorktown Consoldated Water District #1,Chloroform,37.9 ppb,0.4 ppb,
Yorktown Consoldated Water District #1,Chromium (hexavalent),0.0455 ppb,0.02 ppb,
Yorktown Consoldated Water District #1,Dibromoacetic acid,0.0958 ppb,0.04 ppb,
Yorktown Consoldated Water District #1,Dibromochloromethane,2.01 ppb,0.1 ppb,
Yorktown Consoldated Water District #1,Dichloroacetic acid,12.1 ppb,0.2 ppb,
Yorktown Consoldated Water District #1,Haloacetic acids (HAA5)†,27.6 ppb,0.1 ppb,60 ppb
Yorktown Consoldated Water District #1,Haloacetic acids (HAA9)†,41.4 ppb,0.06 ppb,
Yorktown Consoldated Water District #1,Total trihalomethanes (TTHMs)†,50.4 ppb,0.15 ppb,80 ppb
Yorktown Consoldated Water District #1,Trichloroacetic acid,15.2 ppb,0.1 ppb,
Yorktown Consoldated Water District #1,Alpha-hexachlorocyclohexane,0.00317 ppb,,
Yorktown Consoldated Water District #1,Chromium (total),0.0208 ppb,,100 ppb
Yorktown Consoldated Water District #1,Manganese,10.5 ppb,100 ppb,
Yorktown Consoldated Water District #1,Monobromoacetic acid,0.0417 ppb,25 ppb,
Yorktown Consoldated Water District #1,Monochloroacetic acid,0.159 ppb,53 ppb,
Yorktown Consoldated Water District #1,Strontium,0.0716 ppb,"1,500 ppb",
Yorktown Consoldated Water District #1,None,,,
Greenburgh Consolidated Water District #1,Bromodichloromethane,3.59 ppb,0.06 ppb,
Greenburgh Consolidated Water District #1,Bromoform*,1.42 ppb,0.5 ppb,
Greenburgh Consolidated Water District #1,Chloroform,29.0 ppb,0.4 ppb,
Greenburgh Consolidated Water District #1,Chromium (hexavalent),0.0409 ppb,0.02 ppb,
Greenburgh Consolidated Water District #1,Dibromoacetic acid,0.142 ppb,0.04 ppb,
Greenburgh Consolidated Water District #1,Dibromochloromethane*,0.225 ppb,0.1 ppb,
Greenburgh Consolidated Water District #1,Dichloroacetic acid,13.8 ppb,0.2 ppb,
Greenburgh Consolidated Water District #1,Haloacetic acids (HAA5)†,33.7 ppb,0.1 ppb,60 ppb
Greenburgh Consolidated Water District #1,Haloacetic acids (HAA9)†,47.4 ppb,0.06 ppb,
Greenburgh Consolidated Water District #1,Total trihalomethanes (TTHMs)†,32.5 ppb,0.15 ppb,80 ppb
Greenburgh Consolidated Water District #1,Trichloroacetic acid,19.7 ppb,0.1 ppb,
Greenburgh Consolidated Water District #1,"1,4-Dioxane*",0.00547 ppb,0.35 ppb,
Greenburgh Consolidated Water District #1,Barium,11.8 ppb,700 ppb,"2,000 ppb"
Greenburgh Consolidated Water District #1,Chlorate*,21.7 ppb,210 ppb,
Greenburgh Consolidated Water District #1,Chromium (total)*,0.111 ppb,,100 ppb
Greenburgh Consolidated Water District #1,Di(2-ethylhexyl) phthalate,0.0760 ppb,3 ppb,6 ppb
Greenburgh Consolidated Water District #1,Fluoride,0.640 ppm,,4 ppm
Greenburgh Consolidated Water District #1,Manganese,10.5 ppb,100 ppb,
Greenburgh Consolidated Water District #1,Monobromoacetic acid,0.0261 ppb,25 ppb,
Greenburgh Consolidated Water District #1,Monochloroacetic acid,0.104 ppb,53 ppb,
Greenburgh Consolidated Water District #1,Nitrate,0.0914 ppm,0.14 ppm,10 ppm
Greenburgh Consolidated Water District #1,Nitrate and nitrite*,0.157 ppm,0.14 ppm,10 ppm
Greenburgh Consolidated Water District #1,Strontium,0.0205 ppb,"1,500 ppb",
Greenburgh Consolidated Water District #1,None,,,
North Castle Water District #1,Bromodichloromethane,3.50 ppb,0.06 ppb,
North Castle Water District #1,Chloroform,29.3 ppb,0.4 ppb,
North Castle Water District #1,Chromium (hexavalent)*,0.0435 ppb,0.02 ppb,
North Castle Water District #1,Dichloroacetic acid,10.8 ppb,0.2 ppb,
North Castle Water District #1,Haloacetic acids (HAA5)†,33.4 ppb,0.1 ppb,60 ppb
North Castle Water District #1,Haloacetic acids (HAA9)*†,56.7 ppb,0.06 ppb,
North Castle Water District #1,Nitrate,0.559 ppm,0.14 ppm,10 ppm
North Castle Water District #1,Nitrate and nitrite,0.559 ppm,0.14 ppm,10 ppm
