State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Bromodichloromethane,3.5,0.06,0,ppb,58.333333333333336
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Bromoform*,1.42,0.5,0,ppb,2.84
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Chloroform,33.3,0.4,0,ppb,83.24999999999999
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Chromium (hexavalent),0.0426,0.02,0,ppb,2.13
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Dichloroacetic acid,9.78,0.2,0,ppb,48.89999999999999
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Haloacetic acids (HAA5)†,26.4,0.1,60,ppb,263.99999999999994
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Haloacetic acids (HAA9)†,25.8,0.06,0,ppb,430.0
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Total trihalomethanes (TTHMs)†,36.8,0.15,80,ppb,245.33333333333331
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Trichloroacetic acid,16.6,0.1,0,ppb,166.0
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,14-Dioxane*,0.00547,0.35,0,ppb,0.01562857142857143
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Barium,15.7,700.0,2000,ppb,0.022428571428571426
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Chlorate,21.8,210.0,0,ppb,0.10380952380952381
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Dibromoacetic acid,0.0117,0.04,0,ppb,0.2925
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Dibromochloromethane,0.0199,0.1,0,ppb,0.199
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Manganese,21.7,100.0,0,ppb,0.217
NY,New Rochelle NY,10464.0,United Water Westchester Rate District 1,146723,Monochloroacetic acid,0.022,53.0,0,ppb,0.0004150943396226415
