Utility name,City,People served,Zip
Jersey City Municipal Utilities Authority,"Hoboken, NJ","Population served:262,000",10004
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10464
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10466
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10466
Yonkers City,"Yonkers, NY","Population served:196,086",10467
Yonkers City,"Yonkers, NY","Population served:196,086",10470
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10470
Yonkers City,"Yonkers, NY","Population served:196,086",10471
Windsor Farms Water District,"Somers, NY",Population served:150,10501
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10501
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10502
North Castle Water District #2,"Armonk, NY","Population served:1,200",10504
North Castle Water District #5,"Armonk, NY",Population served:225,10504
North Castle Water District #7,"Armonk, NY",Population served:100,10504
New Castle/Stanwood WD,"Chappaqua, NY","Population served:28,501",10504
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10504
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10505
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10505
Yonkers City,"Yonkers, NY","Population served:196,086",10505
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10505
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10505
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10505
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10505
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10505
White Plains City,"White Plains, NY","Population served:59,353",10505
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10505
Aquarion Water Company of Connecticut - Main System,"Bridgeport, CT","Population served:351,756",10506
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10506
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10506
Yonkers City,"Yonkers, NY","Population served:196,086",10506
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10506
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10506
Aquarion Water Company of Connecticut - Stamford,"Bridgeport, CT","Population served:99,415",10506
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10506
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10506
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10506
Bedford Hills/taconic Corr. Facilities,"Bedford Hills, NY","Population served:1,300",10507
Khal Adas Kashau,"Bedford Hills, NY",Population served:650,10507
Mount Kisco Water Department,"Mount Kisco, NY","Population served:9,620",10507
796 Bedford Road Apartments,"Sleepy Hollow, NY",Population served:40,10507
Aquarion Water Company of Connecticut - Main System,"Bridgeport, CT","Population served:351,756",10509
Aquarion Water Company of Connecticut - Stamford,"Bridgeport, CT","Population served:99,415",10509
Danbury Water Department,"Danbury, CT","Population served:62,055",10509
Aquarion Water Company of Connecticut - Greenwich System,"Bridgeport, CT","Population served:53,041",10509
South Norwalk Electric and Water,"Wilton, CT","Population served:42,000",10509
Norwalk First Taxing District,"Norwalk, CT","Population served:40,256",10509
