State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
OH,43001,Buckeye Lake Village of Public Water System,2746,1258,39089
OH,43001,City of Heath PWS,10000,303,39089
OH,43001,Country Hills Mobile Home Park,48,10,39089
OH,43001,Granville Village of,5646,490,39089
OH,43001,Green Meadows Mobile Home Park,50,297,39089
OH,43001,Hebron Village Public Water System,2360,795,39089
OH,43001,Johnstown Village Public Water System,4806,749,39089
OH,43001,Licking County Harbor Hills Public Water System,938,2371,39089
OH,43001,Newark City PWS,47573,1602,39089
OH,43001,Pataskala City,9100,479,39089
OH,43001,Southwest Licking Community Water,12088,1077,39089
OH,43001,St. Louisville Village Public Water System,374,362,39089
OH,43001,Utica Village Public Water System,2235,106,39089
OH,43001,Wilkins Mobile Home Park,115,16,39089
OH,43001,Winding Creek Estates,57,260,39089
OH,43003,Ashley Village Public Water System,1286,1376,39041
OH,43003,Candlewood Lake Association Inc.,1100,878,39041
OH,43003,Cardington Village Public Water System,2046,848,39041
OH,43003,Del-Co Water Company Inc.,141407,2063,39041
OH,43003,Delaware City PWS,34982,814,39041
OH,43003,Mount Gilead Village Public Water System,3660,2133,39041
OH,43004,Reynoldsburg City PWS,35893,1672,39049
OH,43005,Colonial Terrace Mobile Home Park,84,87,39083
OH,43005,Danville Village Public Water System,1044,386,39083
OH,43005,Fredericktown Village,2493,466,39083
OH,43005,Gambier Village Public Water System,2391,37,39083
OH,43005,Knox County Water and Wastewater Public Water System,7500,369,39083
OH,43005,Martinsburg Village Public Water System,185,173,39083
OH,43005,Mount Vernon City PWS,17837,11,39083
OH,43005,Westgate Mobile Home Community,150,11,39083
OH,43006,Big Prairie Water Company,200,731,39031
OH,43006,Bomac Mobile Home Park,45,44,39031
OH,43006,Castle Nursing Homes Inc. Public Water System,428,602,39031
OH,43006,Coshocton PWS,11204,429,39031
OH,43006,Echoing Hills Village,25,217,39031
OH,43006,Glenmont Village Public Water System,280,115,39031
OH,43006,Holmes County Jail,195,168,39031
OH,43006,House of Jacob,28,155,39031
OH,43006,Killbuck Village Public Water System,900,226,39031
OH,43006,Millers Acres Home Owner Association,100,998,39031
OH,43006,Millersburg Village Public Water System,3025,248,39031
OH,43006,Nashville Village Public Water System,197,41,39031
OH,43006,Walnut Creek Water Company,1750,2368,39031
OH,43006,West Lafayette Public Water System,2568,253,39031
OH,43006,Winesburg Area Development Corporation,1250,435,39031
OH,43007,Marysville City PWS,22800,1357,39159
OH,43007,Milford Center Village Public Water System,1669,282,39159
OH,43007,Richwood Village Public Water System,2156,512,39159
OH,43009,Grandview Heights Civic Association Public Water System,120,690,39021
OH,43009,Mechanicsburg Village Public Water System,1644,209,39021
OH,43009,North Lewisburg Village Public Water System,1850,953,39021
OH,43009,Saint Paris Village Public Water System,2089,662,39021
OH,43009,Urbana City PWS,11500,310,39021
OH,43010,Catawba Village Public Water System,296,642,39023
OH,43010,City of Springfield,59357,948,39023
OH,43010,Clark County Green Meadows 2 Public Water System,2000,389,39023
OH,43010,Clark County Limecrest Public Water System,120,1074,39023
OH,43010,Clark County Maplewood Public Water System,500,812,39023
OH,43010,Clark County Northridge 1 Public Water System,9800,957,39023
OH,43010,Clark County Park Layne Public Water System,6600,176,39023
OH,43010,Clark County Rockway Public Water System,450,867,39023
OH,43010,Enon Heights Mobile Home,65,29,39023
OH,43010,Enon Village of Public Water System,2415,213,39023
OH,43010,Fairway Terrace Mobile Home Park Public Water System,800,112,39023
OH,43010,Garden Acres Water Company Public Water System,241,1038,39023
OH,43010,Greenlawn Condos,190,2143,39023
OH,43010,Honeycreek Village Mobile Home Park Public Water System,225,171,39023
OH,43010,Lawrenceville Village Public Water System,302,1380,39023
OH,43010,New Carlisle City Public Water System,5735,874,39023
OH,43010,North Hampton Village Public Water System,490,1154,39023
OH,43010,Park Terrace Mobile Home Park,100,27,39023
OH,43010,Rolling Terrace Mobile Home Park,100,1616,39023
OH,43010,South Charleston Village Public Water System,1660,133,39023
OH,43010,South Vienna Village of,565,1855,39023
OH,43016,Columbus Public Water System,1159817,1452,39049
OH,43019,Mansfield City,51000,2084,39083
OH,43019,Shelby City,9317,1308,39083
OH,43019,Ontario City,6225,373,39083
OH,43019,Lexington Village,4320,1018,39083
OH,43029,Camp Wissalohican Water System,30,1772,39097
OH,43029,Choctaw Utilities Inc.,2000,52,39097
OH,43029,Cordles Mobile Home Park,40,1864,39097
OH,43029,Greentree Mobile Home Park,170,1,39097
OH,43029,London City Public Water System,8871,2205,39097
OH,43029,Mount Sterling Village Public Water System,1860,839,39097
OH,43029,Odrc-london Correctional,5769,480,39097
OH,43029,Picket Fences Mobile Home Community,27,1820,39097
OH,43029,Plain City Village Public Water System,4235,675,39097
OH,43029,Plumwood Mobile Home Park,96,860,39097
OH,43029,Rosedale Bible Institute,110,54,39097
OH,43029,South Solon Village Public Water System,395,406,39097
OH,43029,Suburbans Community Mobile Home Park,655,1,39097
OH,43046,Lancaster City PWS,40400,967,39045
OH,43054,Gahanna City PWS,33323,1770,39049
OH,43060,Belle Center Village Public Water System,834,412,39021
OH,43060,Bellefontaine City PWS,13370,540,39021
OH,43060,Cottonwood Enterprises,20,91,39021
OH,43060,Degraff Village Public Water System,1215,653,39021
OH,43060,Heartland of Indian Lake - Rc,53,227,39021
OH,43060,Lakeridge Resorts Inc. Mobile Home Park,40,92,39021
OH,43060,Lakeview Village Public Water System,1072,388,39021
OH,43060,Quincy Village Public Water System,706,431,39021
OH,43060,Rushsylvania Village Public Water System,516,342,39021
