Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
"Buckeye Lake, Village of Public Water System",Bromodichloromethane,18.1 ppb,0.06 ppb,
"Buckeye Lake, Village of Public Water System",Bromoform,6.69 ppb,0.5 ppb,
"Buckeye Lake, Village of Public Water System",Chloroform,15.3 ppb,0.4 ppb,
"Buckeye Lake, Village of Public Water System",Dibromoacetic acid,4.45 ppb,0.04 ppb,
"Buckeye Lake, Village of Public Water System",Dibromochloromethane,17.9 ppb,0.1 ppb,
"Buckeye Lake, Village of Public Water System",Dichloroacetic acid,6.54 ppb,0.2 ppb,
"Buckeye Lake, Village of Public Water System",Haloacetic acids (HAA5)†,15.1 ppb,0.1 ppb,60 ppb
"Buckeye Lake, Village of Public Water System",Total trihalomethanes (TTHMs)†,58.3 ppb,0.15 ppb,80 ppb
"Buckeye Lake, Village of Public Water System",Trichloroacetic acid,4.06 ppb,0.1 ppb,
"Buckeye Lake, Village of Public Water System",Barium*,226.5 ppb,700 ppb,"2,000 ppb"
"Buckeye Lake, Village of Public Water System",Fluoride*,0.885 ppm,,4 ppm
"Buckeye Lake, Village of Public Water System",Monobromoacetic acid,0.0545 ppb,25 ppb,
"Buckeye Lake, Village of Public Water System",Nitrate*,0.0520 ppm,0.14 ppm,10 ppm
"Buckeye Lake, Village of Public Water System",Nitrate and nitrite*,0.0520 ppm,0.14 ppm,10 ppm
"Buckeye Lake, Village of Public Water System",None,,,
City of Heath PWS,Arsenic,0.708 ppb,0.004 ppb,10 ppb
City of Heath PWS,Bromodichloromethane,1.51 ppb,0.06 ppb,
City of Heath PWS,Chloroform,1.60 ppb,0.4 ppb,
City of Heath PWS,Dibromoacetic acid,0.748 ppb,0.04 ppb,
City of Heath PWS,Dibromochloromethane,1.26 ppb,0.1 ppb,
City of Heath PWS,Dichloroacetic acid,0.840 ppb,0.2 ppb,
City of Heath PWS,Haloacetic acids (HAA5)†,0.370 ppb,0.1 ppb,60 ppb
City of Heath PWS,"Radium, combined (-226 &amp; -228)",1.00 pCi/L,0.05 pCi/L,5 pCi/L
City of Heath PWS,Total trihalomethanes (TTHMs)†,5.03 ppb,0.15 ppb,80 ppb
City of Heath PWS,Barium,45.5 ppb,700 ppb,"2,000 ppb"
City of Heath PWS,Bromoform,0.925 ppb,0.5 ppb,
City of Heath PWS,Carbon tetrachloride,0.167 ppb,0.1 ppb,5 ppb
City of Heath PWS,Fluoride,1.03 ppm,,4 ppm
City of Heath PWS,Trichloroacetic acid,0.0900 ppb,0.1 ppb,
City of Heath PWS,None,,,
Country Hills Mobile Home Park,Dibromochloromethane,0.602 ppb,0.1 ppb,
Country Hills Mobile Home Park,Bromodichloromethane,0.0833 ppb,0.06 ppb,
Country Hills Mobile Home Park,Bromoform,0.493 ppb,0.5 ppb,
Country Hills Mobile Home Park,Chloroform,0.0833 ppb,0.4 ppb,
Country Hills Mobile Home Park,Fluoride,0.0630 ppm,,4 ppm
Country Hills Mobile Home Park,Nitrate,0.159 ppm,0.14 ppm,10 ppm
Country Hills Mobile Home Park,Total trihalomethanes (TTHMs)†,0.0917 ppb,0.15 ppb,80 ppb
Country Hills Mobile Home Park,None,,,
"Granville, Village of",Bromodichloromethane,6.23 ppb,0.06 ppb,
"Granville, Village of",Bromoform,8.20 ppb,0.5 ppb,
"Granville, Village of",Chloroform,2.45 ppb,0.4 ppb,
"Granville, Village of",Dibromoacetic acid,2.27 ppb,0.04 ppb,
"Granville, Village of",Dibromochloromethane,10.7 ppb,0.1 ppb,
"Granville, Village of",Dichloroacetic acid,0.675 ppb,0.2 ppb,
"Granville, Village of",Haloacetic acids (HAA5)†,1.27 ppb,0.1 ppb,60 ppb
"Granville, Village of",Total trihalomethanes (TTHMs)†,27.5 ppb,0.15 ppb,80 ppb
"Granville, Village of",Barium,27.8 ppb,700 ppb,"2,000 ppb"
"Granville, Village of",Fluoride,0.830 ppm,,4 ppm
"Granville, Village of",Nitrate,0.0200 ppm,0.14 ppm,10 ppm
"Granville, Village of",Nitrate and nitrite,0.0167 ppm,0.14 ppm,10 ppm
"Granville, Village of",None,,,
Green Meadows Mobile Home Park,Bromodichloromethane,4.50 ppb,0.06 ppb,
Green Meadows Mobile Home Park,Chloroform,6.51 ppb,0.4 ppb,
Green Meadows Mobile Home Park,Dibromoacetic acid,0.667 ppb,0.04 ppb,
Green Meadows Mobile Home Park,Dibromochloromethane,3.01 ppb,0.1 ppb,
Green Meadows Mobile Home Park,Dichloroacetic acid,2.72 ppb,0.2 ppb,
Green Meadows Mobile Home Park,Haloacetic acids (HAA5)†,2.63 ppb,0.1 ppb,60 ppb
Green Meadows Mobile Home Park,Total trihalomethanes (TTHMs)†,14.2 ppb,0.15 ppb,80 ppb
Green Meadows Mobile Home Park,Trichloroacetic acid,2.40 ppb,0.1 ppb,
Green Meadows Mobile Home Park,Barium,38.9 ppb,700 ppb,"2,000 ppb"
Green Meadows Mobile Home Park,Bromoform,0.218 ppb,0.5 ppb,
Green Meadows Mobile Home Park,Fluoride,0.965 ppm,,4 ppm
Green Meadows Mobile Home Park,None,,,
Hebron Village Public Water System,Arsenic,1.04 ppb,0.004 ppb,10 ppb
Hebron Village Public Water System,Bromodichloromethane,7.51 ppb,0.06 ppb,
Hebron Village Public Water System,Bromoform,7.13 ppb,0.5 ppb,
Hebron Village Public Water System,Chloroform,4.18 ppb,0.4 ppb,
Hebron Village Public Water System,Dibromoacetic acid,2.03 ppb,0.04 ppb,
Hebron Village Public Water System,Dibromochloromethane,10.6 ppb,0.1 ppb,
Hebron Village Public Water System,Dichloroacetic acid,1.55 ppb,0.2 ppb,
Hebron Village Public Water System,Haloacetic acids (HAA5)†,1.88 ppb,0.1 ppb,60 ppb
Hebron Village Public Water System,Total trihalomethanes (TTHMs)†,29.4 ppb,0.15 ppb,80 ppb
Hebron Village Public Water System,Trichloroacetic acid,0.609 ppb,0.1 ppb,
Hebron Village Public Water System,Barium,33.7 ppb,700 ppb,"2,000 ppb"
Hebron Village Public Water System,Fluoride,0.945 ppm,,4 ppm
Hebron Village Public Water System,None,,,
Johnstown Village Public Water System,Bromodichloromethane,12.4 ppb,0.06 ppb,
Johnstown Village Public Water System,Bromoform,5.95 ppb,0.5 ppb,
Johnstown Village Public Water System,Chloroform,8.15 ppb,0.4 ppb,
Johnstown Village Public Water System,Dibromoacetic acid,2.45 ppb,0.04 ppb,
Johnstown Village Public Water System,Dibromochloromethane,13.8 ppb,0.1 ppb,
Johnstown Village Public Water System,Dichloroacetic acid,2.03 ppb,0.2 ppb,
Johnstown Village Public Water System,Haloacetic acids (HAA5)†,2.78 ppb,0.1 ppb,60 ppb
Johnstown Village Public Water System,Total trihalomethanes (TTHMs)†,40.3 ppb,0.15 ppb,80 ppb
Johnstown Village Public Water System,Trichloroacetic acid,0.350 ppb,0.1 ppb,
Johnstown Village Public Water System,Fluoride,0.525 ppm,,4 ppm
Johnstown Village Public Water System,Nitrate,0.0800 ppm,0.14 ppm,10 ppm
Johnstown Village Public Water System,Nitrate and nitrite,0.0800 ppm,0.14 ppm,10 ppm
Johnstown Village Public Water System,None,,,
Licking County Harbor Hills Public Water System,Arsenic*,1.04 ppb,0.004 ppb,10 ppb
Licking County Harbor Hills Public Water System,Bromodichloromethane,12.6 ppb,0.06 ppb,
Licking County Harbor Hills Public Water System,Bromoform,9.22 ppb,0.5 ppb,
Licking County Harbor Hills Public Water System,Chloroform,6.54 ppb,0.4 ppb,
Licking County Harbor Hills Public Water System,Dibromoacetic acid,4.39 ppb,0.04 ppb,
Licking County Harbor Hills Public Water System,Dibromochloromethane,16.1 ppb,0.1 ppb,
Licking County Harbor Hills Public Water System,Dichloroacetic acid,2.69 ppb,0.2 ppb,
Licking County Harbor Hills Public Water System,Haloacetic acids (HAA5)†,8.51 ppb,0.1 ppb,60 ppb
Licking County Harbor Hills Public Water System,Total trihalomethanes (TTHMs)†,44.4 ppb,0.15 ppb,80 ppb
Licking County Harbor Hills Public Water System,Trichloroacetic acid,1.53 ppb,0.1 ppb,
Licking County Harbor Hills Public Water System,Barium*,33.7 ppb,700 ppb,"2,000 ppb"
Licking County Harbor Hills Public Water System,Fluoride*,0.945 ppm,,4 ppm
Licking County Harbor Hills Public Water System,None,,,
Licking County Harbor Hills Public Water System,Arsenic*,1.04 ppb,0.004 ppb,10 ppb
Licking County Harbor Hills Public Water System,Bromodichloromethane,12.6 ppb,0.06 ppb,
Licking County Harbor Hills Public Water System,Bromoform,9.22 ppb,0.5 ppb,
Licking County Harbor Hills Public Water System,Chloroform,6.54 ppb,0.4 ppb,
Licking County Harbor Hills Public Water System,Dibromoacetic acid,4.39 ppb,0.04 ppb,
Licking County Harbor Hills Public Water System,Dibromochloromethane,16.1 ppb,0.1 ppb,
Licking County Harbor Hills Public Water System,Dichloroacetic acid,2.69 ppb,0.2 ppb,
Licking County Harbor Hills Public Water System,Haloacetic acids (HAA5)†,8.51 ppb,0.1 ppb,60 ppb
Licking County Harbor Hills Public Water System,Total trihalomethanes (TTHMs)†,44.4 ppb,0.15 ppb,80 ppb
Licking County Harbor Hills Public Water System,Trichloroacetic acid,1.53 ppb,0.1 ppb,
Licking County Harbor Hills Public Water System,Barium*,33.7 ppb,700 ppb,"2,000 ppb"
Licking County Harbor Hills Public Water System,Fluoride*,0.945 ppm,,4 ppm
