State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Bromodichloromethane,18.1,0.06,0,ppb,301.6666666666667
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Bromoform,6.69,0.5,0,ppb,13.38
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Chloroform,15.3,0.4,0,ppb,38.25
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Dibromoacetic acid,4.45,0.04,0,ppb,111.25
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Dibromochloromethane,17.9,0.1,0,ppb,178.99999999999997
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Dichloroacetic acid,6.54,0.2,0,ppb,32.699999999999996
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Haloacetic acids (HAA5)†,15.1,0.1,60,ppb,151.0
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Total trihalomethanes (TTHMs)†,58.3,0.15,80,ppb,388.6666666666667
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Trichloroacetic acid,4.06,0.1,0,ppb,40.599999999999994
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Barium*,226.5,700.0,2000,ppb,0.32357142857142857
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Monobromoacetic acid,0.0545,25.0,0,ppb,0.00218
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Nitrate*,0.052,0.14,10,ppm,0.3714285714285714
OH,Buckeye Lake,43001.0,Buckeye Lake Village of Public Water System,2746,Nitrate and nitrite*,0.052,0.14,10,ppm,0.3714285714285714
OH,Heath,43001.0,City of Heath PWS,10000,Arsenic,0.708,0.004,10,ppb,177.0
OH,Heath,43001.0,City of Heath PWS,10000,Bromodichloromethane,1.51,0.06,0,ppb,25.166666666666668
OH,Heath,43001.0,City of Heath PWS,10000,Chloroform,1.6,0.4,0,ppb,4.0
OH,Heath,43001.0,City of Heath PWS,10000,Dibromoacetic acid,0.748,0.04,0,ppb,18.7
OH,Heath,43001.0,City of Heath PWS,10000,Dibromochloromethane,1.26,0.1,0,ppb,12.6
OH,Heath,43001.0,City of Heath PWS,10000,Dichloroacetic acid,0.84,0.2,0,ppb,4.199999999999999
OH,Heath,43001.0,City of Heath PWS,10000,Haloacetic acids (HAA5)†,0.37,0.1,60,ppb,3.6999999999999997
OH,Heath,43001.0,City of Heath PWS,10000,Radium combined (-226 &amp; -228),1.0,0.05,5,pCi/L,20.0
OH,Heath,43001.0,City of Heath PWS,10000,Total trihalomethanes (TTHMs)†,5.03,0.15,80,ppb,33.53333333333334
OH,Heath,43001.0,City of Heath PWS,10000,Barium,45.5,700.0,2000,ppb,0.065
OH,Heath,43001.0,City of Heath PWS,10000,Bromoform,0.925,0.5,0,ppb,1.85
OH,Heath,43001.0,City of Heath PWS,10000,Carbon tetrachloride,0.167,0.1,5,ppb,1.67
OH,Heath,43001.0,City of Heath PWS,10000,Trichloroacetic acid,0.09,0.1,0,ppb,0.8999999999999999
OH,Newark,43001.0,Country Hills Mobile Home Park,48,Dibromochloromethane,0.602,0.1,0,ppb,6.02
OH,Newark,43001.0,Country Hills Mobile Home Park,48,Bromodichloromethane,0.0833,0.06,0,ppb,1.3883333333333334
OH,Newark,43001.0,Country Hills Mobile Home Park,48,Bromoform,0.493,0.5,0,ppb,0.986
OH,Newark,43001.0,Country Hills Mobile Home Park,48,Chloroform,0.0833,0.4,0,ppb,0.20825
OH,Newark,43001.0,Country Hills Mobile Home Park,48,Nitrate,0.159,0.14,10,ppm,1.1357142857142857
OH,Newark,43001.0,Country Hills Mobile Home Park,48,Total trihalomethanes (TTHMs)†,0.0917,0.15,80,ppb,0.6113333333333334
OH,Granville,43001.0,Granville Village of,5646,Bromodichloromethane,6.23,0.06,0,ppb,103.83333333333334
OH,Granville,43001.0,Granville Village of,5646,Bromoform,8.2,0.5,0,ppb,16.4
OH,Granville,43001.0,Granville Village of,5646,Chloroform,2.45,0.4,0,ppb,6.125
OH,Granville,43001.0,Granville Village of,5646,Dibromoacetic acid,2.27,0.04,0,ppb,56.75
OH,Granville,43001.0,Granville Village of,5646,Dibromochloromethane,10.7,0.1,0,ppb,106.99999999999999
OH,Granville,43001.0,Granville Village of,5646,Dichloroacetic acid,0.675,0.2,0,ppb,3.375
OH,Granville,43001.0,Granville Village of,5646,Haloacetic acids (HAA5)†,1.27,0.1,60,ppb,12.7
OH,Granville,43001.0,Granville Village of,5646,Total trihalomethanes (TTHMs)†,27.5,0.15,80,ppb,183.33333333333334
OH,Granville,43001.0,Granville Village of,5646,Barium,27.8,700.0,2000,ppb,0.039714285714285716
OH,Granville,43001.0,Granville Village of,5646,Nitrate,0.02,0.14,10,ppm,0.14285714285714285
OH,Granville,43001.0,Granville Village of,5646,Nitrate and nitrite,0.0167,0.14,10,ppm,0.11928571428571427
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Bromodichloromethane,4.5,0.06,0,ppb,75.0
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Chloroform,6.51,0.4,0,ppb,16.275
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Dibromoacetic acid,0.667,0.04,0,ppb,16.675
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Dibromochloromethane,3.01,0.1,0,ppb,30.099999999999998
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Dichloroacetic acid,2.72,0.2,0,ppb,13.6
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Haloacetic acids (HAA5)†,2.63,0.1,60,ppb,26.299999999999997
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Total trihalomethanes (TTHMs)†,14.2,0.15,80,ppb,94.66666666666667
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Trichloroacetic acid,2.4,0.1,0,ppb,23.999999999999996
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Barium,38.9,700.0,2000,ppb,0.05557142857142857
OH,Johnstown,43001.0,Green Meadows Mobile Home Park,50,Bromoform,0.218,0.5,0,ppb,0.436
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Arsenic,1.04,0.004,10,ppb,260.0
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Bromodichloromethane,7.51,0.06,0,ppb,125.16666666666667
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Bromoform,7.13,0.5,0,ppb,14.26
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Chloroform,4.18,0.4,0,ppb,10.45
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Dibromoacetic acid,2.03,0.04,0,ppb,50.74999999999999
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Dibromochloromethane,10.6,0.1,0,ppb,105.99999999999999
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Dichloroacetic acid,1.55,0.2,0,ppb,7.75
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Haloacetic acids (HAA5)†,1.88,0.1,60,ppb,18.799999999999997
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Total trihalomethanes (TTHMs)†,29.4,0.15,80,ppb,196.0
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Trichloroacetic acid,0.609,0.1,0,ppb,6.09
OH,Hebron,43001.0,Hebron Village Public Water System,2360,Barium,33.7,700.0,2000,ppb,0.04814285714285715
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Bromodichloromethane,12.4,0.06,0,ppb,206.66666666666669
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Bromoform,5.95,0.5,0,ppb,11.9
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Chloroform,8.15,0.4,0,ppb,20.375
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Dibromoacetic acid,2.45,0.04,0,ppb,61.25
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Dibromochloromethane,13.8,0.1,0,ppb,138.0
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Dichloroacetic acid,2.03,0.2,0,ppb,10.149999999999999
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Haloacetic acids (HAA5)†,2.78,0.1,60,ppb,27.799999999999997
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Total trihalomethanes (TTHMs)†,40.3,0.15,80,ppb,268.6666666666667
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Trichloroacetic acid,0.35,0.1,0,ppb,3.4999999999999996
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Nitrate,0.08,0.14,10,ppm,0.5714285714285714
OH,Johnstown,43001.0,Johnstown Village Public Water System,4806,Nitrate and nitrite,0.08,0.14,10,ppm,0.5714285714285714
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Arsenic*,1.04,0.004,10,ppb,260.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Bromodichloromethane,12.6,0.06,0,ppb,210.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Bromoform,9.22,0.5,0,ppb,18.44
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Chloroform,6.54,0.4,0,ppb,16.349999999999998
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Dibromoacetic acid,4.39,0.04,0,ppb,109.74999999999999
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Dibromochloromethane,16.1,0.1,0,ppb,161.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Dichloroacetic acid,2.69,0.2,0,ppb,13.45
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Haloacetic acids (HAA5)†,8.51,0.1,60,ppb,85.1
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Total trihalomethanes (TTHMs)†,44.4,0.15,80,ppb,296.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Trichloroacetic acid,1.53,0.1,0,ppb,15.299999999999999
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Barium*,33.7,700.0,2000,ppb,0.04814285714285715
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Arsenic*,1.04,0.004,10,ppb,260.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Bromodichloromethane,12.6,0.06,0,ppb,210.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Bromoform,9.22,0.5,0,ppb,18.44
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Chloroform,6.54,0.4,0,ppb,16.349999999999998
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Dibromoacetic acid,4.39,0.04,0,ppb,109.74999999999999
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Dibromochloromethane,16.1,0.1,0,ppb,161.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Dichloroacetic acid,2.69,0.2,0,ppb,13.45
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Haloacetic acids (HAA5)†,8.51,0.1,60,ppb,85.1
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Total trihalomethanes (TTHMs)†,44.4,0.15,80,ppb,296.0
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Trichloroacetic acid,1.53,0.1,0,ppb,15.299999999999999
OH,Newark,43001.0,Licking County Harbor Hills Public Water System,938,Barium*,33.7,700.0,2000,ppb,0.04814285714285715
OH,Newark,43001.0,Newark City PWS,47573,Atrazine,0.547,0.1,3,ppb,5.47
OH,Newark,43001.0,Newark City PWS,47573,Bromochloroacetic acid,3.49,0.02,0,ppb,174.5
OH,Newark,43001.0,Newark City PWS,47573,Bromodichloromethane,10.1,0.06,0,ppb,168.33333333333334
OH,Newark,43001.0,Newark City PWS,47573,Chloroform,27.2,0.4,0,ppb,68.0
OH,Newark,43001.0,Newark City PWS,47573,Chromium (hexavalent),0.199,0.02,0,ppb,9.950000000000001
OH,Newark,43001.0,Newark City PWS,47573,Dibromoacetic acid,1.12,0.04,0,ppb,28.000000000000004
OH,Newark,43001.0,Newark City PWS,47573,Dibromochloromethane,5.07,0.1,0,ppb,50.7
OH,Newark,43001.0,Newark City PWS,47573,Dichloroacetic acid,10.9,0.2,0,ppb,54.5
OH,Newark,43001.0,Newark City PWS,47573,Haloacetic acids (HAA5)†,16.4,0.1,60,ppb,163.99999999999997
