Utility name,City,People served,Zip
Alexandria Village Public Water System,Alexandria,Population served: 479,43001
"Buckeye Lake, Village of Public Water System",Buckeye Lake,"Population served: 2,746",43001
City of Heath PWS,Heath,"Population served: 10,000",43001
Country Hills Mobile Home Park,Newark,Population served: 48,43001
"Granville, Village of",Granville,"Population served: 5,646",43001
Green Meadows Mobile Home Park,Johnstown,Population served: 50,43001
Hebron Village Public Water System,Hebron,"Population served: 2,360",43001
Johnstown Village Public Water System,Johnstown,"Population served: 4,806",43001
Licking County Harbor Hills Public Water System,Newark,Population served: 938,43001
Licking County Prescott Estates,Newark,Population served: 425,43001
Newark City PWS,Newark,"Population served: 47,573",43001
Pataskala City,Pataskala,"Population served: 9,100",43001
,,Population served: 0,43001
Southwest Licking Community Water,Etna,"Population served: 12,088",43001
St. Louisville Village Public Water System,St. Louisville,Population served: 374,43001
Suburban Mobile Home Park,Heath,Population served: 48,43001
Utica Village Public Water System,Utica,"Population served: 2,235",43001
Valley Mobile Home Park,Newark,Population served: 88,43001
Wilkins Mobile Home Park,Newark,Population served: 115,43001
Winding Creek Estates,Newark,Population served: 57,43001
Ashley Village Public Water System,Ashley,"Population served: 1,286",43003
Candlewood Lake Association Inc.,Mount Gilead,"Population served: 1,100",43003
Cardington Village Public Water System,Cardington,"Population served: 2,046",43003
Del-Co Water Company Inc.,Delaware,"Population served: 141,407",43003
Delaware City PWS,Delaware,"Population served: 34,982",43003
Lakeview Estates Mobile Home Community,Mt. Gilead,Population served: 145,43003
Mount Gilead Village Public Water System,Mount Gilead,"Population served: 3,660",43003
Jefferson Water and Sewer District Public Water System,"Blacklick, OH","Population served:9,054",43004
Reynoldsburg City PWS,"Reynoldsburg, OH","Population served:35,893",43004
,,Population served: 0,43005
Colonial Terrace Mobile Home Park,Mount Vernon,Population served: 84,43005
Danville Village Public Water System,Danville,"Population served: 1,044",43005
Fredericktown Village,Fredericktown,"Population served: 2,493",43005
Gambier Village Public Water System,Gambier,"Population served: 2,391",43005
Knox County Water and Wastewater Public Water System,Mount Vernon,"Population served: 7,500",43005
Martinsburg Village Public Water System,Martinsburg,Population served: 185,43005
Mount Vernon City PWS,Mount Vernon,"Population served: 17,837",43005
Westgate Mobile Home Community,Clinton Twp,Population served: 150,43005
Berlin Water Company,Berlin,"Population served: 1,824",43006
Big Prairie Water Company,Big Prairie,Population served: 200,43006
Bloomfield Water Company,Millersburg,Population served: 950,43006
Bomac Mobile Home Park,New Philadelphia,Population served: 45,43006
Castle Nursing Homes Inc. Public Water System,Millersburg,Population served: 428,43006
,,Population served: 0,43006
Colonial Terrace Mobile Home Park,Mount Vernon,Population served: 84,43006
Coshocton PWS,Coshocton,"Population served: 11,204",43006
Danville Village Public Water System,Danville,"Population served: 1,044",43006
Echoing Hills Village,Warsaw,Population served: 25,43006
Fredericktown Village,Fredericktown,"Population served: 2,493",43006
Gambier Village Public Water System,Gambier,"Population served: 2,391",43006
Glenmont Village Public Water System,Glenmont,Population served: 280,43006
Holmes County Jail,Millersburg,Population served: 195,43006
House of Jacob,Coshocton,Population served: 28,43006
Killbuck Village Public Water System,Killbuck,Population served: 900,43006
Knox County Water and Wastewater Public Water System,Mount Vernon,"Population served: 7,500",43006
Martinsburg Village Public Water System,Martinsburg,Population served: 185,43006
Millers Acres Home Owner Association,West Lafayette,Population served: 100,43006
Millersburg Village Public Water System,Millersburg,"Population served: 3,025",43006
Mount Vernon City PWS,Mount Vernon,"Population served: 17,837",43006
Nashville Village Public Water System,Nashville,Population served: 197,43006
Walnut Creek Water Company,Walnut Creek,"Population served: 1,750",43006
Warsaw Public Water System,Warsaw,Population served: 890,43006
West Lafayette Public Water System,West Lafayette,"Population served: 2,568",43006
Westgate Mobile Home Community,Clinton Twp,Population served: 150,43006
Winesburg Area Development Corporation,Winesburg,"Population served: 1,250",43006
Hillcrest Mobile Home Park Public Water System,Marysville,Population served: 338,43007
Marysville City PWS,Marysville,"Population served: 22,800",43007
Milford Center Village Public Water System,Milford Center,"Population served: 1,669",43007
Richwood Village Public Water System,Richwood,"Population served: 2,156",43007
Alexandria Village Public Water System,Alexandria,Population served: 479,43008
"Buckeye Lake, Village of Public Water System",Buckeye Lake,"Population served: 2,746",43008
City of Heath PWS,Heath,"Population served: 10,000",43008
Country Hills Mobile Home Park,Newark,Population served: 48,43008
"Granville, Village of",Granville,"Population served: 5,646",43008
Green Meadows Mobile Home Park,Johnstown,Population served: 50,43008
Hebron Village Public Water System,Hebron,"Population served: 2,360",43008
Johnstown Village Public Water System,Johnstown,"Population served: 4,806",43008
Licking County Harbor Hills Public Water System,Newark,Population served: 938,43008
Licking County Prescott Estates,Newark,Population served: 425,43008
Newark City PWS,Newark,"Population served: 47,573",43008
Pataskala City,Pataskala,"Population served: 9,100",43008
,,Population served: 0,43008
Southwest Licking Community Water,Etna,"Population served: 12,088",43008
St. Louisville Village Public Water System,St. Louisville,Population served: 374,43008
Suburban Mobile Home Park,Heath,Population served: 48,43008
Utica Village Public Water System,Utica,"Population served: 2,235",43008
Valley Mobile Home Park,Newark,Population served: 88,43008
