State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
OK,73001,Apache,1521,90,40015
OK,73001,Binger Public Works Authority,708,1808,40015
OK,73001,Bridgeport,109,410,40015
OK,73001,Caddo County Rural Water District #1 (lookeba),275,5583,40015
OK,73001,Carnegie,1637,1306,40015
OK,73001,Cement,530,1456,40015
OK,73001,Chickasha Lake Park,50,734,40015
OK,73001,Cyril Town of,1168,1306,40015
OK,73001,Eakly Development Corporation,277,3762,40015
OK,73001,Fort Cobb,667,839,40015
OK,73001,Gracemont Public Works Authority,336,2193,40015
OK,73001,Hydro Public Works Authority,1060,1136,40015
OK,73004,Grant County Rural Water District #1,100,39,40051
OK,73004,Chickasha Municipal Authority,16036,2720,40051
OK,73005,Verden,659,176,40015
OK,73007,Oklahoma City,644000,1836,40109
OK,73010,Dibble,550,1403,40051
OK,73013,Deer Creek Rural Water Corporation,5500,484,40109
OK,73014,Calumet,600,197,40017
OK,73014,Okarche,1110,1319,40017
OK,73014,Geary,1258,906,40017
OK,73015,Washita County Rural Water District #2,1032,109,40015
OK,73016,Cashion,900,720,40073
OK,73016,Piedmont Municpal Authority,7542,2319,40073
OK,73020,Choctaw,3926,225,40109
OK,73020,Midwest City,55935,1843,40109
OK,73021,Corn Public Works Authority,591,2586,40149
OK,73022,Canadian County Rural Water District # 1,750,454,40017
OK,73022,El Reno,16212,2828,40017
OK,73022,Lake Forest Mobile Home Park,500,1936,40017
OK,73024,Custer County Rural Water District #3,960,1002,40149
OK,73027,Payne County Rw Corporation #3,3000,1131,40083
OK,73027,Payne County Rural Water District #3,1400,239,40083
OK,73027,Langston Public Works Authority,1670,1081,40083
OK,73030,Ardmore,24283,1612,40099
OK,73030,West Davis Rural Water District,500,2047,40099
OK,73031,Blanchard,2966,1294,40087
OK,73031,Byars,275,652,40087
OK,73031,Goldsby Water Authority Trust,2000,1121,40087
OK,73031,Mcclain County Rural Water District # 8,1897,306,40087
OK,73031,Whippoorwill Estates,83,1302,40087
OK,73041,Beckham County Rural Water District # 1,1595,1049,40075
OK,73041,Gotebo,272,1625,40075
OK,73043,Canton,650,301,40011
OK,73043,Greenfield Public Works Authority,123,788,40011
OK,73043,Hitchcock Development Inc.,141,326,40011
OK,73043,Longdale,363,320,40011
OK,73043,North Blaine Water Corporation,960,446,40011
OK,73043,Okeene,1240,1485,40011
OK,73043,Watonga,4658,125,40011
OK,73044,Coyle,289,511,40083
OK,73044,Guthrie,9925,737,40083
OK,73045,Mcloud,2939,376,40109
OK,73052,Lindsay Public Works Authority,2850,262,40049
OK,73057,Elmore City Rw Corporation,1107,997,40049
OK,73057,Garfield County Rural Water District # 4,334,6730,40049
OK,73058,Blue Quail Logan County,75,19,40083
OK,73058,Mulhall,265,570,40083
OK,73058,Orlando,201,562,40083
OK,73058,Whispering Oaks,350,37,40083
OK,73061,Morrison Public Works Authority,950,785,40103
OK,73061,Lone Chimney Water Association,150,1658,40103
OK,73064,Tuttle,4500,211,40017
OK,73066,Tinker AFB Bio-env Eng,24645,411,40109
OK,73066,Del City,22128,1113,40109
OK,73066,Harrah,4190,60,40109
OK,73066,Nichols Hills,4020,1254,40109
OK,73069,Oklahoma University,34000,1683,40027
OK,73070,Bluejay Mobile Village,138,355,40027
OK,73070,Stonetown Clearview Mhc,170,2387,40027
OK,73070,Lexington & Joseph Harp Correctional Institution,3000,699,40027
OK,73070,Magnolia Park,50,21,40027
OK,73070,Pecan Tree Water Association,22,1452,40027
OK,73070,Prairie Creek Village Mobile Home Park,145,4,40027
OK,73070,Wildfire Estates Homeowners,285,45,40027
OK,73074,Paoli,610,1143,40049
OK,73075,Pauls Valley,6256,1328,40049
OK,73077,Spiro,2200,1487,40103
OK,73082,Rush Springs,1278,1234,40051
OK,73086,Southern Okla Water Corp,11250,2573,40099
OK,73401,Mannsville Public Works Authority,587,110,40019
OK,73425,Comanche Public Works Authority,1649,2834,40137
OK,73425,Stephens County Rural Water District #3 (meridian),1610,2497,40137
OK,73435,Western Carter County Water Corporation,2000,1393,40019
OK,73435,Wilson Municipal Authority,1600,83,40019
OK,73446,Oakland Public Works Authority,1050,1686,40095
OK,73448,Thackerville,2000,252,40085
OK,73448,Marietta Public Works Authority,2626,291,40085
OK,73449,Bryan County Rw&sd #5,8325,2104,40013
OK,73450,Milburn Public Works Authority,317,322,40069
OK,73456,Ringling,1200,142,40067
OK,73456,Cornish,41,178,40067
OK,73459,City of Gainesville,16200,1256,40085
OK,73460,Tishomingo Water Treatment Plant,3000,971,40069
OK,73460,Murray State College,1150,1219,40069
OK,73488,Garvin County Rural Water District # 6 (wells),1680,1796,40019
OK,73501,Lawton,92757,19,40031
OK,73503,Cache,2371,1972,40031
OK,73521,Harmon Electric,188,381,40065
OK,73521,Olustee Public Water Supply,607,3383,40065
OK,73521,Blair Public Works Authority,894,147,40065
OK,73521,Martha,205,2804,40065
OK,73527,Tillman County Rural Water District #1,1500,1278,40031
OK,73528,Chattanooga Public Water System,627,545,40033
OK,73530,Rra Hinds Wildcat Water System,178,797,40141
OK,73531,Grandfield,1110,1723,40033
OK,73531,City of Burkburnett,11150,688,40033
OK,73532,Harper County Water Corporation,198,556,40065
OK,73537,Duke Central Vue Water,318,295,40065
OK,73538,Elgin Public Water Supply,1440,320,40031
OK,73540,Faxon,134,789,40031
OK,73541,Sterling Public Works Authority,762,424,40031
OK,73542,Davidson,375,1757,40141
OK,73543,Geronimo,1200,737,40031
OK,73544,Harmon Water Corporation,1132,114,40057
OK,73544,Gould Public Works Authority,206,114,40057
OK,73547,Mangum Public Water Supply,2924,489,40055
OK,73547,Granite Public Water Supply,1425,421,40055
OK,73547,Thirsty Water Corporation,81,178,40055
OK,73552,Indiahoma Public Works Authority,350,4157,40031
OK,73562,Cotton County Rural Water District # 1,600,4154,40033
OK,73565,Ryan Utilities Authority,800,5786,40067
OK,73569,Terral,386,722,40067
OK,73601,Frontier Development Authority,437,1616,40039
OK,73601,Arapaho,748,1470,40039
OK,73622,Bessie,190,1173,40149
OK,73624,Dill City,526,1293,40149
OK,73626,Canute,524,1334,40149
OK,73628,Cheyenne,778,2418,40129
OK,73632,New Cordell Utility Authority,2903,2086,40149
OK,73639,Custer City Public Water Supply,393,944,40039
OK,73642,Roger Mills Rural Water District # 2 (red Star),800,3067,40129
OK,73644,Elk City,10510,844,40009
OK,73646,Butler,345,1378,40011
