Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Apache,Nitrate,1.57 ppm,0.14 ppm,10 ppm
Apache,Nitrate and nitrite,2.43 ppm,0.14 ppm,10 ppm
Apache,"Radium, combined (-226 &amp; -228)",1.20 pCi/L,0.05 pCi/L,5 pCi/L
Apache,Uranium,15.61 pCi/L,0.43 pCi/L,20 pCi/L
Apache,Barium,62.3 ppb,700 ppb,"2,000 ppb"
Apache,Chloroform,0.105 ppb,0.4 ppb,
Apache,Fluoride,0.288 ppm,,4 ppm
Apache,Nitrite,0.0220 ppm,,1 ppm
Apache,Selenium,9.85 ppb,30 ppb,50 ppb
Apache,None,,,
Binger Public Works Authority,Arsenic,6.80 ppb,0.004 ppb,10 ppb
Binger Public Works Authority,Bromodichloromethane,0.529 ppb,0.06 ppb,
Binger Public Works Authority,Bromoform,1.69 ppb,0.5 ppb,
Binger Public Works Authority,Dibromoacetic acid,0.200 ppb,0.04 ppb,
Binger Public Works Authority,Dibromochloromethane,2.89 ppb,0.1 ppb,
Binger Public Works Authority,Nitrate and nitrite,2.85 ppm,0.14 ppm,10 ppm
Binger Public Works Authority,Total trihalomethanes (TTHMs)†,6.06 ppb,0.15 ppb,80 ppb
Binger Public Works Authority,Antimony,0.780 ppb,1 ppb,6 ppb
Binger Public Works Authority,Barium,140.5 ppb,700 ppb,"2,000 ppb"
Binger Public Works Authority,Chloroform,0.144 ppb,0.4 ppb,
Binger Public Works Authority,Chromium (total),0.680 ppb,,100 ppb
Binger Public Works Authority,None,,,
Bridgeport,Bromodichloromethane,4.99 ppb,0.06 ppb,
Bridgeport,Bromoform,1.96 ppb,0.5 ppb,
Bridgeport,Chloroform,13.6 ppb,0.4 ppb,
Bridgeport,Dibromoacetic acid,0.714 ppb,0.04 ppb,
Bridgeport,Dibromochloromethane,4.47 ppb,0.1 ppb,
Bridgeport,Dichloroacetic acid,1.51 ppb,0.2 ppb,
Bridgeport,Haloacetic acids (HAA5)†,3.41 ppb,0.1 ppb,60 ppb
Bridgeport,"Radium, combined (-226 &amp; -228)",0.21 pCi/L,0.05 pCi/L,5 pCi/L
Bridgeport,Total trihalomethanes (TTHMs)†,25.0 ppb,0.15 ppb,80 ppb
Bridgeport,Trichloroacetic acid,1.19 ppb,0.1 ppb,
Bridgeport,Barium,69.4 ppb,700 ppb,"2,000 ppb"
Bridgeport,Ethylbenzene,0.0934 ppb,300 ppb,700 ppb
Bridgeport,Fluoride,0.545 ppm,,4 ppm
Bridgeport,Nitrate,0.112 ppm,0.14 ppm,10 ppm
Bridgeport,Nitrate and nitrite,0.112 ppm,0.14 ppm,10 ppm
Bridgeport,Xylenes (total),0.660 ppb,"1,800 ppb","10,000 ppb"
Bridgeport,None,,,
Caddo County Rural Water District #1 (lookeba),Arsenic,11.1 ppb,0.004 ppb,10 ppb
Caddo County Rural Water District #1 (lookeba),Nitrate and nitrite,1.75 ppm,0.14 ppm,10 ppm
Caddo County Rural Water District #1 (lookeba),Uranium,1.02 pCi/L,0.43 pCi/L,20 pCi/L
Caddo County Rural Water District #1 (lookeba),Chloroform,0.700 ppb,0.4 ppb,
Caddo County Rural Water District #1 (lookeba),None,,,
Caddo County Rural Water District #1 (lookeba),Arsenic,11.1 ppb,0.004 ppb,10 ppb
Caddo County Rural Water District #1 (lookeba),Nitrate and nitrite,1.75 ppm,0.14 ppm,10 ppm
Caddo County Rural Water District #1 (lookeba),Uranium,1.02 pCi/L,0.43 pCi/L,20 pCi/L
Caddo County Rural Water District #1 (lookeba),Chloroform,0.700 ppb,0.4 ppb,
Caddo County Rural Water District #1 (lookeba),None,,,
Carnegie,Arsenic,4.60 ppb,0.004 ppb,10 ppb
Carnegie,Bromodichloromethane,0.125 ppb,0.06 ppb,
Carnegie,Bromoform,2.69 ppb,0.5 ppb,
Carnegie,Dibromoacetic acid,1.37 ppb,0.04 ppb,
Carnegie,Dibromochloromethane,1.86 ppb,0.1 ppb,
Carnegie,Haloacetic acids (HAA5)†,0.814 ppb,0.1 ppb,60 ppb
Carnegie,Nitrate and nitrite,7.27 ppm,0.14 ppm,10 ppm
Carnegie,Total trihalomethanes (TTHMs)†,4.89 ppb,0.15 ppb,80 ppb
Carnegie,Uranium,1.09 pCi/L,0.43 pCi/L,20 pCi/L
Carnegie,Barium,98.1 ppb,700 ppb,"2,000 ppb"
Carnegie,None,,,
Cement,Arsenic*,4.70 ppb,0.004 ppb,10 ppb
Cement,Bromochloroacetic acid,1.25 ppb,0.02 ppb,
Cement,Bromodichloromethane,2.24 ppb,0.06 ppb,
Cement,Bromoform,4.27 ppb,0.5 ppb,
Cement,Dibromoacetic acid,0.600 ppb,0.04 ppb,
Cement,Dibromochloromethane,3.97 ppb,0.1 ppb,
Cement,Haloacetic acids (HAA5)†,2.04 ppb,0.1 ppb,60 ppb
Cement,Nitrate and nitrite*,2.68 ppm,0.14 ppm,10 ppm
Cement,Total trihalomethanes (TTHMs)†,11.2 ppb,0.15 ppb,80 ppb
Cement,Barium*,116.2 ppb,700 ppb,"2,000 ppb"
Cement,Chloroform,0.759 ppb,0.4 ppb,
Cement,Dichloroacetic acid,0.314 ppb,0.2 ppb,
Cement,Fluoride*,0.0525 ppm,,4 ppm
Cement,None,,,
Chickasha Lake Park,Arsenic,0.905 ppb,0.004 ppb,10 ppb
Chickasha Lake Park,Bromochloroacetic acid,1.80 ppb,0.02 ppb,
Chickasha Lake Park,Bromodichloromethane,2.48 ppb,0.06 ppb,
Chickasha Lake Park,Bromoform,6.86 ppb,0.5 ppb,
Chickasha Lake Park,Dibromoacetic acid,2.97 ppb,0.04 ppb,
Chickasha Lake Park,Dibromochloromethane,6.35 ppb,0.1 ppb,
Chickasha Lake Park,Dichloroacetic acid,0.957 ppb,0.2 ppb,
Chickasha Lake Park,Haloacetic acids (HAA5)†,2.13 ppb,0.1 ppb,60 ppb
Chickasha Lake Park,Nitrate,0.990 ppm,0.14 ppm,10 ppm
Chickasha Lake Park,Nitrate and nitrite,1.00 ppm,0.14 ppm,10 ppm
Chickasha Lake Park,"Radium, combined (-226 &amp; -228)",1.34 pCi/L,0.05 pCi/L,5 pCi/L
Chickasha Lake Park,Total trihalomethanes (TTHMs)†,21.7 ppb,0.15 ppb,80 ppb
Chickasha Lake Park,Uranium,5.23 pCi/L,0.43 pCi/L,20 pCi/L
Chickasha Lake Park,Barium,38.1 ppb,700 ppb,"2,000 ppb"
Chickasha Lake Park,Chloroform,0.548 ppb,0.4 ppb,
Chickasha Lake Park,Chromium (total),1.75 ppb,,100 ppb
Chickasha Lake Park,Fluoride,0.544 ppm,,4 ppm
Chickasha Lake Park,Selenium,1.68 ppb,30 ppb,50 ppb
Chickasha Lake Park,None,,,
"Cyril, Town of",Arsenic*,4.94 ppb,0.004 ppb,10 ppb
"Cyril, Town of",Bromochloroacetic acid*,0.200 ppb,0.02 ppb,
"Cyril, Town of",Bromodichloromethane,0.538 ppb,0.06 ppb,
"Cyril, Town of",Dibromoacetic acid,0.138 ppb,0.04 ppb,
"Cyril, Town of",Dibromochloromethane,0.729 ppb,0.1 ppb,
