State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
OK,Apache,73001.0,Apache,1521,Nitrate,1.57,0.14,10,ppm,11.214285714285714
OK,Apache,73001.0,Apache,1521,Nitrate and nitrite,2.43,0.14,10,ppm,17.357142857142858
OK,Apache,73001.0,Apache,1521,Radium combined (-226 &amp; -228),1.2,0.05,5,pCi/L,23.999999999999996
OK,Apache,73001.0,Apache,1521,Uranium,15.61,0.43,20,pCi/L,36.30232558139535
OK,Apache,73001.0,Apache,1521,Barium,62.3,700.0,2000,ppb,0.089
OK,Apache,73001.0,Apache,1521,Chloroform,0.105,0.4,0,ppb,0.26249999999999996
OK,Apache,73001.0,Apache,1521,Selenium,9.85,30.0,50,ppb,0.3283333333333333
OK,Binger,73001.0,Binger Public Works Authority,708,Arsenic,6.8,0.004,10,ppb,1700.0
OK,Binger,73001.0,Binger Public Works Authority,708,Bromodichloromethane,0.529,0.06,0,ppb,8.816666666666668
OK,Binger,73001.0,Binger Public Works Authority,708,Bromoform,1.69,0.5,0,ppb,3.38
OK,Binger,73001.0,Binger Public Works Authority,708,Dibromoacetic acid,0.2,0.04,0,ppb,5.0
OK,Binger,73001.0,Binger Public Works Authority,708,Dibromochloromethane,2.89,0.1,0,ppb,28.9
OK,Binger,73001.0,Binger Public Works Authority,708,Nitrate and nitrite,2.85,0.14,10,ppm,20.357142857142854
OK,Binger,73001.0,Binger Public Works Authority,708,Total trihalomethanes (TTHMs)†,6.06,0.15,80,ppb,40.4
OK,Binger,73001.0,Binger Public Works Authority,708,Antimony,0.78,1.0,6,ppb,0.78
OK,Binger,73001.0,Binger Public Works Authority,708,Barium,140.5,700.0,2000,ppb,0.2007142857142857
OK,Binger,73001.0,Binger Public Works Authority,708,Chloroform,0.144,0.4,0,ppb,0.35999999999999993
OK,Hinton,73001.0,Bridgeport,109,Bromodichloromethane,4.99,0.06,0,ppb,83.16666666666667
OK,Hinton,73001.0,Bridgeport,109,Bromoform,1.96,0.5,0,ppb,3.92
