Utility name,City,People served,Zip
Anadarko Public Works Authority,Anadarko,"Population served: 6,804",73001
Apache,Apache,"Population served: 1,521",73001
Binger Public Works Authority,Binger,Population served: 708,73001
Bridgeport,Hinton,Population served: 109,73001
Caddo County Rural Water District #1 (lookeba),Lookeba,Population served: 275,73001
Caddo County Rural Water District #3,Carnegie,"Population served: 3,900",73001
Carnegie,Carnegie,"Population served: 1,637",73001
Cement,Cement,Population served: 530,73001
Chickasha Lake Park,Chickasha,Population served: 50,73001
"Cyril, Town of",Cyril,"Population served: 1,168",73001
Eakly Development Corporation,Eakly,Population served: 277,73001
Fort Cobb,Fort Cobb,Population served: 667,73001
Gracemont Public Works Authority,Gracemont,Population served: 336,73001
Hinton,Hinton,"Population served: 2,600",73001
Hydro Public Works Authority,Hydro,"Population served: 1,060",73001
Grady County Rural Water District #3,"Bradley, OK",Population served:80,73002
Grady County Rural Water District #2,"Amber, OK",Population served:455,73004
Grant County Rural Water District #1,"Wakita, OK",Population served:100,73004
Chickasha Municipal Authority,"Chickasha, OK","Population served:16,036",73004
Grady County Rural Water District #6,"Amber, OK","Population served:3,930",73005
Verden,"Verden, OK",Population served:659,73005
Luther,"Luther, OK",Population served:650,73007
Logan County Rural Water District #1,"Guthrie, OK","Population served:8,907",73007
Oklahoma City,"Oklahoma City, OK","Population served:644,000",73007
Cole,"Blanchard, OK",Population served:473,73010
Dibble,"Dibble, OK",Population served:550,73010
Purcell,"Purcell, OK","Population served:8,118",73010
Newcastle,"Newcastle, OK","Population served:7,900",73010
City of Edmond - Arcadia Lake,"Arcadia, OK","Population served:79,408",73012
Deer Creek Rural Water Corporation,"Edmond, OK","Population served:5,500",73013
"Canadian County Rw, S &swmd #5","El Reno, OK",Population served:316,73014
Calumet,"Calumet, OK",Population served:600,73014
Okarche,"Okarche, OK","Population served:1,110",73014
Canadian County Rural Water District # 4,"El Reno, OK",Population served:907,73014
Geary,"Geary, OK","Population served:1,258",73014
Washita County Rural Water District #2,"Colony, OK","Population served:1,032",73015
Cashion,"Cashion, OK",Population served:900,73016
Piedmont Municpal Authority,"Piedmont, OK","Population served:7,542",73016
Grady County Rural Water District #7 (ninnekah),"Ninnekah, OK","Population served:2,425",73018
Norge Water County,"Chickasha, OK",Population served:890,73018
Choctaw,"Choctaw, OK","Population served:3,926",73020
