State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
OR,The Dalles,97001.0,Chenowith People's Utility District,4500,Haloacetic acids (HAA5)†,2.46,0.1,60,ppb,24.599999999999998
OR,The Dalles,97001.0,Chenowith People's Utility District,4500,Nitrate,0.895,0.14,10,ppm,6.392857142857142
OR,The Dalles,97001.0,Chenowith People's Utility District,4500,Total trihalomethanes (TTHMs)†,12.0,0.15,80,ppb,80.0
OR,The Dalles,97001.0,City of The Dalles,12494,Chromium (hexavalent),0.101,0.02,0,ppb,5.05
OR,The Dalles,97001.0,City of The Dalles,12494,Haloacetic acids (HAA5)†,16.1,0.1,60,ppb,161.0
OR,The Dalles,97001.0,City of The Dalles,12494,Haloacetic acids (HAA9)†,18.6,0.06,0,ppb,310.00000000000006
OR,The Dalles,97001.0,City of The Dalles,12494,Total trihalomethanes (TTHMs)†,18.5,0.15,80,ppb,123.33333333333334
OR,The Dalles,97001.0,City of The Dalles,12494,Barium,16.4,700.0,2000,ppb,0.023428571428571427
OR,The Dalles,97001.0,City of The Dalles,12494,Chlorate,134.6,210.0,0,ppb,0.6409523809523809
OR,The Dalles,97001.0,City of The Dalles,12494,Manganese,32.8,100.0,0,ppb,0.32799999999999996
OR,The Dalles,97001.0,City of The Dalles,12494,Molybdenum,0.845,40.0,0,ppb,0.021124999999999998
OR,The Dalles,97001.0,City of The Dalles,12494,Nitrate,0.00727,0.14,10,ppm,0.05192857142857143
OR,The Dalles,97001.0,City of The Dalles,12494,Nitrate and nitrite,0.00762,0.14,10,ppm,0.05442857142857142
OR,The Dalles,97001.0,City of The Dalles,12494,Picloram,0.00526,166.0,500,ppb,3.168674698795181e-05
OR,The Dalles,97001.0,City of The Dalles,12494,Strontium,0.0892,1500.0,0,ppb,5.946666666666667e-05
OR,The Dalles,97001.0,City of The Dalles,12494,Vanadium,0.558,21.0,0,ppb,0.026571428571428572
OR,Dufur,97001.0,Dufur City of,610,Haloacetic acids (HAA5)†,0.91,0.1,60,ppb,9.1
OR,Dufur,97001.0,Dufur City of,610,Total trihalomethanes (TTHMs)†,1.1,0.15,80,ppb,7.333333333333334
OR,Dufur,97001.0,Dufur South Basin,90,Haloacetic acids (HAA5)†,3.9,0.1,60,ppb,39.0
