Utility name,City,People served,Zip
"Antelope, City of",Antelope,Population served: 46,97001
Barlow Water District,Tygh Valley,Population served: 497,97001
Chenowith People's Utility District,The Dalles,"Population served: 4,500",97001
City of The Dalles,The Dalles,"Population served: 12,494",97001
"Dufur, City of",Dufur,Population served: 610,97001
"Dufur, South Basin",Dufur,Population served: 90,97001
Foley Lakes Mobile Home Park,The Dalles,Population served: 300,97001
Hazel Dell Orchard,The Dalles,Population served: 260,97001
"Maupin, City Of",Maupin,Population served: 420,97001
"Mosier, City of",Mosier,Population served: 450,97001
Pine Grove Water District (wasco),Maupin,Population served: 140,97001
Pinewood Mobile Manor,The Dalles,Population served: 130,97001
Rowena Crest Manor,The Dalles,Population served: 47,97001
Rowena Dell Water System,The Dalles,Population served: 30,97001
Sportsmans Park Water Association,Tygh Valley,Population served: 150,97001
Tooley Water District,Newberg,Population served: 42,97001
Tygh Valley Water District,Tygh Valley,Population served: 247,97001
View Point Trailer Court,The Dalles,Population served: 160,97001
Wamic Water Association,Wamic,Population served: 130,97001
Young Life,Antelope,Population served: 482,97001
Salem Public Works,"Salem, OR","Population served:192,000",97002
North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97002
South Fork Water Board,"Oregon City, OR","Population served:65,000",97002
Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97002
Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97002
City of Keizer,"Keizer, OR","Population served:37,505",97002
Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97002
Oregon City,"Oregon City, OR","Population served:33,940",97002
Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97002
City of West Linn,"West Linn, OR","Population served:25,002",97002
Banks Water Department,Banks,"Population served: 2,070",97003
City of Beaverton,Beaverton,"Population served: 70,000",97003
City of Cornelius,Cornelius,"Population served: 12,165",97003
City of Forest Grove,Forest Grove,"Population served: 23,080",97003
City of Hillsboro,Hillsboro,"Population served: 88,243",97003
City of Sherwood,Sherwood,"Population served: 19,505",97003
City of Tigard,Tigard,"Population served: 60,236",97003
City of Tualatin,Tualatin,"Population served: 26,879",97003
Crown Mobile Home Park,Newberg,Population served: 42,97003
Fir Grove Homeowners Association,Hillsboro,Population served: 450,97003
"Gaston, City of",Gaston,Population served: 625,97003
Hillsboro-cherry Grove,Hillsboro,"Population served: 1,456",97003
Joint Water Commission,Hillsboro,"Population served: 397,769",97003
La Water Co-op,Gaston,"Population served: 2,500",97003
Laurel Acres Water Company Inc.,Cornelius,Population served: 50,97003
Laurelwood Water Users,Gaston,Population served: 200,97003
North Plains Water Department,North Plains,"Population served: 3,095",97003
,,Population served: 0,97003
Parrett Mountain View Estates,Sherwood,Population served: 140,97003
Rainbow Ends Water System,Hillsboro,Population served: 50,97003
Raleigh Water District,Portland,"Population served: 4,500",97003
South Hills Water System,Hillsboro,Population served: 250,97003
Star Satellite Improvement District,Banks,Population served: 400,97003
Timber Water Association,Timber,Population served: 180,97003
Tualatin Valley Water District,Beaverton,"Population served: 222,000",97003
West Laurel Acres Water Company,Cornelius,Population served: 62,97003
West Slope Water District,Portland,"Population served: 10,400",97003
Westview Mobile Estates,Eugene,Population served: 250,97003
Wolsborn Farms Water District,Hillsboro,Population served: 90,97003
City of Milwaukie,"Milwaukie, OR","Population served:20,500",97004
City of Wilsonville,"Wilsonville, OR","Population served:22,729",97004
Portland Water Bureau,"Portland, OR","Population served:614,059",97009
