zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
97001,44.93328,-120.64169,Antelope,OR,Oregon,True,,385.0,0.5,41065,Wasco,"{""41065"": 100}",Wasco,41065,False,False,America/Los_Angeles
97002,45.23774,-122.8003,Aurora,OR,Oregon,True,,6418.0,59.7,41047,Marion,"{""41047"": 70.77, ""41005"": 29.23}",Marion|Clackamas,41047|41005,False,False,America/Los_Angeles
97003,45.50372,-122.86482,Beaverton,OR,Oregon,True,,,,41067,Washington,"{""41067"": 100}",Washington,41067,False,False,America/Los_Angeles
97004,45.25068,-122.45399,Beavercreek,OR,Oregon,True,,3964.0,35.4,41005,Clackamas,"{""41005"": 100}",Clackamas,41005,False,False,America/Los_Angeles
97005,45.49144,-122.80397,Beaverton,OR,Oregon,True,,27393.0,2063.6,41067,Washington,"{""41067"": 100}",Washington,41067,False,False,America/Los_Angeles
97006,45.52598,-122.85591,Beaverton,OR,Oregon,True,,74152.0,3957.4,41067,Washington,"{""41067"": 100}",Washington,41067,False,False,America/Los_Angeles
97007,45.44282,-122.87112,Beaverton,OR,Oregon,True,,71896.0,1486.6,41067,Washington,"{""41067"": 100}",Washington,41067,False,False,America/Los_Angeles
97008,45.46044,-122.80252,Beaverton,OR,Oregon,True,,30485.0,2221.5,41067,Washington,"{""41067"": 100}",Washington,41067,False,False,America/Los_Angeles
97009,45.42409,-122.33962,Boring,OR,Oregon,True,,8198.0,103.1,41005,Clackamas,"{""41005"": 97.14, ""41051"": 2.86}",Clackamas|Multnomah,41005|41051,False,False,America/Los_Angeles
97011,45.38738,-122.03671,Brightwood,OR,Oregon,True,,813.0,68.6,41005,Clackamas,"{""41005"": 100}",Clackamas,41005,False,False,America/Los_Angeles
97013,45.21799,-122.67277,Canby,OR,Oregon,True,,24396.0,159.8,41005,Clackamas,"{""41005"": 100}",Clackamas,41005,False,False,America/Los_Angeles
