Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Creswell Heights Jt Authority,Bromodichloromethane,10.0 ppb,0.06 ppb,
Creswell Heights Jt Authority,Bromoform,4.12 ppb,0.5 ppb,
Creswell Heights Jt Authority,Chloroform,5.26 ppb,0.4 ppb,
Creswell Heights Jt Authority,Chromium (hexavalent),0.0800 ppb,0.02 ppb,
Creswell Heights Jt Authority,Dibromoacetic acid,2.98 ppb,0.04 ppb,
Creswell Heights Jt Authority,Dibromochloromethane,12.4 ppb,0.1 ppb,
Creswell Heights Jt Authority,Dichloroacetic acid,4.56 ppb,0.2 ppb,
Creswell Heights Jt Authority,Haloacetic acids (HAA5)†,11.6 ppb,0.1 ppb,60 ppb
Creswell Heights Jt Authority,Haloacetic acids (HAA9)†,17.2 ppb,0.06 ppb,
Creswell Heights Jt Authority,Total trihalomethanes (TTHMs)†,32.2 ppb,0.15 ppb,80 ppb
Creswell Heights Jt Authority,Trichloroacetic acid,4.77 ppb,0.1 ppb,
Creswell Heights Jt Authority,Barium,26.5 ppb,700 ppb,"2,000 ppb"
Creswell Heights Jt Authority,Chlorate,134.5 ppb,210 ppb,
Creswell Heights Jt Authority,Chromium (total),0.232 ppb,,100 ppb
Creswell Heights Jt Authority,Fluoride,0.1000 ppm,,4 ppm
Creswell Heights Jt Authority,Manganese,1.16 ppb,100 ppb,
Creswell Heights Jt Authority,Molybdenum,1.76 ppb,40 ppb,
Creswell Heights Jt Authority,Nitrate,0.0973 ppm,0.14 ppm,10 ppm
Creswell Heights Jt Authority,Strontium,0.262 ppb,"1,500 ppb",
Creswell Heights Jt Authority,Vanadium,0.153 ppb,21 ppb,
Creswell Heights Jt Authority,None,,,
Center Twp Water Authority,Bromodichloromethane,10.9 ppb,0.06 ppb,
Center Twp Water Authority,Bromoform,1.76 ppb,0.5 ppb,
Center Twp Water Authority,Chloroform,14.2 ppb,0.4 ppb,
Center Twp Water Authority,Chromium (hexavalent),0.245 ppb,0.02 ppb,
Center Twp Water Authority,Dibromoacetic acid,1.43 ppb,0.04 ppb,
Center Twp Water Authority,Dibromochloromethane,8.44 ppb,0.1 ppb,
Center Twp Water Authority,Dichloroacetic acid,7.90 ppb,0.2 ppb,
Center Twp Water Authority,Haloacetic acids (HAA5)†,12.9 ppb,0.1 ppb,60 ppb
Center Twp Water Authority,Haloacetic acids (HAA9)†,23.5 ppb,0.06 ppb,
Center Twp Water Authority,Nitrate,0.727 ppm,0.14 ppm,10 ppm
Center Twp Water Authority,"Radium, combined (-226 &amp; -228)",0.23 pCi/L,0.05 pCi/L,5 pCi/L
Center Twp Water Authority,Total trihalomethanes (TTHMs)†,35.4 ppb,0.15 ppb,80 ppb
Center Twp Water Authority,Trichloroacetic acid,7.67 ppb,0.1 ppb,
Center Twp Water Authority,Barium,61.3 ppb,700 ppb,"2,000 ppb"
Center Twp Water Authority,Chromium (total),0.350 ppb,,100 ppb
Center Twp Water Authority,Manganese,5.88 ppb,100 ppb,
Center Twp Water Authority,Molybdenum,0.300 ppb,40 ppb,
Center Twp Water Authority,Monobromoacetic acid,0.106 ppb,25 ppb,
Center Twp Water Authority,Monochloroacetic acid,0.396 ppb,53 ppb,
Center Twp Water Authority,Selenium,2.33 ppb,30 ppb,50 ppb
Center Twp Water Authority,Strontium,0.230 ppb,"1,500 ppb",
Center Twp Water Authority,None,,,
Harshbarger Mobile Home Park,Bromodichloromethane,3.96 ppb,0.06 ppb,
Harshbarger Mobile Home Park,Chloroform,5.38 ppb,0.4 ppb,
Harshbarger Mobile Home Park,Dibromoacetic acid,0.513 ppb,0.04 ppb,
Harshbarger Mobile Home Park,Dibromochloromethane,2.04 ppb,0.1 ppb,
Harshbarger Mobile Home Park,Dichloroacetic acid,5.08 ppb,0.2 ppb,
Harshbarger Mobile Home Park,Haloacetic acids (HAA5)†,10.7 ppb,0.1 ppb,60 ppb
Harshbarger Mobile Home Park,Nitrate,2.62 ppm,0.14 ppm,10 ppm
Harshbarger Mobile Home Park,Total trihalomethanes (TTHMs)†,12.4 ppb,0.15 ppb,80 ppb
Harshbarger Mobile Home Park,Trichloroacetic acid,4.95 ppb,0.1 ppb,
Harshbarger Mobile Home Park,Barium,34.3 ppb,700 ppb,"2,000 ppb"
Harshbarger Mobile Home Park,Bromoform,0.168 ppb,0.5 ppb,
Harshbarger Mobile Home Park,Chlordane,0.00600 ppb,0.03 ppb,2 ppb
Harshbarger Mobile Home Park,None,,,
Moon Twp Municipal Authority,Bromodichloromethane,16.5 ppb,0.06 ppb,
Moon Twp Municipal Authority,Bromoform,2.98 ppb,0.5 ppb,
Moon Twp Municipal Authority,Chloroform,17.6 ppb,0.4 ppb,
Moon Twp Municipal Authority,Chromium (hexavalent),0.0499 ppb,0.02 ppb,
Moon Twp Municipal Authority,Dibromoacetic acid,3.00 ppb,0.04 ppb,
Moon Twp Municipal Authority,Dibromochloromethane,14.1 ppb,0.1 ppb,
Moon Twp Municipal Authority,Dichloroacetic acid,7.85 ppb,0.2 ppb,
Moon Twp Municipal Authority,Haloacetic acids (HAA5)†,15.0 ppb,0.1 ppb,60 ppb
Moon Twp Municipal Authority,Haloacetic acids (HAA9)†,25.3 ppb,0.06 ppb,
Moon Twp Municipal Authority,Nitrate,0.688 ppm,0.14 ppm,10 ppm
Moon Twp Municipal Authority,Total trihalomethanes (TTHMs)†,51.8 ppb,0.15 ppb,80 ppb
Moon Twp Municipal Authority,Trichloroacetic acid,4.09 ppb,0.1 ppb,
Moon Twp Municipal Authority,Antimony,0.117 ppb,1 ppb,6 ppb
Moon Twp Municipal Authority,Barium,11.0 ppb,700 ppb,"2,000 ppb"
Moon Twp Municipal Authority,Chlorate,155.0 ppb,210 ppb,
Moon Twp Municipal Authority,Cyanide (free),6.33 ppb,150 ppb,
Moon Twp Municipal Authority,Fluoride,0.582 ppm,,4 ppm
Moon Twp Municipal Authority,Manganese,0.531 ppb,100 ppb,
Moon Twp Municipal Authority,Molybdenum,0.325 ppb,40 ppb,
Moon Twp Municipal Authority,Monochloroacetic acid,0.428 ppb,53 ppb,
Moon Twp Municipal Authority,Strontium,0.148 ppb,"1,500 ppb",
Moon Twp Municipal Authority,None,,,
Shippingport Borough Water System,Bromodichloromethane,13.0 ppb,0.06 ppb,
Shippingport Borough Water System,Chloroform,33.9 ppb,0.4 ppb,
Shippingport Borough Water System,Dibromoacetic acid,1.08 ppb,0.04 ppb,
Shippingport Borough Water System,Dibromochloromethane,4.91 ppb,0.1 ppb,
Shippingport Borough Water System,Dichloroacetic acid,22.7 ppb,0.2 ppb,
Shippingport Borough Water System,Haloacetic acids (HAA5)†,47.6 ppb,0.1 ppb,60 ppb
Shippingport Borough Water System,Nitrate*,0.933 ppm,0.14 ppm,10 ppm
Shippingport Borough Water System,Total trihalomethanes (TTHMs)†,52.0 ppb,0.15 ppb,80 ppb
Shippingport Borough Water System,Trichloroacetic acid,35.1 ppb,0.1 ppb,
Shippingport Borough Water System,Barium*,34.3 ppb,700 ppb,"2,000 ppb"
Shippingport Borough Water System,Bromoform,0.280 ppb,0.5 ppb,
Shippingport Borough Water System,Dalapon*,0.673 ppb,,200 ppb
Shippingport Borough Water System,Monobromoacetic acid,0.252 ppb,25 ppb,
Shippingport Borough Water System,Monochloroacetic acid,2.60 ppb,53 ppb,
Shippingport Borough Water System,Tritium*,4.42 pCi/L,400 pCi/L,
Edgeworth Borough Municipal Authority,Bromodichloromethane,8.22 ppb,0.06 ppb,
Edgeworth Borough Municipal Authority,Chloroform,44.6 ppb,0.4 ppb,
Edgeworth Borough Municipal Authority,Dibromochloromethane,0.572 ppb,0.1 ppb,
Edgeworth Borough Municipal Authority,Dichloroacetic acid,22.3 ppb,0.2 ppb,
Edgeworth Borough Municipal Authority,Haloacetic acids (HAA5)†,42.9 ppb,0.1 ppb,60 ppb
Edgeworth Borough Municipal Authority,Total trihalomethanes (TTHMs)†,53.4 ppb,0.15 ppb,80 ppb
Edgeworth Borough Municipal Authority,Trichloroacetic acid,26.2 ppb,0.1 ppb,
Edgeworth Borough Municipal Authority,Monochloroacetic acid,2.19 ppb,53 ppb,
Edgeworth Borough Municipal Authority,None,,,
Baden Borough Water Department,Bromodichloromethane,6.57 ppb,0.06 ppb,
Baden Borough Water Department,Chloroform,34.2 ppb,0.4 ppb,
Baden Borough Water Department,Chromium (hexavalent)*,0.0419 ppb,0.02 ppb,
Baden Borough Water Department,Dibromochloromethane,0.539 ppb,0.1 ppb,
Baden Borough Water Department,Dichloroacetic acid,13.3 ppb,0.2 ppb,
Baden Borough Water Department,Haloacetic acids (HAA5)†,27.8 ppb,0.1 ppb,60 ppb
Baden Borough Water Department,Haloacetic acids (HAA9)*†,53.7 ppb,0.06 ppb,
Baden Borough Water Department,Total trihalomethanes (TTHMs)†,41.8 ppb,0.15 ppb,80 ppb
Baden Borough Water Department,Trichloroacetic acid,22.1 ppb,0.1 ppb,
Baden Borough Water Department,Barium*,27.2 ppb,700 ppb,"2,000 ppb"
Baden Borough Water Department,Chlorate*,15.6 ppb,210 ppb,
Baden Borough Water Department,Chromium (total)*,0.0471 ppb,,100 ppb
Baden Borough Water Department,Cyanide*,3.37 ppb,,200 ppb
Baden Borough Water Department,Fluoride*,0.0687 ppm,,4 ppm
Baden Borough Water Department,Manganese*,0.817 ppb,100 ppb,
Baden Borough Water Department,Monobromoacetic acid,0.0710 ppb,25 ppb,
Baden Borough Water Department,Monochloroacetic acid,0.624 ppb,53 ppb,
Baden Borough Water Department,Nitrate*,0.175 ppm,0.14 ppm,10 ppm
Baden Borough Water Department,Strontium*,0.0844 ppb,"1,500 ppb",
Baden Borough Water Department,None,,,
Borough of Conway,Bromodichloromethane,15.6 ppb,0.06 ppb,
Borough of Conway,Bromoform,1.12 ppb,0.5 ppb,
Borough of Conway,Chloroform,22.5 ppb,0.4 ppb,
Borough of Conway,Dibromoacetic acid,0.250 ppb,0.04 ppb,
Borough of Conway,Dibromochloromethane,7.12 ppb,0.1 ppb,
Borough of Conway,Dichloroacetic acid,14.3 ppb,0.2 ppb,
Borough of Conway,Haloacetic acids (HAA5)†,23.0 ppb,0.1 ppb,60 ppb
Borough of Conway,Total trihalomethanes (TTHMs)†,46.4 ppb,0.15 ppb,80 ppb
Borough of Conway,Trichloroacetic acid,11.2 ppb,0.1 ppb,
Borough of Conway,Monochloroacetic acid,0.655 ppb,53 ppb,
Borough of Conway,None,,,
West View Water Authority,Bromodichloromethane,12.1 ppb,0.06 ppb,
West View Water Authority,Bromoform,1.24 ppb,0.5 ppb,
West View Water Authority,Chloroform,20.7 ppb,0.4 ppb,
West View Water Authority,Chromium (hexavalent),0.0650 ppb,0.02 ppb,
West View Water Authority,Dibromoacetic acid,1.33 ppb,0.04 ppb,
West View Water Authority,Dibromochloromethane,7.09 ppb,0.1 ppb,
West View Water Authority,Dichloroacetic acid,6.69 ppb,0.2 ppb,
West View Water Authority,Haloacetic acids (HAA5)†,12.6 ppb,0.1 ppb,60 ppb
West View Water Authority,Haloacetic acids (HAA9)†,23.1 ppb,0.06 ppb,
West View Water Authority,Nitrate,0.601 ppm,0.14 ppm,10 ppm
West View Water Authority,Total trihalomethanes (TTHMs)†,41.4 ppb,0.15 ppb,80 ppb
West View Water Authority,Trichloroacetic acid,3.74 ppb,0.1 ppb,
West View Water Authority,Barium,26.3 ppb,700 ppb,"2,000 ppb"
West View Water Authority,Bromochloromethane,0.0150 ppb,,
West View Water Authority,Chromium (total),0.0333 ppb,,100 ppb
West View Water Authority,Di(2-ethylhexyl) phthalate,0.0667 ppb,3 ppb,6 ppb
West View Water Authority,Fluoride,0.564 ppm,,4 ppm
West View Water Authority,Manganese,1.43 ppb,100 ppb,
West View Water Authority,Molybdenum,0.313 ppb,40 ppb,
West View Water Authority,Monochloroacetic acid,0.197 ppb,53 ppb,
West View Water Authority,Nitrite,0.0225 ppm,,1 ppm
West View Water Authority,Strontium,0.128 ppb,"1,500 ppb",
West View Water Authority,None,,,
New Sewickley Township Municipal Authority,Bromodichloromethane,11.3 ppb,0.06 ppb,
New Sewickley Township Municipal Authority,Chloroform,34.4 ppb,0.4 ppb,
