State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Bromodichloromethane,10.0,0.06,0,ppb,166.66666666666669
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Bromoform,4.12,0.5,0,ppb,8.24
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Chloroform,5.26,0.4,0,ppb,13.149999999999999
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Chromium (hexavalent),0.08,0.02,0,ppb,4.0
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Dibromoacetic acid,2.98,0.04,0,ppb,74.5
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Dibromochloromethane,12.4,0.1,0,ppb,124.0
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Dichloroacetic acid,4.56,0.2,0,ppb,22.799999999999997
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Haloacetic acids (HAA5)†,11.6,0.1,60,ppb,115.99999999999999
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Haloacetic acids (HAA9)†,17.2,0.06,0,ppb,286.6666666666667
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Total trihalomethanes (TTHMs)†,32.2,0.15,80,ppb,214.66666666666669
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Trichloroacetic acid,4.77,0.1,0,ppb,47.699999999999996
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Barium,26.5,700.0,2000,ppb,0.03785714285714286
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Chlorate,134.5,210.0,0,ppb,0.6404761904761904
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Manganese,1.16,100.0,0,ppb,0.0116
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Molybdenum,1.76,40.0,0,ppb,0.044
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Nitrate,0.0973,0.14,10,ppm,0.695
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Strontium,0.262,1500.0,0,ppb,0.00017466666666666667
PA,South Heights PA,15001.0,Creswell Heights Jt Authority,15000,Vanadium,0.153,21.0,0,ppb,0.007285714285714286
PA,Aliquippa PA,15001.0,Center Twp Water Authority,19000,Bromodichloromethane,10.9,0.06,0,ppb,181.66666666666669
PA,Aliquippa PA,15001.0,Center Twp Water Authority,19000,Bromoform,1.76,0.5,0,ppb,3.52
PA,Aliquippa PA,15001.0,Center Twp Water Authority,19000,Chloroform,14.2,0.4,0,ppb,35.49999999999999
PA,Aliquippa PA,15001.0,Center Twp Water Authority,19000,Chromium (hexavalent),0.245,0.02,0,ppb,12.25
PA,Aliquippa PA,15001.0,Center Twp Water Authority,19000,Dibromoacetic acid,1.43,0.04,0,ppb,35.75
PA,Aliquippa PA,15001.0,Center Twp Water Authority,19000,Dibromochloromethane,8.44,0.1,0,ppb,84.39999999999999
PA,Aliquippa PA,15001.0,Center Twp Water Authority,19000,Dichloroacetic acid,7.9,0.2,0,ppb,39.5
