Utility name,City,People served,Zip
Creswell Heights Jt Authority,"South Heights, PA","Population served:15,000",15001
Center Twp Water Authority,"Aliquippa, PA","Population served:19,000",15001
Harshbarger Mobile Home Park,"Pittsburgh, PA",Population served:90,15001
Moon Twp Municipal Authority,"Coraopolis, PA","Population served:38,000",15001
Shippingport Borough Water System,"Shippingport, PA",Population served:222,15001
Edgeworth Borough Municipal Authority,"Sewickley, PA","Population served:7,781",15003
Baden Borough Water Department,"Baden, PA","Population served:4,377",15005
Borough of Conway,"Conway, PA","Population served:2,176",15005
West View Water Authority,"Pittsburgh, PA","Population served:200,000",15005
New Sewickley Township Municipal Authority,"Rochester, PA","Population served:4,276",15005
Cranberry Twp WTP,"Cranberry Twp, PA","Population served:36,930",15005
Beaver Falls Municipal Authority,"Beaver Falls, PA","Population served:50,000",15009
Beaver Borough Municipal Authority,"Beaver, PA","Population served:5,799",15009
Vanport Township Municipal Authority,"Vanport, PA","Population served:1,450",15009
Industry Borough Municipal Authority,"Industry, PA","Population served:1,865",15009
Ohioville Borough Municipal Authority,"Industry, PA","Population served:2,750",15009
North Sewickley Municipal Water Authority,"Beaver Falls, PA","Population served:4,578",15010
Pennsylvania American Water Company Ellwood Cty,"New Castle, PA","Population served:17,200",15010
Pinehurst Mobile Estates,"Banner Elk, NC",Population served:130,15010
Municipal Authority of Washington Township,"Belle Vernon, PA","Population served:9,100",15012
Belle Vernon Borough Municipal Authority,"Belle Vernon, PA","Population served:6,000",15012
Authority of Boro of Charleroi,"Charleroi, PA","Population served:26,330",15012
Pennsylvania American Water Pittsburgh,"Bethel Park, PA","Population served:686,000",15012
Harrison Twp Water Authority,"Natrona Heights, PA","Population served:13,411",15014
Tarentum Borough Water Department,"Tarentum, PA","Population served:4,927",15014
Municipal Authority of Westmoreland County - Yough Plant,"Greensburg, PA","Population served:140,000",15018
Harmar Township Muni Authority,"Cheswick, PA","Population served:3,200",15024
Cheswick Borough Water Department,"Cheswick, PA","Population served:1,861",15024
Fox Chapel Authority,"Pittsburgh, PA","Population served:18,500",15024
Fawn Frazer Jt Water Authority,"Natrona Heights, PA","Population served:4,650",15024
Springdale Township Water Department,"Harwick, PA","Population served:1,600",15024
Springdale Borough Water Department,"Springdale, PA","Population served:3,405",15024
Independence Park,"Belle Vernon, PA",Population served:225,15026
Ankrom Acres Mobile Home Park,"Clinton, PA",Population served:24,15026
Ambridge Water Authority,"Ambridge, PA","Population served:19,500",15027
West Cnty Muni Auth-mckeesport,"Greensburg, PA","Population served:32,644",15034
Forest Brook Mobile Home Park,"Baden, PA",Population served:200,15042
Knob Vue Estates,"Baden, PA",Population served:150,15042
Colonial Glenn Estates,"Pittsburgh, PA",Population served:50,15042
Penn Hills Estate of Rochester,"New Brighton, PA",Population served:27,15042
Mun Water Authority of Aliquippa,"Aliquippa, PA","Population served:14,250",15043
Oakmont Water Authority,"Oakmont, PA","Population served:40,299",15044
Hampton Shaler Water Authority,"Allison Park, PA","Population served:62,497",15044
Municipal Water Authority Adams Township,"Mars, PA","Population served:8,500",15044
Brighton Township Municipal Authority,"Beaver, PA","Population served:7,920",15052
Midland Borough Municipal Authority,"Midland, PA","Population served:3,275",15052
Western Allegheny County Mun A,"Oakdale, PA","Population served:19,031",15057
Glasgow Municipal Water Works,"Midland, PA",Population served:51,15059
Monaca Borough Water Department,"Monaca, PA","Population served:6,500",15061
Brackenridge Borough Water Department,"Brackenridge, PA","Population served:3,700",15065
Plum Boro Municipal Authority,"Pittsburgh, PA","Population served:27,500",15068
Municipal Authority of Westmoreland County - Sweeney Water Treatment Plant,"Greensburg, PA","Population served:150,000",15068
Robinson Twp Municipal Authority,"Pittsburgh, PA","Population served:16,354",15071
Oakdale Borough Water Department,"Oakdale, PA","Population served:1,459",15071
Little Creek Estates M H P,"Sewickley, PA",Population served:60,15074
Whispering Woods,"Butler, PA",Population served:100,15074
East Deer Township Water Department,"Creighton, PA","Population served:2,000",15084
Wilkinsburg-penn Joint Water Authority,"Wilkinsburg, PA","Population served:125,000",15085
Monroeville Municipal Authority,"Monroeville, PA","Population served:48,500",15085
Braddock Borough Water Authority,"Braddock, PA","Population served:2,008",15104
Duquesne Water Department,"Duquesne, PA","Population served:5,565",15104
Findlay Township Municipal Authority,"Clinton, PA","Population served:11,460",15108
Coraopolis Water & Sewer Authority,"Coraopolis, PA","Population served:6,000",15108
Neville Township Water Department,"Pittsburgh, PA","Population served:6,750",15108
Pittsburgh Water & Sewer Authority,"Pittsburgh, PA","Population served:520,000",15123
Sewickley Borough Water Authority,"Sewickley, PA","Population served:6,800",15143
Aleppo Township Authority,"Sewickley, PA","Population served:2,200",15143
Carson Towers,"Pittsburgh, PA",Population served:266,15203
Reserve Township Water Department,"Pittsburgh, PA","Population served:3,333",15209
Aspinwall Borough Water Department,"Pittsburgh, PA","Population served:3,151",15215
Blawnox Borough Water Department,"Pittsburgh, PA","Population served:2,200",15238
Southwestern Pennsylvania Water Authority,"Jefferson, PA","Population served:40,000",15301
Brave Water Authority,Brave,Population served: 200,15310
,,Population served: 0,15310
East Dunkard Water Authority,Dilliner,"Population served: 3,962",15310
Mount Morris Water & Sewage Authority,Mt Morris,"Population served: 1,500",15310
Municipal Authority Borough of Carmichaels,Carmichaels,"Population served: 4,700",15310
Bentleyville Municipal Authority,"Bentleyville, PA","Population served:2,600",15314
Ellsworth Borough Water Department,"Ellsworth, PA","Population served:1,250",15314
Tri County Joint Municipal Authority,"Fredericktown, PA","Population served:10,100",15322
Albert Gallatin Municipal Authority,"Point Marion, PA","Population served:2,594",15327
Marianna Municipal Water Works,"Marianna, PA",Population served:450,15345
Deer Lodge Mobile Home Park,Herndon,Population served: 87,15365
Donegal Township,West Alexander,Population served: 820,15365
Pa-american Water- Uniontown,"Brownsville, PA","Population served:23,125",15401
Mountain Water Association,"Fairchance, PA","Population served:3,400",15401
Fairchance Borough Water Department,"Fairchance, PA","Population served:2,174",15401
Pa-american Water-brownsville,"Brownsville, PA","Population served:15,817",15401
Indian Creek Valley Water Authority,Indian Head,"Population served: 7,000",15416
