Utility name,City,People served,Zip
Creswell Heights Jt Authority,"South Heights, PA","Population served:15,000",15001
Center Twp Water Authority,"Aliquippa, PA","Population served:19,000",15001
Harshbarger Mobile Home Park,"Pittsburgh, PA",Population served:90,15001
Moon Twp Municipal Authority,"Coraopolis, PA","Population served:38,000",15001
Shippingport Borough Water System,"Shippingport, PA",Population served:222,15001
Edgeworth Borough Municipal Authority,"Sewickley, PA","Population served:7,781",15003
Baden Borough Water Department,"Baden, PA","Population served:4,377",15005
Borough of Conway,"Conway, PA","Population served:2,176",15005
West View Water Authority,"Pittsburgh, PA","Population served:200,000",15005
New Sewickley Township Municipal Authority,"Rochester, PA","Population served:4,276",15005
Cranberry Twp WTP,"Cranberry Twp, PA","Population served:36,930",15005
Beaver Falls Municipal Authority,"Beaver Falls, PA","Population served:50,000",15009
Beaver Borough Municipal Authority,"Beaver, PA","Population served:5,799",15009
Vanport Township Municipal Authority,"Vanport, PA","Population served:1,450",15009
Industry Borough Municipal Authority,"Industry, PA","Population served:1,865",15009
Ohioville Borough Municipal Authority,"Industry, PA","Population served:2,750",15009
North Sewickley Municipal Water Authority,"Beaver Falls, PA","Population served:4,578",15010
Pennsylvania American Water Company Ellwood Cty,"New Castle, PA","Population served:17,200",15010
Pinehurst Mobile Estates,"Banner Elk, NC",Population served:130,15010
Municipal Authority of Washington Township,"Belle Vernon, PA","Population served:9,100",15012
Belle Vernon Borough Municipal Authority,"Belle Vernon, PA","Population served:6,000",15012
Authority of Boro of Charleroi,"Charleroi, PA","Population served:26,330",15012
Pennsylvania American Water Pittsburgh,"Bethel Park, PA","Population served:686,000",15012
Harrison Twp Water Authority,"Natrona Heights, PA","Population served:13,411",15014
Tarentum Borough Water Department,"Tarentum, PA","Population served:4,927",15014
Municipal Authority of Westmoreland County - Yough Plant,"Greensburg, PA","Population served:140,000",15018
Pennsylvania American Water Pittsburgh,"Bethel Park, PA","Population served:686,000",15020
Pennsylvania American Water Pittsburgh,"Bethel Park, PA","Population served:686,000",15022
Harmar Township Muni Authority,"Cheswick, PA","Population served:3,200",15024
Cheswick Borough Water Department,"Cheswick, PA","Population served:1,861",15024
Fox Chapel Authority,"Pittsburgh, PA","Population served:18,500",15024
Fawn Frazer Jt Water Authority,"Natrona Heights, PA","Population served:4,650",15024
Springdale Township Water Department,"Harwick, PA","Population served:1,600",15024
Springdale Borough Water Department,"Springdale, PA","Population served:3,405",15024
Municipal Authority of Westmoreland County - Yough Plant,"Greensburg, PA","Population served:140,000",15025
Pennsylvania American Water Pittsburgh,"Bethel Park, PA","Population served:686,000",15026
Independence Park,"Belle Vernon, PA",Population served:225,15026
Moon Twp Municipal Authority,"Coraopolis, PA","Population served:38,000",15026
Ankrom Acres Mobile Home Park,"Clinton, PA",Population served:24,15026
Beaver Falls Municipal Authority,"Beaver Falls, PA","Population served:50,000",15027
Ambridge Water Authority,"Ambridge, PA","Population served:19,500",15027
New Sewickley Township Municipal Authority,"Rochester, PA","Population served:4,276",15027
Pennsylvania American Water Pittsburgh,"Bethel Park, PA","Population served:686,000",15028
Municipal Authority of Westmoreland County - Yough Plant,"Greensburg, PA","Population served:140,000",15028
Fawn Frazer Jt Water Authority,"Natrona Heights, PA","Population served:4,650",15030
Tarentum Borough Water Department,"Tarentum, PA","Population served:4,927",15030
Springdale Township Water Department,"Harwick, PA","Population served:1,600",15030
Pennsylvania American Water Pittsburgh,"Bethel Park, PA","Population served:686,000",15033
Municipal Authority of Westmoreland County - Yough Plant,"Greensburg, PA","Population served:140,000",15033
West Cnty Muni Auth-mckeesport,"Greensburg, PA","Population served:32,644",15034
West Cnty Muni Auth-mckeesport,"Greensburg, PA","Population served:32,644",15035
Municipal Authority of Westmoreland County - Yough Plant,"Greensburg, PA","Population served:140,000",15037
West Cnty Muni Auth-mckeesport,"Greensburg, PA","Population served:32,644",15037
Municipal Authority of Westmoreland County - Yough Plant,"Greensburg, PA","Population served:140,000",15038
Beaver Falls Municipal Authority,"Beaver Falls, PA","Population served:50,000",15042
New Sewickley Township Municipal Authority,"Rochester, PA","Population served:4,276",15042
Forest Brook Mobile Home Park,"Baden, PA",Population served:200,15042
Knob Vue Estates,"Baden, PA",Population served:150,15042
Baden Borough Water Department,"Baden, PA","Population served:4,377",15042
Colonial Glenn Estates,"Pittsburgh, PA",Population served:50,15042
Penn Hills Estate of Rochester,"New Brighton, PA",Population served:27,15042
Borough of Conway,"Conway, PA","Population served:2,176",15042
Beaver Falls Municipal Authority,"Beaver Falls, PA","Population served:50,000",15043
Ambridge Water Authority,"Ambridge, PA","Population served:19,500",15043
Mun Water Authority of Aliquippa,"Aliquippa, PA","Population served:14,250",15043
Creswell Heights Jt Authority,"South Heights, PA","Population served:15,000",15043
Center Twp Water Authority,"Aliquippa, PA","Population served:19,000",15043
West View Water Authority,"Pittsburgh, PA","Population served:200,000",15044
Oakmont Water Authority,"Oakmont, PA","Population served:40,299",15044
Hampton Shaler Water Authority,"Allison Park, PA","Population served:62,497",15044
Municipal Water Authority Adams Township,"Mars, PA","Population served:8,500",15044
West Cnty Muni Auth-mckeesport,"Greensburg, PA","Population served:32,644",15045
Moon Twp Municipal Authority,"Coraopolis, PA","Population served:38,000",15046
West Cnty Muni Auth-mckeesport,"Greensburg, PA","Population served:32,644",15047
Harmar Township Muni Authority,"Cheswick, PA","Population served:3,200",15049
Cheswick Borough Water Department,"Cheswick, PA","Population served:1,861",15049
Fawn Frazer Jt Water Authority,"Natrona Heights, PA","Population served:4,650",15049
Mun Water Authority of Aliquippa,"Aliquippa, PA","Population served:14,250",15050
Fox Chapel Authority,"Pittsburgh, PA","Population served:18,500",15051
Ohioville Borough Municipal Authority,"Industry, PA","Population served:2,750",15052
Brighton Township Municipal Authority,"Beaver, PA","Population served:7,920",15052
Midland Borough Municipal Authority,"Midland, PA","Population served:3,275",15052
Ambridge Water Authority,"Ambridge, PA","Population served:19,500",15056
Western Allegheny County Mun A,"Oakdale, PA","Population served:19,031",15057
Ohioville Borough Municipal Authority,"Industry, PA","Population served:2,750",15059
