Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Bethel Village Public Water System,Bromodichloromethane,18.3 ppb,0.06 ppb,
Bethel Village Public Water System,Bromoform,3.62 ppb,0.5 ppb,
Bethel Village Public Water System,Chloroform,16.9 ppb,0.4 ppb,
Bethel Village Public Water System,Dibromoacetic acid,3.66 ppb,0.04 ppb,
Bethel Village Public Water System,Dibromochloromethane,15.1 ppb,0.1 ppb,
Bethel Village Public Water System,Dichloroacetic acid,4.88 ppb,0.2 ppb,
Bethel Village Public Water System,Haloacetic acids (HAA5)†,10.3 ppb,0.1 ppb,60 ppb
Bethel Village Public Water System,Haloacetic acids (HAA9)*†,9.70 ppb,0.06 ppb,
Bethel Village Public Water System,Nitrate*,0.432 ppm,0.14 ppm,10 ppm
Bethel Village Public Water System,Nitrate and nitrite*,0.432 ppm,0.14 ppm,10 ppm
Bethel Village Public Water System,Total trihalomethanes (TTHMs)†,54.0 ppb,0.15 ppb,80 ppb
Bethel Village Public Water System,Trichloroacetic acid,2.13 ppb,0.1 ppb,
Bethel Village Public Water System,"1,4-Dioxane*",0.128 ppb,0.35 ppb,
Bethel Village Public Water System,Barium*,29.3 ppb,700 ppb,"2,000 ppb"
Bethel Village Public Water System,Chlorate*,204.8 ppb,210 ppb,
Bethel Village Public Water System,Chromium (hexavalent)*,0.00529 ppb,0.02 ppb,
Bethel Village Public Water System,Chromium (total)*,0.0240 ppb,,100 ppb
Bethel Village Public Water System,Fluoride*,0.980 ppm,,4 ppm
Bethel Village Public Water System,Manganese*,0.850 ppb,100 ppb,
Bethel Village Public Water System,Molybdenum*,1.58 ppb,40 ppb,
Bethel Village Public Water System,Strontium*,0.146 ppb,"1,500 ppb",
Bethel Village Public Water System,Xylenes (total)*,0.240 ppb,"1,800 ppb","10,000 ppb"
Bethel Village Public Water System,None,,,
Lindhbrook Water Company,Arsenic,0.325 ppb,0.004 ppb,10 ppb
Lindhbrook Water Company,Nitrate,0.696 ppm,0.14 ppm,10 ppm
Lindhbrook Water Company,Nitrate and nitrite,0.655 ppm,0.14 ppm,10 ppm
Lindhbrook Water Company,"Radium, combined (-226 &amp; -228)",2.59 pCi/L,0.05 pCi/L,5 pCi/L
Lindhbrook Water Company,Barium,55.8 ppb,700 ppb,"2,000 ppb"
Lindhbrook Water Company,Beryllium,0.250 ppb,1 ppb,4 ppb
Lindhbrook Water Company,Cyanide,5.55 ppb,,200 ppb
Lindhbrook Water Company,Fluoride,0.0528 ppm,,4 ppm
Lindhbrook Water Company,Thallium,0.0500 ppb,0.1 ppb,2 ppb
Lindhbrook Water Company,None,,,
East Providence,Bromodichloromethane,3.51 ppb,0.06 ppb,
East Providence,Chloroform,56.2 ppb,0.4 ppb,
East Providence,Dibromochloromethane,0.285 ppb,0.1 ppb,
East Providence,Dichloroacetic acid,17.7 ppb,0.2 ppb,
East Providence,Haloacetic acids (HAA5)†,20.7 ppb,0.1 ppb,60 ppb
East Providence,Haloacetic acids (HAA9)†,23.1 ppb,0.06 ppb,
East Providence,Total trihalomethanes (TTHMs)†,63.5 ppb,0.15 ppb,80 ppb
East Providence,Trichloroacetic acid,1.83 ppb,0.1 ppb,
East Providence,"4-Androstene-3,17-dione*",0.130 ppt,,
East Providence,Barium*,9.00 ppb,700 ppb,"2,000 ppb"
East Providence,Chlorate,6.70 ppb,210 ppb,
East Providence,Chromium (hexavalent),0.00413 ppb,0.02 ppb,
East Providence,Fluoride*,0.226 ppm,,4 ppm
East Providence,Manganese,0.916 ppb,100 ppb,
East Providence,Monochloroacetic acid,2.40 ppb,53 ppb,
East Providence,Nitrate*,0.0225 ppm,0.14 ppm,10 ppm
East Providence,Nitrite*,0.00250 ppm,,1 ppm
East Providence,Strontium,0.0311 ppb,"1,500 ppb",
East Providence,Vanadium,0.302 ppb,21 ppb,
East Providence,None,,,
Central Beach Fire District,Nitrate,3.33 ppm,0.14 ppm,10 ppm
Central Beach Fire District,Nitrate and nitrite,3.94 ppm,0.14 ppm,10 ppm
Central Beach Fire District,Perfluorooctane sulfonate (PFOS),4.28 ppt,1 ppt,
Central Beach Fire District,Perfluorooctanoic acid (PFOA),5.14 ppt,0.007 ppt,
Central Beach Fire District,Total PFOS and PFOA,9.44 ppt,0.007 ppt,
Central Beach Fire District,Barium,40.0 ppb,700 ppb,"2,000 ppb"
Central Beach Fire District,Chromium (total),1.25 ppb,,100 ppb
Central Beach Fire District,None,,,
Castle Rock Condominiums,Nitrate,0.924 ppm,0.14 ppm,10 ppm
Castle Rock Condominiums,Nitrate and nitrite,0.954 ppm,0.14 ppm,10 ppm
Castle Rock Condominiums,Barium,9.86 ppb,700 ppb,"2,000 ppb"
Castle Rock Condominiums,Chloroform,0.0590 ppb,0.4 ppb,
Castle Rock Condominiums,Chromium (total),0.857 ppb,,100 ppb
Castle Rock Condominiums,Fluoride,0.106 ppm,,4 ppm
Castle Rock Condominiums,Nitrite,0.00286 ppm,,1 ppm
Castle Rock Condominiums,None,,,
Indian Cedar Mobile Home Park,Nitrate,1.26 ppm,0.14 ppm,10 ppm
Indian Cedar Mobile Home Park,Nitrate and nitrite,1.39 ppm,0.14 ppm,10 ppm
Indian Cedar Mobile Home Park,Barium,13.8 ppb,700 ppb,"2,000 ppb"
Indian Cedar Mobile Home Park,Chloroform,0.138 ppb,0.4 ppb,
Indian Cedar Mobile Home Park,Chromium (total),0.250 ppb,,100 ppb
Indian Cedar Mobile Home Park,None,,,
"Richmond, Town Of",Bromodichloromethane,0.286 ppb,0.06 ppb,
"Richmond, Town Of",Dibromochloromethane,0.343 ppb,0.1 ppb,
"Richmond, Town Of",Barium,8.75 ppb,700 ppb,"2,000 ppb"
"Richmond, Town Of",Chloroform,0.686 ppb,0.4 ppb,
"Richmond, Town Of",Cyanide,3.25 ppb,,200 ppb
"Richmond, Town Of",Fluoride,0.286 ppm,,4 ppm
"Richmond, Town Of",Nitrate,0.268 ppm,0.14 ppm,10 ppm
"Richmond, Town Of",Nitrate and nitrite,0.226 ppm,0.14 ppm,10 ppm
"Richmond, Town Of",None,,,
South Kingstown Nursing and Rehab,Nitrate,1.20 ppm,0.14 ppm,10 ppm
South Kingstown Nursing and Rehab,Nitrate and nitrite,1.16 ppm,0.14 ppm,10 ppm
South Kingstown Nursing and Rehab,"Radium, combined (-226 &amp; -228)",0.48 pCi/L,0.05 pCi/L,5 pCi/L
South Kingstown Nursing and Rehab,Uranium,53.48 pCi/L,0.43 pCi/L,20 pCi/L
South Kingstown Nursing and Rehab,Barium,27.8 ppb,700 ppb,"2,000 ppb"
South Kingstown Nursing and Rehab,Chromium (total),1.28 ppb,,100 ppb
South Kingstown Nursing and Rehab,Fluoride,0.576 ppm,,4 ppm
South Kingstown Nursing and Rehab,Manganese,98.5 ppb,100 ppb,
South Kingstown Nursing and Rehab,None,,,
South Kingstown Nursing and Rehab,Nitrate,1.20 ppm,0.14 ppm,10 ppm
South Kingstown Nursing and Rehab,Nitrate and nitrite,1.16 ppm,0.14 ppm,10 ppm
South Kingstown Nursing and Rehab,"Radium, combined (-226 &amp; -228)",0.48 pCi/L,0.05 pCi/L,5 pCi/L
South Kingstown Nursing and Rehab,Uranium,53.48 pCi/L,0.43 pCi/L,20 pCi/L
South Kingstown Nursing and Rehab,Barium,27.8 ppb,700 ppb,"2,000 ppb"
South Kingstown Nursing and Rehab,Chromium (total),1.28 ppb,,100 ppb
South Kingstown Nursing and Rehab,Fluoride,0.576 ppm,,4 ppm
South Kingstown Nursing and Rehab,Manganese,98.5 ppb,100 ppb,
South Kingstown Nursing and Rehab,None,,,
United Water Rhode Island,Bromodichloromethane,8.07 ppb,0.06 ppb,
United Water Rhode Island,Chloroform,24.2 ppb,0.4 ppb,
United Water Rhode Island,Chromium (hexavalent),0.0702 ppb,0.02 ppb,
United Water Rhode Island,Dibromoacetic acid,0.180 ppb,0.04 ppb,
United Water Rhode Island,Dibromochloromethane,1.88 ppb,0.1 ppb,
United Water Rhode Island,Dichloroacetic acid,5.48 ppb,0.2 ppb,
United Water Rhode Island,Haloacetic acids (HAA5)†,15.8 ppb,0.1 ppb,60 ppb
United Water Rhode Island,Haloacetic acids (HAA9)†,23.3 ppb,0.06 ppb,
United Water Rhode Island,Nitrate,1.36 ppm,0.14 ppm,10 ppm
United Water Rhode Island,Nitrate and nitrite,1.48 ppm,0.14 ppm,10 ppm
United Water Rhode Island,Total trihalomethanes (TTHMs)†,55.2 ppb,0.15 ppb,80 ppb
United Water Rhode Island,Trichloroacetic acid,10.6 ppb,0.1 ppb,
United Water Rhode Island,Barium,6.57 ppb,700 ppb,"2,000 ppb"
United Water Rhode Island,Chlorate,69.7 ppb,210 ppb,
United Water Rhode Island,Chromium (total),1.18 ppb,,100 ppb
