State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
RI,Harwington CT,2804.0,Lindhbrook Water Company,200,Arsenic,0.325,0.004,10,ppb,81.25
RI,Harwington CT,2804.0,Lindhbrook Water Company,200,Nitrate,0.696,0.14,10,ppm,4.971428571428571
RI,Harwington CT,2804.0,Lindhbrook Water Company,200,Nitrate and nitrite,0.655,0.14,10,ppm,4.678571428571428
RI,Harwington CT,2804.0,Lindhbrook Water Company,200,Radium combined (-226 &amp; -228),2.59,0.05,5,pCi/L,51.8
RI,Harwington CT,2804.0,Lindhbrook Water Company,200,Barium,55.8,700.0,2000,ppb,0.07971428571428571
RI,Harwington CT,2804.0,Lindhbrook Water Company,200,Beryllium,0.25,1.0,4,ppb,0.25
RI,Harwington CT,2804.0,Lindhbrook Water Company,200,Thallium,0.05,0.1,2,ppb,0.5
RI,East Providence RI,2806.0,East Providence,48688,Bromodichloromethane,3.51,0.06,0,ppb,58.5
RI,East Providence RI,2806.0,East Providence,48688,Chloroform,56.2,0.4,0,ppb,140.5
RI,East Providence RI,2806.0,East Providence,48688,Dibromochloromethane,0.285,0.1,0,ppb,2.8499999999999996
RI,East Providence RI,2806.0,East Providence,48688,Dichloroacetic acid,17.7,0.2,0,ppb,88.49999999999999
RI,East Providence RI,2806.0,East Providence,48688,Haloacetic acids (HAA5)†,20.7,0.1,60,ppb,206.99999999999997
RI,East Providence RI,2806.0,East Providence,48688,Haloacetic acids (HAA9)†,23.1,0.06,0,ppb,385.00000000000006
RI,East Providence RI,2806.0,East Providence,48688,Total trihalomethanes (TTHMs)†,63.5,0.15,80,ppb,423.33333333333337
RI,East Providence RI,2806.0,East Providence,48688,Trichloroacetic acid,1.83,0.1,0,ppb,18.3
RI,East Providence RI,2806.0,East Providence,48688,Barium*,9.0,700.0,2000,ppb,0.012857142857142857
RI,East Providence RI,2806.0,East Providence,48688,Chlorate,6.7,210.0,0,ppb,0.03190476190476191
RI,East Providence RI,2806.0,East Providence,48688,Chromium (hexavalent),0.00413,0.02,0,ppb,0.2065
RI,East Providence RI,2806.0,East Providence,48688,Manganese,0.916,100.0,0,ppb,0.00916
RI,East Providence RI,2806.0,East Providence,48688,Monochloroacetic acid,2.4,53.0,0,ppb,0.045283018867924525
RI,East Providence RI,2806.0,East Providence,48688,Nitrate*,0.0225,0.14,10,ppm,0.1607142857142857
RI,East Providence RI,2806.0,East Providence,48688,Strontium,0.0311,1500.0,0,ppb,2.0733333333333334e-05
RI,East Providence RI,2806.0,East Providence,48688,Vanadium,0.302,21.0,0,ppb,0.01438095238095238
RI,Ridgefield CT,2813.0,Central Beach Fire District,470,Nitrate,3.33,0.14,10,ppm,23.785714285714285
