Utility name,City,People served,Zip
Cumberland,"Cumberland, RI","Population served:22,864",02802
Bethel Village Water Association,"Ashaway, RI",Population served:180,02804
Lindhbrook Water Company,"Harwington, CT",Population served:200,02804
East Providence,"East Providence, RI","Population served:48,688",02806
Central Beach Fire District,"Ridgefield, CT",Population served:470,02813
Castle Rock Condominiums,"Cranston, RI",Population served:292,02813
Indian Cedar Mobile Home Park,"Wakefield, RI",Population served:150,02813
"Richmond, Town Of","Wyoming, RI","Population served:2,501",02813
South Kingstown-middlebridge,"Wakefield, RI",Population served:576,02813
South Kingstown-south Shore,"Wakefield, RI","Population served:4,501",02813
United Water Rhode Island,"Wakefield, RI","Population served:21,000",02813
Westerly Water Department,"Westerly, RI","Population served:38,000",02813
The Village On Chopmist Hill,"Middletown, RI",Population served:250,02814
Echo Lake Water District,"Chepachet, RI",Population served:200,02814
Smithfield Water Supply Board,"Smithfield, RI","Population served:9,460",02814
Centre of New England Boulevard,Rumford,"Population served: 9,999",02815
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02815
Warwick,"Warwick, RI","Population served:75,000",02818
Warwick-potowomut,"Warwick, RI","Population served:2,357",02818
North Kingstown,"North Kingstown, RI","Population served:23,568",02818
Greenville Water District,"Greenville, RI","Population served:9,500",02828
Johnston Water Control Facility - West End,"Johnston, RI","Population served:4,230",02828
Uxbridge DPW Water Division,"Uxbridge, MA","Population served:10,715",02830
Douglas Water Department,"Douglas, MA","Population served:3,855",02830
"Tiverton Water Authority, Town Hall","Tiverton, RI","Population served:3,213",02837
Town of Westport,"Westport, MA",Population served:250,02837
City of Newport,"Newport, RI","Population served:42,000",02841
United States Navy -fort Adams,"Newport, RI",Population served:318,02841
Portsmouth Water & Fire District,"Portsmouth, RI","Population served:16,864",02842
Harrisville Fire District,"Harrisville, RI","Population served:2,860",02858
Eleanor Slater Hospital Zambarano Unit,"Providence, RI",Population served:540,02859
City of Providence,"Providence, RI","Population served:310,060",02860
Lincoln Water Commission,"Lincoln, RI","Population served:21,137",02860
Attleboro Water Department,"Attleboro, MA","Population served:43,593",02860
Seekonk Water District,"Seekonk, MA","Population served:13,627",02861
Wrentham Water Division,"Wrentham, MA","Population served:11,686",02864
Woonsocket Water Department,"Woonsocket, RI","Population served:42,856",02864
North Attleboro Water Department,"North Attleborough, MA","Population served:28,712",02864
Pawtucket,"Pawtucket, RI","Population served:99,200",02865
Bristol County Water Authority,"Warren, RI","Population served:51,000",02872
Exeter Job Corps Center,Providence,Population served: 300,02873
Narragansett Water System-point Judith,"Narragansett, RI","Population served:8,189",02874
Narragansett Water Dept-north End,"Narragansett, RI","Population served:4,425",02874
Stone Bridge Fire District,"Tiverton, RI","Population served:2,607",02878
Fall River Water Department,"Fall River, MA","Population served:88,857",02878
University of Rhode Island,"Kingston, RI","Population served:19,354",02881
Swansea Water District,"Swansea, MA","Population served:17,358",02885
Blackstone Water Department,"Blackstone, MA","Population served:8,962",02895
Bellingham Dpw Water Sewer Div.,"Bellingham, MA","Population served:15,390",02895
East Smithfield Water District - Whipple,"Providence, RI",Population served:500,02917
