Utility name,City,People served,Zip
Cumberland,"Cumberland, RI","Population served:22,864",02802
Bethel Village Water Association,"Ashaway, RI",Population served:180,02804
Lindhbrook Water Company,"Harwington, CT",Population served:200,02804
East Providence,"East Providence, RI","Population served:48,688",02806
Central Beach Fire District,"Ridgefield, CT",Population served:470,02813
Castle Rock Condominiums,"Cranston, RI",Population served:292,02813
Indian Cedar Mobile Home Park,"Wakefield, RI",Population served:150,02813
"Richmond, Town Of","Wyoming, RI","Population served:2,501",02813
South Kingstown-middlebridge,"Wakefield, RI",Population served:576,02813
South Kingstown-south Shore,"Wakefield, RI","Population served:4,501",02813
United Water Rhode Island,"Wakefield, RI","Population served:21,000",02813
Westerly Water Department,"Westerly, RI","Population served:38,000",02813
The Village On Chopmist Hill,"Middletown, RI",Population served:250,02814
Echo Lake Water District,"Chepachet, RI",Population served:200,02814
Smithfield Water Supply Board,"Smithfield, RI","Population served:9,460",02814
Centre of New England Boulevard,Rumford,"Population served: 9,999",02815
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02815
Centre of New England Hopkins Hill Rd.,"Rumford, RI",Population served:317,02816
Centre of New England Boulevard,"Rumford, RI","Population served:9,999",02816
Centre of New England Hopkins Hill Rd.,"Rumford, RI",Population served:317,02817
Centre of New England Boulevard,"Rumford, RI","Population served:9,999",02817
Warwick,"Warwick, RI","Population served:75,000",02818
Warwick-potowomut,"Warwick, RI","Population served:2,357",02818
North Kingstown,"North Kingstown, RI","Population served:23,568",02818
North Kingstown,"North Kingstown, RI","Population served:23,568",02822
"Richmond, Town Of","Wyoming, RI","Population served:2,501",02822
South Kingstown-middlebridge,"Wakefield, RI",Population served:576,02822
South Kingstown-south Shore,"Wakefield, RI","Population served:4,501",02822
United Water Rhode Island,"Wakefield, RI","Population served:21,000",02822
Centre of New England Boulevard,Rumford,"Population served: 9,999",02823
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02823
Centre of New England Boulevard,Rumford,"Population served: 9,999",02824
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02824
Centre of New England Boulevard,Rumford,"Population served: 9,999",02825
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02825
Centre of New England Boulevard,Rumford,"Population served: 9,999",02826
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02826
Greenville Water District,"Greenville, RI","Population served:9,500",02828
Johnston Water Control Facility - West End,"Johnston, RI","Population served:4,230",02828
Centre of New England Boulevard,Rumford,"Population served: 9,999",02829
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02829
Uxbridge DPW Water Division,"Uxbridge, MA","Population served:10,715",02830
Douglas Water Department,"Douglas, MA","Population served:3,855",02830
Centre of New England Boulevard,Rumford,"Population served: 9,999",02831
Centre of New England Hopkins Hill Rd.,Rumford,Population served: 317,02831
"Tiverton Water Authority, Town Hall","Tiverton, RI","Population served:3,213",02837
Town of Westport,"Westport, MA",Population served:250,02837
Cumberland,"Cumberland, RI","Population served:22,864",02838
City of Newport,"Newport, RI","Population served:42,000",02841
United States Navy -fort Adams,"Newport, RI",Population served:318,02841
