State,Zip,Utility,Population Served,Contaminant_Factor,county_FIPS
SC,29001,High Hills,12110,89,45027
SC,29001,Manning Town of,5908,104,45027
SC,29001,Shaw Air Force Base,2250,181,45027
SC,29001,Dalzell Water District (sc4320001),3912,39,45027
SC,29003,Bamberg Public Works,3735,44,45009
SC,29003,Denmark Town of,3500,43,45009
SC,29003,Ehrhardt Town of,507,840,45009
SC,29003,Olar Govan Water System,257,17,45009
SC,29006,City of Aiken,42286,1042,45081
SC,29006,Joint Municipal WSC,34317,1278,45081
SC,29006,City of West Columbia,29294,1307,45081
SC,29006,North Augusta,27593,1815,45081
SC,29006,City of Cayce,19269,1570,45081
SC,29006,Breezy Hill WD,15282,1246,45081
SC,29006,Beech Island Water District,8016,24,45081
SC,29006,Gaston Rural Water District (sc3220002),7550,46,45081
SC,29006,Valley Psa (sc0220012),7065,129,45081
SC,29009,Alligator Rural Water (sc1320004),4128,16,45055
SC,29009,Bethune Rural Water,2633,38,45055
SC,29009,Bethune Town of,488,946,45055
SC,29009,Bishopville Town of,3810,84,45055
SC,29009,Cassatt Water Kershaw-lee Company RWA,25061,94,45055
SC,29009,Cheraw Town of,6595,374,45055
SC,29009,Chesterfield Rural Water,20239,78,45055
SC,29009,Chesterfield Town of,1568,66,45055
SC,29009,City of Camden,15877,1368,45055
SC,29009,Jefferson Town of,720,266,45055
SC,29009,Lugoff Elgin Water Authority,20584,1708,45055
SC,29009,Lynchburg Town of,640,121,45055
SC,29009,Mcbee Town of,882,24,45055
SC,29009,Pageland City of,2706,78,45055
SC,29009,Westside Estates Apartments,66,20,45055
SC,29014,Ridgeway Manor (sc2070002),68,141,45039
SC,29014,Chester Metro,12719,1246,45039
SC,29014,Jenkinsville Water Company,2503,867,45039
SC,29014,Midcounty Water District 1,1487,101,45039
SC,29014,Mitford Water District (sc2020005),1828,1371,45039
SC,29014,Ridgeway Town of,950,1050,45039
SC,29014,Winnsboro Town of,7888,764,45039
SC,29016,City of Columbia,319500,115,45079
SC,29016,Fort Jackson,32391,1329,45079
SC,29018,Bowman Town of,1277,62,45075
SC,29018,Branchville Town of,1218,90,45075
SC,29018,Bull Swamp Rural Water Company,2350,61,45075
SC,29018,DCPW Ashley Phosphate,22659,798,45075
SC,29018,Dcwa Calomet Valley,261,1208,45075
SC,29018,DCWA Knightsville,23513,914,45075
SC,29018,Dcwa Reevesville,232,1040,45075
SC,29018,Dcwa Tranquil Acres,838,1107,45075
SC,29018,Dcws Edisto Tribal Council,868,851,45075
SC,29018,Dcws I-95,99,1058,45075
SC,29018,Dcws Southern Palms,1270,744,45075
