Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
High Hills,Bromodichloromethane,0.155 ppb,0.06 ppb,
High Hills,Chromium (hexavalent),0.140 ppb,0.02 ppb,
High Hills,Dichloroacetic acid,0.512 ppb,0.2 ppb,
High Hills,Haloacetic acids (HAA5)†,0.656 ppb,0.1 ppb,60 ppb
High Hills,Haloacetic acids (HAA9)†,0.247 ppb,0.06 ppb,
High Hills,Nitrate and nitrite,0.360 ppm,0.14 ppm,10 ppm
High Hills,"Radium, combined (-226 &amp; -228)",2.65 pCi/L,0.05 pCi/L,5 pCi/L
High Hills,Total trihalomethanes (TTHMs)†,0.742 ppb,0.15 ppb,80 ppb
High Hills,Beryllium,0.275 ppb,1 ppb,4 ppb
High Hills,Chloroform,0.538 ppb,0.4 ppb,
High Hills,Chromium (total),0.1000 ppb,,100 ppb
High Hills,Cobalt,0.517 ppb,70 ppb,
High Hills,Dibromoacetic acid,0.0150 ppb,0.04 ppb,
High Hills,Dibromochloromethane,0.0493 ppb,0.1 ppb,
High Hills,Fluoride,1.35 ppm,,4 ppm
High Hills,Manganese,10.4 ppb,100 ppb,
High Hills,Nitrate,0.195 ppm,0.14 ppm,10 ppm
High Hills,Strontium,0.0232 ppb,"1,500 ppb",
High Hills,Trichloroacetic acid,0.129 ppb,0.1 ppb,
High Hills,Vanadium,0.313 ppb,21 ppb,
High Hills,None,,,
"Manning, Town of",Bromodichloromethane,1.11 ppb,0.06 ppb,
"Manning, Town of",Chloroform,0.821 ppb,0.4 ppb,
"Manning, Town of",Dibromoacetic acid,0.187 ppb,0.04 ppb,
"Manning, Town of",Dibromochloromethane,1.76 ppb,0.1 ppb,
"Manning, Town of",Dichloroacetic acid,0.713 ppb,0.2 ppb,
"Manning, Town of",Haloacetic acids (HAA5)†,2.85 ppb,0.1 ppb,60 ppb
"Manning, Town of",Total trihalomethanes (TTHMs)†,4.19 ppb,0.15 ppb,80 ppb
"Manning, Town of",Bromoform,0.505 ppb,0.5 ppb,
"Manning, Town of",Fluoride,0.480 ppm,,4 ppm
"Manning, Town of",Monochloroacetic acid,1.95 ppb,53 ppb,
"Manning, Town of",Nitrate,0.00130 ppm,0.14 ppm,10 ppm
"Manning, Town of",None,,,
Shaw Air Force Base,Arsenic,0.567 ppb,0.004 ppb,10 ppb
Shaw Air Force Base,Dichloroacetic acid,0.483 ppb,0.2 ppb,
Shaw Air Force Base,Haloacetic acids (HAA5)†,0.483 ppb,0.1 ppb,60 ppb
Shaw Air Force Base,Nitrate,0.659 ppm,0.14 ppm,10 ppm
Shaw Air Force Base,Nitrate and nitrite,1.20 ppm,0.14 ppm,10 ppm
Shaw Air Force Base,"Radium, combined (-226 &amp; -228)",0.68 pCi/L,0.05 pCi/L,5 pCi/L
Shaw Air Force Base,Total trihalomethanes (TTHMs)†,0.352 ppb,0.15 ppb,80 ppb
Shaw Air Force Base,Chloroform,0.352 ppb,0.4 ppb,
Shaw Air Force Base,Chromium (total),4.93 ppb,,100 ppb
Shaw Air Force Base,Fluoride,0.921 ppm,,4 ppm
Shaw Air Force Base,Trichloroethylene,0.752 ppb,0.4 ppb,5 ppb
Shaw Air Force Base,None,,,
Dalzell Water District (sc4320001),Bromodichloromethane,0.200 ppb,0.06 ppb,
Dalzell Water District (sc4320001),Haloacetic acids (HAA5)†,0.232 ppb,0.1 ppb,60 ppb
Dalzell Water District (sc4320001),Nitrate,1.98 ppm,0.14 ppm,10 ppm
Dalzell Water District (sc4320001),Nitrate and nitrite,1.80 ppm,0.14 ppm,10 ppm
Dalzell Water District (sc4320001),Total trihalomethanes (TTHMs)†,0.375 ppb,0.15 ppb,80 ppb
Dalzell Water District (sc4320001),Trichloroacetic acid,0.232 ppb,0.1 ppb,
Dalzell Water District (sc4320001),Dibromochloromethane,0.175 ppb,0.1 ppb,
Dalzell Water District (sc4320001),None,,,
Bamberg Public Works,Bromodichloromethane,0.995 ppb,0.06 ppb,
