State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
SC,Dalzell SC,29001.0,High Hills,12110,Bromodichloromethane,0.155,0.06,0,ppb,2.5833333333333335
SC,Dalzell SC,29001.0,High Hills,12110,Chromium (hexavalent),0.14,0.02,0,ppb,7.000000000000001
SC,Dalzell SC,29001.0,High Hills,12110,Dichloroacetic acid,0.512,0.2,0,ppb,2.56
SC,Dalzell SC,29001.0,High Hills,12110,Haloacetic acids (HAA5)†,0.656,0.1,60,ppb,6.56
SC,Dalzell SC,29001.0,High Hills,12110,Haloacetic acids (HAA9)†,0.247,0.06,0,ppb,4.116666666666667
SC,Dalzell SC,29001.0,High Hills,12110,Nitrate and nitrite,0.36,0.14,10,ppm,2.571428571428571
SC,Dalzell SC,29001.0,High Hills,12110,Radium combined (-226 &amp; -228),2.65,0.05,5,pCi/L,52.99999999999999
SC,Dalzell SC,29001.0,High Hills,12110,Total trihalomethanes (TTHMs)†,0.742,0.15,80,ppb,4.946666666666667
SC,Dalzell SC,29001.0,High Hills,12110,Beryllium,0.275,1.0,4,ppb,0.275
SC,Dalzell SC,29001.0,High Hills,12110,Chloroform,0.538,0.4,0,ppb,1.345
SC,Dalzell SC,29001.0,High Hills,12110,Cobalt,0.517,70.0,0,ppb,0.007385714285714286
SC,Dalzell SC,29001.0,High Hills,12110,Dibromoacetic acid,0.015,0.04,0,ppb,0.375
SC,Dalzell SC,29001.0,High Hills,12110,Dibromochloromethane,0.0493,0.1,0,ppb,0.49299999999999994
SC,Dalzell SC,29001.0,High Hills,12110,Manganese,10.4,100.0,0,ppb,0.10400000000000001
SC,Dalzell SC,29001.0,High Hills,12110,Nitrate,0.195,0.14,10,ppm,1.3928571428571428
SC,Dalzell SC,29001.0,High Hills,12110,Strontium,0.0232,1500.0,0,ppb,1.5466666666666665e-05
SC,Dalzell SC,29001.0,High Hills,12110,Trichloroacetic acid,0.129,0.1,0,ppb,1.29
SC,Dalzell SC,29001.0,High Hills,12110,Vanadium,0.313,21.0,0,ppb,0.014904761904761905
SC,Manning SC,29001.0,Manning Town of,5908,Bromodichloromethane,1.11,0.06,0,ppb,18.500000000000004
SC,Manning SC,29001.0,Manning Town of,5908,Chloroform,0.821,0.4,0,ppb,2.0524999999999998
SC,Manning SC,29001.0,Manning Town of,5908,Dibromoacetic acid,0.187,0.04,0,ppb,4.675
SC,Manning SC,29001.0,Manning Town of,5908,Dibromochloromethane,1.76,0.1,0,ppb,17.599999999999998
SC,Manning SC,29001.0,Manning Town of,5908,Dichloroacetic acid,0.713,0.2,0,ppb,3.5649999999999995
SC,Manning SC,29001.0,Manning Town of,5908,Haloacetic acids (HAA5)†,2.85,0.1,60,ppb,28.5
SC,Manning SC,29001.0,Manning Town of,5908,Total trihalomethanes (TTHMs)†,4.19,0.15,80,ppb,27.933333333333337
SC,Manning SC,29001.0,Manning Town of,5908,Bromoform,0.505,0.5,0,ppb,1.01
SC,Manning SC,29001.0,Manning Town of,5908,Monochloroacetic acid,1.95,53.0,0,ppb,0.03679245283018868
SC,Manning SC,29001.0,Manning Town of,5908,Nitrate,0.0013,0.14,10,ppm,0.009285714285714284
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Arsenic,0.567,0.004,10,ppb,141.74999999999997
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Dichloroacetic acid,0.483,0.2,0,ppb,2.4149999999999996
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Haloacetic acids (HAA5)†,0.483,0.1,60,ppb,4.829999999999999
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Nitrate,0.659,0.14,10,ppm,4.707142857142857
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Nitrate and nitrite,1.2,0.14,10,ppm,8.571428571428571
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Radium combined (-226 &amp; -228),0.68,0.05,5,pCi/L,13.6
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Total trihalomethanes (TTHMs)†,0.352,0.15,80,ppb,2.3466666666666667
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Chloroform,0.352,0.4,0,ppb,0.8799999999999999
SC,Shaw Afb SC,29001.0,Shaw Air Force Base,2250,Trichloroethylene,0.752,0.4,5,ppb,1.88
SC,Sumter SC,29001.0,Dalzell Water District (sc4320001),3912,Bromodichloromethane,0.2,0.06,0,ppb,3.3333333333333335
SC,Sumter SC,29001.0,Dalzell Water District (sc4320001),3912,Haloacetic acids (HAA5)†,0.232,0.1,60,ppb,2.32
SC,Sumter SC,29001.0,Dalzell Water District (sc4320001),3912,Nitrate,1.98,0.14,10,ppm,14.14285714285714
SC,Sumter SC,29001.0,Dalzell Water District (sc4320001),3912,Nitrate and nitrite,1.8,0.14,10,ppm,12.857142857142856
SC,Sumter SC,29001.0,Dalzell Water District (sc4320001),3912,Total trihalomethanes (TTHMs)†,0.375,0.15,80,ppb,2.5
SC,Sumter SC,29001.0,Dalzell Water District (sc4320001),3912,Trichloroacetic acid,0.232,0.1,0,ppb,2.32
SC,Sumter SC,29001.0,Dalzell Water District (sc4320001),3912,Dibromochloromethane,0.175,0.1,0,ppb,1.7499999999999998
SC,Bamberg,29003.0,Bamberg Public Works,3735,Bromodichloromethane,0.995,0.06,0,ppb,16.583333333333332
SC,Bamberg,29003.0,Bamberg Public Works,3735,Chloroform,1.07,0.4,0,ppb,2.675
SC,Bamberg,29003.0,Bamberg Public Works,3735,Dichloroacetic acid,0.5,0.2,0,ppb,2.5
SC,Bamberg,29003.0,Bamberg Public Works,3735,Haloacetic acids (HAA5)†,0.5,0.1,60,ppb,5.0
SC,Bamberg,29003.0,Bamberg Public Works,3735,Total trihalomethanes (TTHMs)†,2.27,0.15,80,ppb,15.133333333333335
SC,Bamberg,29003.0,Bamberg Public Works,3735,Barium,116.0,700.0,2000,ppb,0.1657142857142857
SC,Bamberg,29003.0,Bamberg Public Works,3735,Dibromochloromethane,0.2,0.1,0,ppb,2.0
SC,Denmark,29003.0,Denmark Town of,3500,Bromodichloromethane,0.763,0.06,0,ppb,12.716666666666667
SC,Denmark,29003.0,Denmark Town of,3500,Dibromochloromethane,1.05,0.1,0,ppb,10.5
SC,Denmark,29003.0,Denmark Town of,3500,Total trihalomethanes (TTHMs)†,2.49,0.15,80,ppb,16.6
SC,Denmark,29003.0,Denmark Town of,3500,Bromoform,0.563,0.5,0,ppb,1.126
SC,Denmark,29003.0,Denmark Town of,3500,Chloroform,0.123,0.4,0,ppb,0.3075
SC,Denmark,29003.0,Denmark Town of,3500,Dichloroacetic acid,0.0833,0.2,0,ppb,0.4165
SC,Denmark,29003.0,Denmark Town of,3500,Haloacetic acids (HAA5)†,0.0833,0.1,60,ppb,0.833
SC,Denmark,29003.0,Denmark Town of,3500,Nitrate,0.126,0.14,10,ppm,0.8999999999999999
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Bromodichloromethane,9.35,0.06,0,ppb,155.83333333333334
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Chloroform,32.0,0.4,0,ppb,80.0
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Dibromoacetic acid,0.183,0.04,0,ppb,4.575
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Dibromochloromethane,3.14,0.1,0,ppb,31.4
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Dichloroacetic acid,6.48,0.2,0,ppb,32.4
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Haloacetic acids (HAA5)†,15.7,0.1,60,ppb,156.99999999999997
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Total trihalomethanes (TTHMs)†,44.5,0.15,80,ppb,296.6666666666667
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Trichloroacetic acid,8.17,0.1,0,ppb,81.69999999999999
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Monobromoacetic acid,0.857,25.0,0,ppb,0.03428
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Nitrate,0.00757,0.14,10,ppm,0.05407142857142857
SC,Ehrhardt,29003.0,Ehrhardt Town of,507,Nitrate and nitrite,0.0183,0.14,10,ppm,0.1307142857142857
SC,Olar,29003.0,Olar Govan Water System,257,Chloroform,1.6,0.4,0,ppb,4.0
SC,Olar,29003.0,Olar Govan Water System,257,Total trihalomethanes (TTHMs)†,1.6,0.15,80,ppb,10.666666666666668
SC,Olar,29003.0,Olar Govan Water System,257,Barium,15.4,700.0,2000,ppb,0.022000000000000002
SC,Olar,29003.0,Olar Govan Water System,257,Nitrate,0.176,0.14,10,ppm,1.257142857142857
SC,Olar,29003.0,Olar Govan Water System,257,Nitrate and nitrite,0.105,0.14,10,ppm,0.7499999999999999
SC,Aiken SC,29006.0,City of Aiken,42286,Bromodichloromethane,6.63,0.06,0,ppb,110.5
SC,Aiken SC,29006.0,City of Aiken,42286,Chloroform,18.6,0.4,0,ppb,46.5
SC,Aiken SC,29006.0,City of Aiken,42286,Chromium (hexavalent),0.0615,0.02,0,ppb,3.0749999999999997
SC,Aiken SC,29006.0,City of Aiken,42286,Dibromoacetic acid,0.277,0.04,0,ppb,6.925000000000001
SC,Aiken SC,29006.0,City of Aiken,42286,Dibromochloromethane,2.06,0.1,0,ppb,20.599999999999998
SC,Aiken SC,29006.0,City of Aiken,42286,Dichloroacetic acid,7.72,0.2,0,ppb,38.599999999999994
SC,Aiken SC,29006.0,City of Aiken,42286,Haloacetic acids (HAA5)†,16.0,0.1,60,ppb,160.0
SC,Aiken SC,29006.0,City of Aiken,42286,Haloacetic acids (HAA9)†,20.5,0.06,0,ppb,341.6666666666667
SC,Aiken SC,29006.0,City of Aiken,42286,Nitrate,0.955,0.14,10,ppm,6.82142857142857
SC,Aiken SC,29006.0,City of Aiken,42286,Nitrate and nitrite,0.51,0.14,10,ppm,3.642857142857143
SC,Aiken SC,29006.0,City of Aiken,42286,Radium combined (-226 &amp; -228),2.06,0.05,5,pCi/L,41.199999999999996
SC,Aiken SC,29006.0,City of Aiken,42286,Total trihalomethanes (TTHMs)†,27.3,0.15,80,ppb,182.0
SC,Aiken SC,29006.0,City of Aiken,42286,Trichloroacetic acid,8.01,0.1,0,ppb,80.1
SC,Aiken SC,29006.0,City of Aiken,42286,Manganese,4.7,100.0,0,ppb,0.047
SC,Aiken SC,29006.0,City of Aiken,42286,Strontium,0.0153,1500.0,0,ppb,1.0199999999999999e-05
SC,Aiken SC,29006.0,City of Aiken,42286,Vanadium,0.0657,21.0,0,ppb,0.0031285714285714285
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Bromodichloromethane,6.1,0.06,0,ppb,101.66666666666667
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Chloroform,20.4,0.4,0,ppb,50.99999999999999
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Chromium (hexavalent),0.151,0.02,0,ppb,7.55
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Dibromochloromethane,0.559,0.1,0,ppb,5.59
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Dichloroacetic acid,18.2,0.2,0,ppb,90.99999999999999
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Haloacetic acids (HAA5)†,32.5,0.1,60,ppb,325.0
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Haloacetic acids (HAA9)†,22.8,0.06,0,ppb,380.0
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Total trihalomethanes (TTHMs)†,27.1,0.15,80,ppb,180.66666666666669
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Trichloroacetic acid,13.0,0.1,0,ppb,130.0
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,14-Dioxane,0.0458,0.35,0,ppb,0.13085714285714287
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Bromoform,0.0539,0.5,0,ppb,0.1078
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Chlorate,306.3,210.0,0,ppb,1.4585714285714286
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Dibromoacetic acid,0.0774,0.04,0,ppb,1.9349999999999998
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Manganese,3.2,100.0,0,ppb,0.032
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Molybdenum*,0.225,40.0,0,ppb,0.005625
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Monobromoacetic acid,1.22,25.0,0,ppb,0.048799999999999996
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Monochloroacetic acid,0.0805,53.0,0,ppb,0.001518867924528302
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Nitrate*,0.203,0.14,10,ppm,1.45
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Strontium,0.0433,1500.0,0,ppb,2.8866666666666666e-05
SC,Lexington SC,29006.0,Joint Municipal WSC,34317,Vanadium,0.825,21.0,0,ppb,0.039285714285714285
SC,West Columbia SC,29006.0,City of West Columbia,29294,Bromodichloromethane,6.79,0.06,0,ppb,113.16666666666667
SC,West Columbia SC,29006.0,City of West Columbia,29294,Chloroform,22.8,0.4,0,ppb,57.0
SC,West Columbia SC,29006.0,City of West Columbia,29294,Chromium (hexavalent),0.119,0.02,0,ppb,5.949999999999999
SC,West Columbia SC,29006.0,City of West Columbia,29294,Dibromochloromethane,0.581,0.1,0,ppb,5.81
SC,West Columbia SC,29006.0,City of West Columbia,29294,Dichloroacetic acid,16.8,0.2,0,ppb,84.0
SC,West Columbia SC,29006.0,City of West Columbia,29294,Haloacetic acids (HAA5)†,33.3,0.1,60,ppb,332.99999999999994
SC,West Columbia SC,29006.0,City of West Columbia,29294,Haloacetic acids (HAA9)†,21.2,0.06,0,ppb,353.3333333333333
SC,West Columbia SC,29006.0,City of West Columbia,29294,Total trihalomethanes (TTHMs)†,30.1,0.15,80,ppb,200.66666666666669
SC,West Columbia SC,29006.0,City of West Columbia,29294,Trichloroacetic acid,15.0,0.1,0,ppb,150.0
SC,West Columbia SC,29006.0,City of West Columbia,29294,14-Dioxane,0.105,0.35,0,ppb,0.3
SC,West Columbia SC,29006.0,City of West Columbia,29294,Chlorate,233.1,210.0,0,ppb,1.1099999999999999
SC,West Columbia SC,29006.0,City of West Columbia,29294,Dibromoacetic acid,0.0486,0.04,0,ppb,1.2149999999999999
SC,West Columbia SC,29006.0,City of West Columbia,29294,Manganese,5.6,100.0,0,ppb,0.055999999999999994
SC,West Columbia SC,29006.0,City of West Columbia,29294,Molybdenum,0.225,40.0,0,ppb,0.005625
SC,West Columbia SC,29006.0,City of West Columbia,29294,Monobromoacetic acid,1.39,25.0,0,ppb,0.0556
SC,West Columbia SC,29006.0,City of West Columbia,29294,Nitrate,0.203,0.14,10,ppm,1.45
SC,West Columbia SC,29006.0,City of West Columbia,29294,Strontium,0.066,1500.0,0,ppb,4.4e-05
SC,West Columbia SC,29006.0,City of West Columbia,29294,Vanadium,1.06,21.0,0,ppb,0.05047619047619048
SC,North Augusta SC,29006.0,North Augusta,27593,Bromodichloromethane,8.43,0.06,0,ppb,140.5
SC,North Augusta SC,29006.0,North Augusta,27593,Chloroform,43.2,0.4,0,ppb,108.0
SC,North Augusta SC,29006.0,North Augusta,27593,Chromium (hexavalent),0.158,0.02,0,ppb,7.9
SC,North Augusta SC,29006.0,North Augusta,27593,Dibromochloromethane,1.58,0.1,0,ppb,15.8
SC,North Augusta SC,29006.0,North Augusta,27593,Dichloroacetic acid,14.3,0.2,0,ppb,71.5
SC,North Augusta SC,29006.0,North Augusta,27593,Haloacetic acids (HAA5)†,29.4,0.1,60,ppb,293.99999999999994
SC,North Augusta SC,29006.0,North Augusta,27593,Haloacetic acids (HAA9)†,40.3,0.06,0,ppb,671.6666666666666
SC,North Augusta SC,29006.0,North Augusta,27593,Total trihalomethanes (TTHMs)†,53.3,0.15,80,ppb,355.3333333333333
SC,North Augusta SC,29006.0,North Augusta,27593,Trichloroacetic acid,14.9,0.1,0,ppb,149.0
SC,North Augusta SC,29006.0,North Augusta,27593,Chlorate,48.8,210.0,0,ppb,0.23238095238095235
SC,North Augusta SC,29006.0,North Augusta,27593,Manganese,3.25,100.0,0,ppb,0.0325
