Utility name,City,People served,Zip
City of Sumter,"Sumter, SC","Population served:53,070",29001
High Hills,"Dalzell, SC","Population served:12,110",29001
"Manning, Town of","Manning, SC","Population served:5,908",29001
Shaw Air Force Base,"Shaw Afb, SC","Population served:2,250",29001
Dalzell Water District (sc4320001),"Sumter, SC","Population served:3,912",29001
Bamberg Public Works,Bamberg,"Population served: 3,735",29003
"Denmark, Town of",Denmark,"Population served: 3,500",29003
"Ehrhardt, Town of",Ehrhardt,Population served: 507,29003
Olar Govan Water System,Olar,Population served: 257,29003
City of Aiken,"Aiken, SC","Population served:42,286",29006
Joint Municipal WSC,"Lexington, SC","Population served:34,317",29006
City of West Columbia,"West Columbia, SC","Population served:29,294",29006
North Augusta,"North Augusta, SC","Population served:27,593",29006
Lexington,"Lexington, SC","Population served:21,500",29006
City of Cayce,"Cayce, SC","Population served:19,269",29006
Breezy Hill WD,"Graniteville, SC","Population served:15,282",29006
Beech Island Water District,"Beech Island, SC","Population served:8,016",29006
Gaston Rural Water District (sc3220002),"Gaston, SC","Population served:7,550",29006
Valley Psa (sc0220012),"Gloverville, SC","Population served:7,065",29006
Alligator Rural Water (sc1320004),Mcbee,"Population served: 4,128",29009
Bethune Rural Water,Bethune,"Population served: 2,633",29009
"Bethune, Town of",Bethune,Population served: 488,29009
"Bishopville, Town of",Bishopville,"Population served: 3,810",29009
Cassatt Water Kershaw-lee Company RWA,Cassatt,"Population served: 25,061",29009
"Cheraw, Town of",Cheraw,"Population served: 6,595",29009
Chesterfield Rural Water,Chesterfield,"Population served: 20,239",29009
"Chesterfield, Town of",Chesterfield,"Population served: 1,568",29009
City of Camden,Camden,"Population served: 15,877",29009
Country Village Mobile Home Park (sc1360008),Cheraw,Population served: 89,29009
"Jefferson, Town of",Jefferson,Population served: 720,29009
Lugoff Elgin Water Authority,Lugoff,"Population served: 20,584",29009
"Lynchburg, Town of",Lynchburg,Population served: 640,29009
"Mcbee, Town of",Mcbee,Population served: 882,29009
"Pageland, City of",Pageland,"Population served: 2,706",29009
Westside Estates Apartments,Pageland,Population served: 66,29009
Ridgeway Manor (sc2070002),Ridgeway,Population served: 68,29014
Chester Metro,Chester,"Population served: 12,719",29014
Jenkinsville Water Company,Jenkinsville,"Population served: 2,503",29014
Midcounty Water District 1,Winnsboro,"Population served: 1,487",29014
Midcounty Water District 2,Winnsboro,"Population served: 3,412",29014
Mitford Water District (sc2020005),Great Falls,"Population served: 1,828",29014
"Ridgeway, Town of",Ridgeway,Population served: 950,29014
"Winnsboro, Town of",Winnsboro,"Population served: 7,888",29014
City of Columbia,"Columbia, SC","Population served:319,500",29016
Fort Jackson,"Fort Jackson, SC","Population served:32,391",29016
"Bowman, Town of",Bowman,"Population served: 1,277",29018
"Branchville, Town of",Branchville,"Population served: 1,218",29018
Bull Swamp Rural Water Company,North,"Population served: 2,350",29018
DCPW Ashley Phosphate,Summerville,"Population served: 22,659",29018
Dcwa Calomet Valley,Summerville,Population served: 261,29018
DCWA Knightsville,Summerville,"Population served: 23,513",29018
Dcwa Reevesville,Summerville,Population served: 232,29018
Dcwa Tranquil Acres,Summerville,Population served: 838,29018
Dcws Edisto Tribal Council,Summerville,Population served: 868,29018
Dcws I-95,Summerville,Population served: 99,29018
Dcws Southern Palms,Summerville,"Population served: 1,270",29018
Elloree Water System,Elloree,"Population served: 1,498",29018
"Eutawville, Town of",Eutawville,Population served: 555,29018
"Harleyville, Town of",Harleyville,Population served: 710,29018
"Holly Hill, Town of",Holly Hill,"Population served: 1,710",29018
