Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Beresford,Arsenic*,7.00 ppb,0.004 ppb,10 ppb
Beresford,Haloacetic acids (HAA5)†,15.5 ppb,0.1 ppb,60 ppb
Beresford,Nitrate*,0.600 ppm,0.14 ppm,10 ppm
Beresford,Total trihalomethanes (TTHMs)†,31.9 ppb,0.15 ppb,80 ppb
Beresford,Barium*,17.6 ppb,700 ppb,"2,000 ppb"
Beresford,Chromium (total)*,0.250 ppb,,100 ppb
Beresford,Mercury (inorganic)*,0.0650 ppb,1.2 ppb,2 ppb
Canton,Arsenic,0.125 ppb,0.004 ppb,10 ppb
Canton,Bromodichloromethane,0.396 ppb,0.06 ppb,
Canton,Chloroform,2.48 ppb,0.4 ppb,
Canton,Dibromoacetic acid,0.318 ppb,0.04 ppb,
Canton,Dichloroacetic acid,1.17 ppb,0.2 ppb,
Canton,Haloacetic acids (HAA5)†,6.80 ppb,0.1 ppb,60 ppb
Canton,Haloacetic acids (HAA9)†,7.96 ppb,0.06 ppb,
Canton,"Radium, combined (-226 &amp; -228)",0.73 pCi/L,0.05 pCi/L,5 pCi/L
Canton,Total trihalomethanes (TTHMs)†,2.88 ppb,0.15 ppb,80 ppb
Canton,Trichloroacetic acid,0.403 ppb,0.1 ppb,
Canton,"1,4-Dioxane",0.413 ppb,0.35 ppb,
Canton,Aluminum,60.0 ppb,600 ppb,
Canton,Barium,76.6 ppb,700 ppb,"2,000 ppb"
Canton,Chromium (hexavalent),0.00500 ppb,0.02 ppb,
Canton,Fluoride,0.618 ppm,,4 ppm
Canton,Germanium,0.0805 ppb,,
Canton,Manganese,133.0 ppb,100 ppb,
Canton,Molybdenum,2.31 ppb,40 ppb,
Canton,Monobromoacetic acid,4.37 ppb,25 ppb,
Canton,Monochloroacetic acid,0.538 ppb,53 ppb,
Canton,Nitrate,0.123 ppm,0.14 ppm,10 ppm
Canton,Nitrate and nitrite,0.0600 ppm,0.14 ppm,10 ppm
Canton,Selenium,0.325 ppb,30 ppb,50 ppb
Canton,Strontium,0.0768 ppb,"1,500 ppb",
Canton,Vanadium,1.64 ppb,21 ppb,
Canton,None,,,
Clay Rural Water System,Haloacetic acids (HAA5)†,4.52 ppb,0.1 ppb,60 ppb
