State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
SD,Beresford,57001.0,Beresford,2005,Arsenic*,7.0,0.004,10,ppb,1750.0
SD,Beresford,57001.0,Beresford,2005,Haloacetic acids (HAA5)†,15.5,0.1,60,ppb,155.0
SD,Beresford,57001.0,Beresford,2005,Nitrate*,0.6,0.14,10,ppm,4.285714285714286
SD,Beresford,57001.0,Beresford,2005,Total trihalomethanes (TTHMs)†,31.9,0.15,80,ppb,212.66666666666666
SD,Beresford,57001.0,Beresford,2005,Barium*,17.6,700.0,2000,ppb,0.025142857142857144
SD,Beresford,57001.0,Beresford,2005,Mercury (inorganic)*,0.065,1.2,2,ppb,0.05416666666666667
SD,Canton,57001.0,Canton,3057,Arsenic,0.125,0.004,10,ppb,31.25
SD,Canton,57001.0,Canton,3057,Bromodichloromethane,0.396,0.06,0,ppb,6.6000000000000005
SD,Canton,57001.0,Canton,3057,Chloroform,2.48,0.4,0,ppb,6.199999999999999
SD,Canton,57001.0,Canton,3057,Dibromoacetic acid,0.318,0.04,0,ppb,7.95
SD,Canton,57001.0,Canton,3057,Dichloroacetic acid,1.17,0.2,0,ppb,5.85
SD,Canton,57001.0,Canton,3057,Haloacetic acids (HAA5)†,6.8,0.1,60,ppb,68.0
SD,Canton,57001.0,Canton,3057,Haloacetic acids (HAA9)†,7.96,0.06,0,ppb,132.66666666666666
SD,Canton,57001.0,Canton,3057,Radium combined (-226 &amp; -228),0.73,0.05,5,pCi/L,14.6
SD,Canton,57001.0,Canton,3057,Total trihalomethanes (TTHMs)†,2.88,0.15,80,ppb,19.2
SD,Canton,57001.0,Canton,3057,Trichloroacetic acid,0.403,0.1,0,ppb,4.03
SD,Canton,57001.0,Canton,3057,14-Dioxane,0.413,0.35,0,ppb,1.18
SD,Canton,57001.0,Canton,3057,Aluminum,60.0,600.0,0,ppb,0.1
SD,Canton,57001.0,Canton,3057,Barium,76.6,700.0,2000,ppb,0.10942857142857142
SD,Canton,57001.0,Canton,3057,Chromium (hexavalent),0.005,0.02,0,ppb,0.25
SD,Canton,57001.0,Canton,3057,Manganese,133.0,100.0,0,ppb,1.33
SD,Canton,57001.0,Canton,3057,Molybdenum,2.31,40.0,0,ppb,0.05775
SD,Canton,57001.0,Canton,3057,Monobromoacetic acid,4.37,25.0,0,ppb,0.1748
SD,Canton,57001.0,Canton,3057,Monochloroacetic acid,0.538,53.0,0,ppb,0.010150943396226415
SD,Canton,57001.0,Canton,3057,Nitrate,0.123,0.14,10,ppm,0.8785714285714284
SD,Canton,57001.0,Canton,3057,Nitrate and nitrite,0.06,0.14,10,ppm,0.4285714285714285
SD,Canton,57001.0,Canton,3057,Selenium,0.325,30.0,50,ppb,0.010833333333333334
SD,Canton,57001.0,Canton,3057,Strontium,0.0768,1500.0,0,ppb,5.12e-05
SD,Canton,57001.0,Canton,3057,Vanadium,1.64,21.0,0,ppb,0.07809523809523809
