Utility name,City,People served,Zip
Alcester,Alcester,Population served: 807,57001
Beresford,Beresford,"Population served: 2,005",57001
Canton,Canton,"Population served: 3,057",57001
Clay Rural Water System/south Union,Wakonda,Population served: 965,57001
Dakota Dunes Cid,Dakota Dunes,"Population served: 2,750",57001
Elk Point,Elk Point,"Population served: 1,963",57001
Harrisburg,Harrisburg,"Population served: 4,300",57001
Hudson,Hudson,Population served: 296,57001
Jefferson,Jefferson,Population served: 547,57001
Lennox,Lennox,"Population served: 2,111",57001
North Sioux City,North Sioux City,"Population served: 2,530",57001
Tea,Tea,"Population served: 4,500",57001
Worthing,Worthing,Population served: 877,57001
Aurora,Aurora,Population served: 532,57002
Brookings Municipal Utilities,Brookings,"Population served: 22,298",57002
Colman,Colman,Population served: 594,57002
Egan,Egan,Population served: 278,57002
Elkton,Elkton,Population served: 736,57002
Flandreau,Flandreau,"Population served: 2,341",57002
Kingbrook I Rural Water System,Arlington,"Population served: 4,078",57002
Newdale Colony,Elkton,Population served: 72,57002
Pleasant Valley Colony,Flandreau,Population served: 104,57002
Red Willow Colony,White,Population served: 78,57002
Southbrook Estates,Brookings,Population served: 75,57002
Trent,Trent,Population served: 232,57002
University Estates,Brookings,Population served: 150,57002
Volga,Volga,"Population served: 1,768",57002
White,White,Population served: 485,57002
Baltic,Baltic,"Population served: 1,089",57003
Brandon,Brandon,"Population served: 8,785",57003
Colton,Colton,Population served: 687,57003
Crooks,Crooks,"Population served: 1,269",57003
Dell Rapids,Dell Rapids,"Population served: 3,708",57003
Garretson,Garretson,"Population served: 1,166",57003
Hartford,Hartford,"Population served: 2,634",57003
Humboldt,Humboldt,Population served: 589,57003
Lewis and Clark Regional Water System,Vermillion,Population served: 0,57003
Pine Lake Hills,Sioux Falls,Population served: 320,57003
Sioux Falls,Sioux Falls,"Population served: 158,800",57003
Skyline Heights,Sioux Falls,Population served: 126,57003
Valley Springs,Valley Springs,Population served: 759,57003
Valley View Estates,Sioux Falls,Population served: 205,57003
Vermillion,Vermillion,"Population served: 10,571",57004
Wakonda,Wakonda,Population served: 321,57004
Alvord Municipal Water Supply,Alvord,Population served: 196,57005
Doon Water Supply,Doon,Population served: 577,57005
George Water Supply,George,"Population served: 1,088",57005
Inwood Water Supply,Inwood,Population served: 814,57005
Larchwood Water Supply,Larchwood,Population served: 866,57005
Lester Water Supply,Lester,Population served: 295,57005
Little Rock Water Supply,Little Rock,Population served: 461,57005
Lyon-sioux Rural Water System-big Sioux,Rock Rapids,"Population served: 1,330",57005
Lyon-sioux Rural Water System-boyden,Rock Rapids,Population served: 557,57005
Lyon-sioux Rural Water System-doon,Rock Rapids,"Population served: 1,640",57005
