zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
57001,42.9981,-96.65492,Alcester,SD,South Dakota,True,,1742.0,6.8,46127,Union,"{""46127"": 93.43, ""46083"": 6.57}",Union|Lincoln,46127|46083,False,False,America/Chicago
57002,44.28785,-96.67752,Aurora,SD,South Dakota,True,,1234.0,7.5,46011,Brookings,"{""46011"": 92.4, ""46101"": 7.6}",Brookings|Moody,46011|46101,False,False,America/Chicago
57003,43.73705,-96.75784,Baltic,SD,South Dakota,True,,1730.0,13.1,46099,Minnehaha,"{""46099"": 100}",Minnehaha,46099,False,False,America/Chicago
57004,43.07571,-96.79376,Beresford,SD,South Dakota,True,,4040.0,8.0,46083,Lincoln,"{""46083"": 47.03, ""46127"": 26.52, ""46027"": 26.46}",Lincoln|Union|Clay,46083|46127|46027,False,False,America/Chicago
57005,43.59281,-96.58728,Brandon,SD,South Dakota,True,,11576.0,91.3,46099,Minnehaha,"{""46099"": 100}",Minnehaha,46099,False,False,America/Chicago
57006,44.31588,-96.79518,Brookings,SD,South Dakota,True,,26561.0,67.6,46011,Brookings,"{""46011"": 88.81, ""46101"": 11.19}",Brookings|Moody,46011|46101,False,False,America/Chicago
57007,44.31924,-96.78408,Brookings,SD,South Dakota,True,,,,46011,Brookings,"{""46011"": 100}",Brookings,46011,False,False,America/Chicago
57010,42.8119,-96.82403,Burbank,SD,South Dakota,True,,527.0,3.3,46027,Clay,"{""46027"": 69.56, ""46127"": 30.44}",Clay|Union,46027|46127,False,False,America/Chicago
57012,43.59683,-97.27986,Canistota,SD,South Dakota,True,,1149.0,5.3,46087,McCook,"{""46087"": 100}",McCook,46087,False,False,America/Chicago
57013,43.28595,-96.62178,Canton,SD,South Dakota,True,,4901.0,14.3,46083,Lincoln,"{""46083"": 100}",Lincoln,46083,False,False,America/Chicago
57014,43.11238,-96.95347,Centerville,SD,South Dakota,True,,1579.0,4.5,46125,Turner,"{""46125"": 42.52, ""46027"": 32.96, ""46083"": 24.52}",Turner|Clay|Lincoln,46125|46027|46083,False,False,America/Chicago
57015,43.42182,-96.98006,Chancellor,SD,South Dakota,True,,728.0,5.7,46125,Turner,"{""46125"": 97.97, ""46099"": 2.03}",Turner|Minnehaha,46125|46099,False,False,America/Chicago
57016,43.88874,-96.96139,Chester,SD,South Dakota,True,,879.0,12.8,46079,Lake,"{""46079"": 100}",Lake,46079,False,False,America/Chicago
57017,44.02246,-96.82788,Colman,SD,South Dakota,True,,1357.0,4.8,46101,Moody,"{""46101"": 99.08, ""46079"": 0.92}",Moody|Lake,46101|46079,False,False,America/Chicago
57018,43.79995,-96.97901,Colton,SD,South Dakota,True,,1470.0,6.7,46099,Minnehaha,"{""46099"": 96.5, ""46079"": 3.5}",Minnehaha|Lake,46099|46079,False,False,America/Chicago
57020,43.67796,-96.82665,Crooks,SD,South Dakota,True,,1501.0,32.5,46099,Minnehaha,"{""46099"": 100}",Minnehaha,46099,False,False,America/Chicago
57021,43.2723,-96.97797,Davis,SD,South Dakota,True,,408.0,5.2,46125,Turner,"{""46125"": 100}",Turner,46125,False,False,America/Chicago
57022,43.85081,-96.7327,Dell Rapids,SD,South Dakota,True,,5417.0,14.8,46099,Minnehaha,"{""46099"": 51.21, ""46101"": 45.91, ""46079"": 2.88}",Minnehaha|Moody|Lake,46099|46101|46079,False,False,America/Chicago
57024,43.98538,-96.68146,Egan,SD,South Dakota,True,,496.0,6.6,46101,Moody,"{""46101"": 100}",Moody,46101,False,False,America/Chicago
57025,42.71718,-96.68894,Elk Point,SD,South Dakota,True,,2894.0,9.0,46127,Union,"{""46127"": 99.57, ""19149"": 0.43}",Union|Plymouth,46127|19149,False,False,America/Chicago
57026,44.24996,-96.50149,Elkton,SD,South Dakota,True,,1287.0,2.8,46011,Brookings,"{""46011"": 56.79, ""46101"": 19.92, ""27081"": 13.62, ""27117"": 9.67}",Brookings|Moody|Lincoln|Pipestone,46011|46101|27081|27117,False,False,America/Chicago
57027,43.19461,-96.50933,Fairview,SD,South Dakota,True,,237.0,9.6,46083,Lincoln,"{""46083"": 100}",Lincoln,46083,False,False,America/Chicago
57028,44.05766,-96.60443,Flandreau,SD,South Dakota,True,,3427.0,6.6,46101,Moody,"{""46101"": 100}",Moody,46101,False,False,America/Chicago
57029,43.33696,-97.47936,Freeman,SD,South Dakota,True,,2422.0,4.9,46067,Hutchinson,"{""46067"": 76.79, ""46125"": 23.21}",Hutchinson|Turner,46067|46125,False,False,America/Chicago
57030,43.73435,-96.53549,Garretson,SD,South Dakota,True,,2953.0,8.6,46099,Minnehaha,"{""46099"": 89.97, ""27133"": 10.03}",Minnehaha|Rock,46099|27133,False,False,America/Chicago
57031,42.87058,-97.18655,Gayville,SD,South Dakota,True,,810.0,7.9,46135,Yankton,"{""46135"": 77.43, ""46027"": 22.57}",Yankton|Clay,46135|46027,False,False,America/Chicago
57032,43.42326,-96.68708,Harrisburg,SD,South Dakota,True,,8536.0,67.5,46083,Lincoln,"{""46083"": 99.9, ""19119"": 0.1}",Lincoln|Lyon,46083|19119,False,False,America/Chicago
57033,43.61613,-96.96037,Hartford,SD,South Dakota,True,,5602.0,17.9,46099,Minnehaha,"{""46099"": 100}",Minnehaha,46099,False,False,America/Chicago
57034,43.12493,-96.54575,Hudson,SD,South Dakota,True,,964.0,4.9,46083,Lincoln,"{""46083"": 83.55, ""46127"": 8.73, ""19167"": 7.72}",Lincoln|Union|Sioux,46083|46127|19167,False,False,America/Chicago
57035,43.64651,-97.07627,Humboldt,SD,South Dakota,True,,1306.0,5.9,46099,Minnehaha,"{""46099"": 92.3, ""46087"": 7.7}",Minnehaha|McCook,46099|46087,False,False,America/Chicago
57036,43.27067,-97.14364,Hurley,SD,South Dakota,True,,576.0,2.4,46125,Turner,"{""46125"": 100}",Turner,46125,False,False,America/Chicago
57037,43.10146,-97.25318,Irene,SD,South Dakota,True,,943.0,3.5,46135,Yankton,"{""46135"": 82.13, ""46125"": 11.07, ""46027"": 6.8}",Yankton|Turner|Clay,46135|46125|46027,False,False,America/Chicago
57038,42.57924,-96.57957,Jefferson,SD,South Dakota,True,,1673.0,12.8,46127,Union,"{""46127"": 99.85, ""19149"": 0.15}",Union|Plymouth,46127|19149,False,False,America/Chicago
57039,43.33659,-96.86755,Lennox,SD,South Dakota,True,,3796.0,15.9,46083,Lincoln,"{""46083"": 92.11, ""46125"": 7.89}",Lincoln|Turner,46083|46125,False,False,America/Chicago
57040,43.06206,-97.58582,Lesterville,SD,South Dakota,True,,314.0,1.7,46135,Yankton,"{""46135"": 96.55, ""46009"": 3.45}",Yankton|Bon Homme,46135|46009,False,False,America/Chicago
57041,43.72184,-96.88415,Lyons,SD,South Dakota,True,,47.0,5.8,46099,Minnehaha,"{""46099"": 100}",Minnehaha,46099,False,False,America/Chicago
57042,43.97744,-97.15133,Madison,SD,South Dakota,True,,9348.0,18.7,46079,Lake,"{""46079"": 99.22, ""46087"": 0.78}",Lake|McCook,46079|46087,False,False,America/Chicago
57043,43.41954,-97.30889,Marion,SD,South Dakota,True,,1393.0,4.7,46125,Turner,"{""46125"": 85.47, ""46087"": 11.1, ""46067"": 3.43}",Turner|McCook|Hutchinson,46125|46087|46067,False,False,America/Chicago
57045,43.20051,-97.52425,Menno,SD,South Dakota,True,,1130.0,3.6,46067,Hutchinson,"{""46067"": 69.3, ""46135"": 28.53, ""46125"": 2.17}",Hutchinson|Yankton|Turner,46067|46135|46125,False,False,America/Chicago
57046,42.9563,-97.30113,Mission Hill,SD,South Dakota,True,,887.0,6.8,46135,Yankton,"{""46135"": 100}",Yankton,46135,False,False,America/Chicago
57047,43.51755,-97.21525,Monroe,SD,South Dakota,True,,339.0,8.9,46087,McCook,"{""46087"": 77.04, ""46125"": 22.96}",McCook|Turner,46087|46125,False,False,America/Chicago
57048,43.74081,-97.20034,Montrose,SD,South Dakota,True,,1266.0,3.8,46087,McCook,"{""46087"": 90.15, ""46099"": 9.85}",McCook|Minnehaha,46087|46099,False,False,America/Chicago
57049,42.52486,-96.50732,North Sioux City,SD,South Dakota,True,,6684.0,182.1,46127,Union,"{""46127"": 100}",Union,46127,False,False,America/Chicago
57050,44.15725,-97.01467,Nunda,SD,South Dakota,True,,315.0,3.0,46079,Lake,"{""46079"": 100}",Lake,46079,False,False,America/Chicago
57051,44.21741,-97.35066,Oldham,SD,South Dakota,True,,250.0,1.2,46077,Kingsbury,"{""46077"": 77.72, ""46097"": 17.63, ""46079"": 4.65}",Kingsbury|Miner|Lake,46077|46097|46079,False,False,America/Chicago
57052,43.29471,-97.7054,Olivet,SD,South Dakota,True,,263.0,1.2,46067,Hutchinson,"{""46067"": 100}",Hutchinson,46067,False,False,America/Chicago
57053,43.40963,-97.13716,Parker,SD,South Dakota,True,,1813.0,4.9,46125,Turner,"{""46125"": 92.03, ""46087"": 5.85, ""46099"": 2.12}",Turner|McCook|Minnehaha,46125|46087|46099,False,False,America/Chicago
57054,44.12162,-97.25799,Ramona,SD,South Dakota,True,,651.0,2.2,46079,Lake,"{""46079"": 99.14, ""46097"": 0.86}",Lake|Miner,46079|46097,False,False,America/Chicago
57055,43.66638,-96.73973,Renner,SD,South Dakota,True,,1367.0,31.3,46099,Minnehaha,"{""46099"": 100}",Minnehaha,46099,False,False,America/Chicago
57057,44.10261,-96.95717,Rutland,SD,South Dakota,True,,324.0,3.9,46079,Lake,"{""46079"": 93.98, ""46101"": 6.02}",Lake|Moody,46079|46101,False,False,America/Chicago
57058,43.74602,-97.40468,Salem,SD,South Dakota,True,,1841.0,4.5,46087,McCook,"{""46087"": 95.58, ""46079"": 2.54, ""46097"": 1.88}",McCook|Lake|Miner,46087|46079|46097,False,False,America/Chicago
57059,43.12476,-97.76365,Scotland,SD,South Dakota,True,,1181.0,3.1,46009,Bon Homme,"{""46009"": 78.48, ""46067"": 21.52}",Bon Homme|Hutchinson,46009|46067,False,False,America/Chicago
57061,44.24452,-97.04399,Sinai,SD,South Dakota,True,,144.0,151.2,46011,Brookings,"{""46011"": 100}",Brookings,46011,False,False,America/Chicago
57062,42.85046,-97.95327,Springfield,SD,South Dakota,True,,2409.0,9.3,46009,Bon Homme,"{""46009"": 100}",Bon Homme,46009,False,False,America/Chicago
57063,42.92483,-97.68668,Tabor,SD,South Dakota,True,,818.0,3.4,46009,Bon Homme,"{""46009"": 79.93, ""46135"": 20.07}",Bon Homme|Yankton,46009|46135,False,False,America/Chicago
57064,43.45563,-96.87489,Tea,SD,South Dakota,True,,7233.0,109.0,46083,Lincoln,"{""46083"": 85.67, ""46125"": 14.33}",Lincoln|Turner,46083|46125,False,False,America/Chicago
57065,43.90041,-96.60631,Trent,SD,South Dakota,True,,378.0,4.8,46101,Moody,"{""46101"": 100}",Moody,46101,False,False,America/Chicago
57066,42.98874,-97.86703,Tyndall,SD,South Dakota,True,,1484.0,5.0,46009,Bon Homme,"{""46009"": 100}",Bon Homme,46009,False,False,America/Chicago
57067,43.04095,-97.47169,Utica,SD,South Dakota,True,,273.0,1.9,46135,Yankton,"{""46135"": 100}",Yankton,46135,False,False,America/Chicago
